"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"TYLER ISD","Spring 2016","3","1371","1404","64","18","36","1452","1433","66","16","34","","","","","","","","","","","","","","","",
"TYLER ISD","Spring 2016","4","1281","1478","65","14","35","1328","1518","65","14","35","1308","3685","59","10","41","","","","","","","","","","",
"TYLER ISD","Spring 2016","5","1305","1525","66","17","34","1328","1572","70","13","30","","","","","","1319","3691","65","6","35","","","","","",
"TYLER ISD","Spring 2016","6","1171","1559","61","14","39","1167","1613","67","14","33","","","","","","","","","","","","","","","",
"TYLER ISD","Spring 2016","7","1183","1607","61","14","39","833","1571","48","1","52","1206","3668","57","8","43","","","","","","","","","","",
"TYLER ISD","Spring 2016","8","1146","1662","78","14","22","1087","1645","66","5","34","","","","","","1137","3804","70","14","30","1137","3635","55","11","45",
"TYLER ISD","May 2016","5","460","1411","28","1","72","403","1463","37","0","63","","","","","","","","","","","","","","","",
"TYLER ISD","May 2016","8","259","1537","31","0","69","335","1569","41","0","59","","","","","","","","","","","","","","","",
"UME PREPARATORY ACADEMY (057845)","Spring 2016","3","40","1446","78","25","23","40","1451","70","13","30","","","","","","","","","","","","","","","",
"UME PREPARATORY ACADEMY (057845)","Spring 2016","4","39","1592","90","44","10","39","1590","90","31","10","39","4139","74","26","26","","","","","","","","","","",
"UME PREPARATORY ACADEMY (057845)","Spring 2016","5","40","1621","78","45","23","40","1592","85","15","15","","","","","","39","3645","67","3","33","","","","","",
"UME PREPARATORY ACADEMY (057845)","Spring 2016","6","40","1645","90","20","10","40","1625","75","8","25","","","","","","","","","","","","","","","",
"UME PREPARATORY ACADEMY (057845)","Spring 2016","7","44","1717","86","43","14","26","1625","73","4","27","47","4126","79","30","21","","","","","","","","","","",
"UME PREPARATORY ACADEMY (057845)","Spring 2016","8","41","1746","95","37","5","44","1727","86","11","14","","","","","","41","4191","88","32","12","41","3899","71","27","29",
"UME PREPARATORY ACADEMY (057845)","May 2016","5","9","1455","44","0","56","5","1499","60","0","40","","","","","","","","","","","","","","","",
"UME PREPARATORY ACADEMY (057845)","May 2016","8","2","-","-","-","-","6","1562","33","0","67","","","","","","","","","","","","","","","",
"UNION GROVE ISD","Spring 2016","3","54","1456","83","26","17","54","1460","81","13","19","","","","","","","","","","","","","","","",
"UNION GROVE ISD","Spring 2016","4","63","1512","78","11","22","63","1542","75","14","25","62","3818","77","11","23","","","","","","","","","","",
"UNION GROVE ISD","Spring 2016","5","57","1609","93","32","7","57","1661","95","23","5","","","","","","56","4001","95","13","5","","","","","",
"UNION GROVE ISD","Spring 2016","6","57","1634","82","23","18","57","1637","79","12","21","","","","","","","","","","","","","","","",
"UNION GROVE ISD","Spring 2016","7","58","1668","83","24","17","58","1671","84","12","16","58","3935","79","9","21","","","","","","","","","","",
"UNION GROVE ISD","Spring 2016","8","48","1690","85","19","15","47","1758","89","21","11","","","","","","49","4070","86","27","14","49","3592","53","6","47",
"UNION GROVE ISD","May 2016","5","3","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"UNION GROVE ISD","May 2016","8","8","1567","50","0","50","5","1601","40","0","60","","","","","","","","","","","","","","","",
"UNION HILL ISD","Spring 2016","3","25","1387","60","12","40","25","1407","64","8","36","","","","","","","","","","","","","","","",
"UNION HILL ISD","Spring 2016","4","18","1491","67","22","33","18","1546","72","17","28","18","3512","56","0","44","","","","","","","","","","",
"UNION HILL ISD","Spring 2016","5","23","1498","61","4","39","23","1535","65","4","35","","","","","","27","3416","41","0","59","","","","","",
"UNION HILL ISD","Spring 2016","6","22","1637","100","23","0","22","1619","73","14","27","","","","","","","","","","","","","","","",
"UNION HILL ISD","Spring 2016","7","27","1657","85","22","15","27","1642","70","4","30","27","3950","85","15","15","","","","","","","","","","",
"UNION HILL ISD","Spring 2016","8","15","1719","87","13","13","15","1630","73","0","27","","","","","","15","3719","67","7","33","15","3537","60","0","40",
"UNION HILL ISD","May 2016","5","11","1391","18","0","82","10","1487","50","0","50","","","","","","","","","","","","","","","",
"UNION HILL ISD","May 2016","8","2","-","-","-","-","4","-","-","-","-","","","","","","","","","","","","","","","",
"UNITED ISD","Spring 2016","3","3139","1420","71","19","29","3145","1463","79","17","21","","","","","","","","","","","","","","","",
"UNITED ISD","Spring 2016","4","2973","1516","78","19","22","2997","1554","77","19","23","2977","3885","73","17","27","","","","","","","","","","",
"UNITED ISD","Spring 2016","5","3000","1545","71","20","29","3020","1605","80","18","20","","","","","","3007","3856","79","11","21","","","","","",
"UNITED ISD","Spring 2016","6","3048","1572","67","13","33","2999","1629","77","13","23","","","","","","","","","","","","","","","",
"UNITED ISD","Spring 2016","7","3117","1626","69","17","31","3055","1667","74","17","26","3124","3845","69","13","31","","","","","","","","","","",
"UNITED ISD","Spring 2016","8","3276","1666","78","15","22","2751","1682","82","6","18","","","","","","3210","3913","79","16","21","3200","3706","63","12","37",
"UNITED ISD","May 2016","5","870","1414","27","0","73","610","1482","46","0","54","","","","","","","","","","","","","","","",
"UNITED ISD","May 2016","8","717","1546","33","0","67","515","1590","49","0","51","","","","","","","","","","","","","","","",
"UNIVERSAL ACADEMY (057808)","Spring 2016","3","232","1524","91","50","9","228","1556","87","44","13","","","","","","","","","","","","","","","",
"UNIVERSAL ACADEMY (057808)","Spring 2016","4","190","1576","89","33","11","190","1634","85","42","15","188","4176","85","29","15","","","","","","","","","","",
"UNIVERSAL ACADEMY (057808)","Spring 2016","5","160","1603","78","35","22","161","1658","79","36","21","","","","","","159","3923","81","18","19","","","","","",
"UNIVERSAL ACADEMY (057808)","Spring 2016","6","135","1620","77","21","23","134","1645","75","17","25","","","","","","","","","","","","","","","",
"UNIVERSAL ACADEMY (057808)","Spring 2016","7","89","1670","85","22","15","88","1672","81","17","19","87","3999","85","11","15","","","","","","","","","","",
"UNIVERSAL ACADEMY (057808)","Spring 2016","8","74","1689","88","16","12","73","1683","73","12","27","","","","","","71","4035","90","20","10","71","3866","70","21","30",
"UNIVERSAL ACADEMY (057808)","May 2016","5","37","1442","38","0","62","35","1502","51","0","49","","","","","","","","","","","","","","","",
"UNIVERSAL ACADEMY (057808)","May 2016","8","10","1565","40","0","60","19","1579","42","0","58","","","","","","","","","","","","","","","",
"UNIVERSITY OF HOUSTON CHARTER SC","Spring 2016","3","19","1435","68","21","32","19","1405","74","11","26","","","","","","","","","","","","","","","",
"UNIVERSITY OF HOUSTON CHARTER SC","Spring 2016","4","19","1536","95","21","5","19","1543","74","16","26","19","3845","79","16","21","","","","","","","","","","",
"UNIVERSITY OF HOUSTON CHARTER SC","Spring 2016","5","19","1650","95","58","5","19","1639","89","21","11","","","","","","19","3797","74","5","26","","","","","",
"UNIVERSITY OF HOUSTON CHARTER SC","May 2016","5","1","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"UNIVERSITY OF TEXAS ELEMENTARY C","Spring 2016","3","44","1434","68","18","32","44","1484","82","23","18","","","","","","","","","","","","","","","",
"UNIVERSITY OF TEXAS ELEMENTARY C","Spring 2016","4","43","1493","77","12","23","43","1517","60","14","40","44","3599","61","2","39","","","","","","","","","","",
"UNIVERSITY OF TEXAS ELEMENTARY C","Spring 2016","5","42","1588","88","31","12","42","1601","90","19","10","","","","","","41","3958","93","12","7","","","","","",
"UNIVERSITY OF TEXAS ELEMENTARY C","May 2016","5","4","-","-","-","-","4","-","-","-","-","","","","","","","","","","","","","","","",
"UNIVERSITY OF TEXAS UNIVERSITY C","Spring 2016","3","16","1216","0","0","100","16","1229","0","0","100","","","","","","","","","","","","","","","",
"UNIVERSITY OF TEXAS UNIVERSITY C","Spring 2016","4","25","1345","20","4","80","25","1370","24","0","76","22","3105","27","0","73","","","","","","","","","","",
"UNIVERSITY OF TEXAS UNIVERSITY C","Spring 2016","5","19","1409","32","0","68","19","1439","21","0","79","","","","","","13","3324","23","0","77","","","","","",
"UNIVERSITY OF TEXAS UNIVERSITY C","Spring 2016","6","41","1501","39","12","61","41","1552","44","12","56","","","","","","","","","","","","","","","",
"UNIVERSITY OF TEXAS UNIVERSITY C","Spring 2016","7","41","1593","54","22","46","39","1604","49","15","51","43","3625","49","9","51","","","","","","","","","","",
"UNIVERSITY OF TEXAS UNIVERSITY C","Spring 2016","8","56","1587","48","9","52","46","1516","9","0","91","","","","","","61","3173","23","2","77","60","3188","18","0","82",
"UNIVERSITY OF TEXAS UNIVERSITY C","May 2016","5","6","1380","17","0","83","8","1419","25","0","75","","","","","","","","","","","","","","","",
"UNIVERSITY OF TEXAS UNIVERSITY C","May 2016","8","33","1508","21","0","79","41","1516","15","0","85","","","","","","","","","","","","","","","",
"UPLIFT EDUCATION","Spring 2016","3","1166","1417","68","21","32","1148","1448","73","17","27","","","","","","","","","","","","","","","",
"UPLIFT EDUCATION","Spring 2016","4","1062","1498","72","15","28","1060","1533","68","18","32","1063","3720","63","11","37","","","","","","","","","","",
"UPLIFT EDUCATION","Spring 2016","5","830","1535","69","20","31","836","1594","73","17","27","","","","","","830","3654","61","5","39","","","","","",
"UPLIFT EDUCATION","Spring 2016","6","1321","1584","70","15","30","1318","1633","77","15","23","","","","","","","","","","","","","","","",
"UPLIFT EDUCATION","Spring 2016","7","1205","1642","74","20","26","1072","1643","71","11","29","1209","3864","71","11","29","","","","","","","","","","",
"UPLIFT EDUCATION","Spring 2016","8","1183","1691","86","17","14","501","1663","66","10","34","","","","","","1183","3940","79","18","21","1181","3748","65","13","35",
"UPLIFT EDUCATION","May 2016","5","264","1409","27","0","73","222","1465","38","0","62","","","","","","","","","","","","","","","",
"UPLIFT EDUCATION","May 2016","8","164","1572","48","1","52","169","1580","40","0","60","","","","","","","","","","","","","","","",
"UT TYLER INNOVATION ACADEMY","Spring 2016","3","60","1468","83","28","17","60","1497","75","28","25","","","","","","","","","","","","","","","",
"UT TYLER INNOVATION ACADEMY","Spring 2016","4","66","1537","82","21","18","66","1539","73","15","27","70","3905","70","14","30","","","","","","","","","","",
"UT TYLER INNOVATION ACADEMY","Spring 2016","5","83","1580","86","25","14","84","1581","77","12","23","","","","","","79","3870","81","13","19","","","","","",
"UT TYLER INNOVATION ACADEMY","Spring 2016","6","67","1690","90","45","10","67","1702","90","25","10","","","","","","","","","","","","","","","",
"UT TYLER INNOVATION ACADEMY","Spring 2016","7","78","1716","94","37","6","69","1682","81","14","19","80","3973","86","10","14","","","","","","","","","","",
"UT TYLER INNOVATION ACADEMY","Spring 2016","8","77","1739","94","30","6","46","1696","78","15","22","","","","","","77","4260","91","39","9","77","3914","84","26","16",
"UT TYLER INNOVATION ACADEMY","May 2016","5","14","1437","43","0","57","19","1463","37","0","63","","","","","","","","","","","","","","","",
"UT TYLER INNOVATION ACADEMY","May 2016","8","6","1628","67","0","33","10","1616","50","0","50","","","","","","","","","","","","","","","",
"UTOPIA ISD","Spring 2016","3","15","1427","80","13","20","15","1459","73","13","27","","","","","","","","","","","","","","","",
"UTOPIA ISD","Spring 2016","4","17","1513","88","6","12","17","1607","88","24","12","17","3965","88","12","12","","","","","","","","","","",
"UTOPIA ISD","Spring 2016","5","9","1582","89","22","11","9","1646","78","22","22","","","","","","8","3850","88","13","13","","","","","",
"UTOPIA ISD","Spring 2016","6","16","1637","88","25","13","16","1731","94","25","6","","","","","","","","","","","","","","","",
"UTOPIA ISD","Spring 2016","7","11","1626","82","9","18","11","1599","64","0","36","11","3877","91","0","9","","","","","","","","","","",
"UTOPIA ISD","Spring 2016","8","18","1720","89","22","11","1","-","-","-","-","","","","","","18","3831","61","22","39","18","3705","56","6","44",
"UTOPIA ISD","May 2016","5","1","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"UTOPIA ISD","May 2016","8","2","-","-","-","-","1","-","-","-","-","","","","","","","","","","","","","","","",
"UTPB STEM ACADEMY (068803)","Spring 2016","3","34","1449","79","26","21","34","1475","76","26","24","","","","","","","","","","","","","","","",
"UTPB STEM ACADEMY (068803)","Spring 2016","4","36","1527","81","22","19","35","1517","66","9","34","35","3909","71","17","29","","","","","","","","","","",
"UTPB STEM ACADEMY (068803)","Spring 2016","5","32","1636","94","41","6","32","1652","88","28","13","","","","","","32","4015","94","16","6","","","","","",
"UTPB STEM ACADEMY (068803)","Spring 2016","6","38","1640","87","26","13","38","1627","79","11","21","","","","","","","","","","","","","","","",
"UTPB STEM ACADEMY (068803)","Spring 2016","7","41","1715","90","49","10","20","1616","70","5","30","41","4016","85","15","15","","","","","","","","","","",
"UTPB STEM ACADEMY (068803)","Spring 2016","8","","","","","","21","1761","100","19","0","","","","","","","","","","","","","","","",
"UTPB STEM ACADEMY (068803)","May 2016","5","2","-","-","-","-","4","-","-","-","-","","","","","","","","","","","","","","","",
"UVALDE CISD","Spring 2016","3","297","1368","50","15","50","299","1373","51","6","49","","","","","","","","","","","","","","","",
"UVALDE CISD","Spring 2016","4","314","1461","63","7","37","315","1483","53","8","47","317","3605","55","6","45","","","","","","","","","","",
"UVALDE CISD","Spring 2016","5","331","1487","53","13","47","332","1510","48","4","52","","","","","","330","3509","48","2","52","","","","","",
"UVALDE CISD","Spring 2016","6","332","1532","52","9","48","327","1544","47","4","53","","","","","","","","","","","","","","","",
"UVALDE CISD","Spring 2016","7","269","1591","61","7","39","265","1615","60","7","40","268","3632","56","6","44","","","","","","","","","","",
"UVALDE CISD","Spring 2016","8","308","1642","72","12","28","240","1604","48","2","52","","","","","","301","3588","53","5","47","299","3467","38","3","62",
"UVALDE CISD","May 2016","5","153","1389","16","0","84","166","1440","22","0","78","","","","","","","","","","","","","","","",
"UVALDE CISD","May 2016","8","88","1543","27","1","73","128","1592","55","0","45","","","","","","","","","","","","","","","",
"VALENTINE ISD","Spring 2016","3","1","-","-","-","-","1","-","-","-","-","","","","","","","","","","","","","","","",
"VALENTINE ISD","Spring 2016","4","4","-","-","-","-","4","-","-","-","-","4","-","-","-","-","","","","","","","","","","",
"VALENTINE ISD","Spring 2016","5","5","1490","60","0","40","5","1579","60","20","40","","","","","","5","3531","60","0","40","","","","","",
"VALENTINE ISD","Spring 2016","6","7","1573","86","0","14","7","1621","86","0","14","","","","","","","","","","","","","","","",
"VALENTINE ISD","Spring 2016","7","5","1683","80","20","20","5","1641","60","20","40","5","4241","100","20","0","","","","","","","","","","",
"VALENTINE ISD","Spring 2016","8","1","-","-","-","-","1","-","-","-","-","","","","","","1","-","-","-","-","1","-","-","-","-",
"VALENTINE ISD","May 2016","5","2","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"VALLEY MILLS ISD","Spring 2016","3","40","1392","70","18","30","40","1446","78","20","23","","","","","","","","","","","","","","","",
"VALLEY MILLS ISD","Spring 2016","4","42","1504","74","14","26","41","1587","85","24","15","41","3704","68","5","32","","","","","","","","","","",
"VALLEY MILLS ISD","Spring 2016","5","40","1537","73","10","28","39","1583","90","8","10","","","","","","41","3731","73","0","27","","","","","",
"VALLEY MILLS ISD","Spring 2016","6","29","1645","90","31","10","29","1716","93","24","7","","","","","","","","","","","","","","","",
"VALLEY MILLS ISD","Spring 2016","7","33","1621","73","15","27","22","1609","68","5","32","34","3686","59","6","41","","","","","","","","","","",
"VALLEY MILLS ISD","Spring 2016","8","59","1686","95","8","5","53","1655","85","0","15","","","","","","58","3546","59","0","41","58","3508","41","2","59",
"VALLEY MILLS ISD","May 2016","5","10","1458","50","0","50","6","1558","67","17","33","","","","","","","","","","","","","","","",
"VALLEY MILLS ISD","May 2016","8","3","-","-","-","-","7","1585","43","0","57","","","","","","","","","","","","","","","",
