"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"AXTELL ISD","Spring 2016","3","62","1486","92","29","8","62","1550","97","31","3","","","","","","","","","","","","","","","",
"AXTELL ISD","Spring 2016","4","41","1510","88","2","12","41","1537","83","15","17","41","3691","66","7","34","","","","","","","","","","",
"AXTELL ISD","Spring 2016","5","51","1611","86","39","14","51","1590","92","6","8","","","","","","52","3734","73","2","27","","","","","",
"AXTELL ISD","Spring 2016","6","40","1589","80","10","20","40","1637","83","13","18","","","","","","","","","","","","","","","",
"AXTELL ISD","Spring 2016","7","71","1639","79","15","21","70","1656","76","17","24","72","3919","79","10","21","","","","","","","","","","",
"AXTELL ISD","Spring 2016","8","58","1651","88","5","12","45","1646","62","9","38","","","","","","63","3660","59","6","41","63","3639","57","6","43",
"AXTELL ISD","May 2016","5","8","1421","25","0","75","5","1472","40","0","60","","","","","","","","","","","","","","","",
"AXTELL ISD","May 2016","8","10","1534","30","0","70","20","1541","20","0","80","","","","","","","","","","","","","","","",
"AZLE ISD","Spring 2016","3","465","1464","84","25","16","465","1485","84","21","16","","","","","","","","","","","","","","","",
"AZLE ISD","Spring 2016","4","451","1550","89","24","11","453","1579","82","23","18","448","3998","81","21","19","","","","","","","","","","",
"AZLE ISD","Spring 2016","5","425","1549","76","20","24","425","1578","73","13","27","","","","","","428","3788","74","7","26","","","","","",
"AZLE ISD","Spring 2016","6","449","1615","79","22","21","452","1635","77","15","23","","","","","","","","","","","","","","","",
"AZLE ISD","Spring 2016","7","410","1650","75","19","25","412","1635","67","10","33","411","3862","76","9","24","","","","","","","","","","",
"AZLE ISD","Spring 2016","8","433","1709","90","24","10","323","1623","62","1","38","","","","","","431","3966","79","19","21","429","3705","61","12","39",
"AZLE ISD","May 2016","5","106","1425","28","2","72","114","1484","47","1","53","","","","","","","","","","","","","","","",
"AZLE ISD","May 2016","8","42","1573","50","0","50","125","1614","62","0","38","","","","","","","","","","","","","","","",
"BAIRD ISD","Spring 2016","3","26","1411","65","15","35","26","1368","46","0","54","","","","","","","","","","","","","","","",
"BAIRD ISD","Spring 2016","4","24","1462","54","17","46","24","1449","33","8","67","23","3444","43","4","57","","","","","","","","","","",
"BAIRD ISD","Spring 2016","5","18","1472","50","0","50","18","1494","44","6","56","","","","","","18","3597","50","6","50","","","","","",
"BAIRD ISD","Spring 2016","6","24","1592","67","17","33","23","1646","87","13","13","","","","","","","","","","","","","","","",
"BAIRD ISD","Spring 2016","7","29","1583","55","14","45","29","1599","62","7","38","30","3583","50","7","50","","","","","","","","","","",
"BAIRD ISD","Spring 2016","8","24","1654","79","8","21","23","1650","78","0","22","","","","","","24","3728","75","8","25","24","3493","42","4","58",
"BAIRD ISD","May 2016","5","8","1412","13","0","88","9","1412","0","0","100","","","","","","","","","","","","","","","",
"BAIRD ISD","May 2016","8","5","1576","40","0","60","5","1564","40","0","60","","","","","","","","","","","","","","","",
"BALLINGER ISD","Spring 2016","3","75","1366","56","12","44","75","1378","59","4","41","","","","","","","","","","","","","","","",
"BALLINGER ISD","Spring 2016","4","59","1488","66","19","34","59","1503","58","15","42","61","3728","64","15","36","","","","","","","","","","",
"BALLINGER ISD","Spring 2016","5","71","1562","72","27","28","71","1576","73","11","27","","","","","","72","3874","82","10","18","","","","","",
"BALLINGER ISD","Spring 2016","6","64","1567","66","9","34","64","1606","75","13","25","","","","","","","","","","","","","","","",
"BALLINGER ISD","Spring 2016","7","63","1639","71","21","29","63","1601","63","5","37","62","3754","73","11","27","","","","","","","","","","",
"BALLINGER ISD","Spring 2016","8","60","1663","78","15","22","60","1607","53","0","47","","","","","","61","3521","49","0","51","61","3471","39","2","61",
"BALLINGER ISD","May 2016","5","19","1437","26","0","74","18","1471","39","0","61","","","","","","","","","","","","","","","",
"BALLINGER ISD","May 2016","8","15","1556","33","0","67","30","1564","37","0","63","","","","","","","","","","","","","","","",
"BALMORHEA ISD","Spring 2016","3","6","1391","50","17","50","6","1372","50","0","50","","","","","","","","","","","","","","","",
"BALMORHEA ISD","Spring 2016","4","15","1395","40","0","60","15","1393","20","0","80","15","3260","27","0","73","","","","","","","","","","",
"BALMORHEA ISD","Spring 2016","5","9","1413","44","0","56","9","1439","33","0","67","","","","","","10","3333","30","0","70","","","","","",
"BALMORHEA ISD","Spring 2016","6","10","1553","80","10","20","10","1535","40","0","60","","","","","","","","","","","","","","","",
"BALMORHEA ISD","Spring 2016","7","20","1619","75","10","25","20","1603","55","0","45","20","3815","75","10","25","","","","","","","","","","",
"BALMORHEA ISD","Spring 2016","8","10","1679","70","10","30","10","1708","80","10","20","","","","","","11","3811","82","9","18","11","3819","36","18","64",
"BALMORHEA ISD","May 2016","5","6","1340","0","0","100","7","1431","14","0","86","","","","","","","","","","","","","","","",
"BALMORHEA ISD","May 2016","8","4","-","-","-","-","3","-","-","-","-","","","","","","","","","","","","","","","",
"BANDERA ISD","Spring 2016","3","150","1427","67","19","33","150","1425","66","15","34","","","","","","","","","","","","","","","",
"BANDERA ISD","Spring 2016","4","148","1526","82","18","18","147","1519","71","9","29","161","3910","73","19","27","","","","","","","","","","",
"BANDERA ISD","Spring 2016","5","154","1574","81","25","19","154","1607","81","18","19","","","","","","157","3854","77","12","23","","","","","",
"BANDERA ISD","Spring 2016","6","146","1629","84","23","16","147","1633","79","14","21","","","","","","","","","","","","","","","",
"BANDERA ISD","Spring 2016","7","145","1644","74","19","26","145","1653","78","12","22","145","3880","74","10","26","","","","","","","","","","",
"BANDERA ISD","Spring 2016","8","150","1703","88","21","12","113","1665","78","6","22","","","","","","151","3937","72","25","28","151","3617","61","7","39",
"BANDERA ISD","May 2016","5","32","1443","44","0","56","34","1489","50","0","50","","","","","","","","","","","","","","","",
"BANDERA ISD","May 2016","8","18","1563","39","0","61","25","1607","60","0","40","","","","","","","","","","","","","","","",
"BANGS ISD","Spring 2016","3","66","1481","89","35","11","66","1419","71","8","29","","","","","","","","","","","","","","","",
"BANGS ISD","Spring 2016","4","72","1529","83","19","17","72","1482","53","8","47","72","3824","72","13","28","","","","","","","","","","",
"BANGS ISD","Spring 2016","5","54","1559","76","22","24","54","1530","63","2","37","","","","","","51","3769","76","2","24","","","","","",
"BANGS ISD","Spring 2016","6","74","1581","68","16","32","73","1563","52","0","48","","","","","","","","","","","","","","","",
"BANGS ISD","Spring 2016","7","74","1658","82","20","18","74","1664","85","11","15","73","3897","82","7","18","","","","","","","","","","",
"BANGS ISD","Spring 2016","8","100","1675","85","17","15","84","1598","56","0","44","","","","","","99","3733","67","7","33","99","3895","80","20","20",
"BANGS ISD","May 2016","5","12","1421","25","0","75","19","1472","47","0","53","","","","","","","","","","","","","","","",
"BANGS ISD","May 2016","8","15","1543","20","0","80","37","1584","49","0","51","","","","","","","","","","","","","","","",
"BANQUETE ISD","Spring 2016","3","76","1465","92","26","8","76","1543","96","34","4","","","","","","","","","","","","","","","",
"BANQUETE ISD","Spring 2016","4","64","1552","89","22","11","64","1624","89","38","11","64","3973","86","8","14","","","","","","","","","","",
"BANQUETE ISD","Spring 2016","5","60","1595","97","25","3","60","1645","93","20","7","","","","","","60","3997","93","8","7","","","","","",
"BANQUETE ISD","Spring 2016","6","65","1575","72","14","28","65","1594","72","2","28","","","","","","","","","","","","","","","",
"BANQUETE ISD","Spring 2016","7","64","1624","72","11","28","64","1667","80","14","20","64","3832","77","5","23","","","","","","","","","","",
"BANQUETE ISD","Spring 2016","8","72","1643","64","13","36","61","1600","51","0","49","","","","","","72","3892","72","21","28","72","3601","54","6","46",
