"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"HOUSTON ISD (101912)","Spring 2016","3","13349","1416","66","22","34","13322","1448","69","19","31","","","","","","","","","","","","","","","",
"HOUSTON ISD (101912)","Spring 2016","4","14863","1496","69","18","31","14536","1544","69","21","31","14920","3770","63","15","38","","","","","","","","","","",
"HOUSTON ISD (101912)","Spring 2016","5","15680","1528","64","20","36","15435","1593","72","19","28","","","","","","15419","3754","68","10","32","","","","","",
"HOUSTON ISD (101912)","Spring 2016","6","12583","1568","62","17","38","12005","1635","72","18","28","","","","","","","","","","","","","","","",
"HOUSTON ISD (101912)","Spring 2016","7","12743","1618","64","19","36","11685","1643","66","15","34","12779","3752","63","11","37","","","","","","","","","","",
"HOUSTON ISD (101912)","Spring 2016","8","12677","1657","73","16","27","9590","1652","64","8","36","","","","","","11769","3834","69","16","31","11898","3674","57","14","43",
"HOUSTON ISD (101912)","May 2016","5","5570","1400","24","0","76","4270","1456","32","0","68","","","","","","","","","","","","","","","",
"HOUSTON ISD (101912)","May 2016","8","3429","1528","27","0","73","3395","1564","34","0","66","","","","","","","","","","","","","","","",
"HOWE ISD","Spring 2016","3","75","1445","80","17","20","71","1504","90","20","10","","","","","","","","","","","","","","","",
"HOWE ISD","Spring 2016","4","75","1539","89","16","11","75","1587","92","21","8","75","3950","84","12","16","","","","","","","","","","",
"HOWE ISD","Spring 2016","5","76","1585","86","26","14","81","1649","93","21","7","","","","","","81","4025","90","15","10","","","","","",
"HOWE ISD","Spring 2016","6","67","1598","84","13","16","65","1615","80","8","20","","","","","","","","","","","","","","","",
"HOWE ISD","Spring 2016","7","72","1659","74","26","26","72","1670","86","14","14","71","4015","80","18","20","","","","","","","","","","",
"HOWE ISD","Spring 2016","8","71","1710","93","21","7","52","1668","83","0","17","","","","","","69","4096","87","20","13","69","3876","77","20","23",
"HOWE ISD","May 2016","5","12","1432","33","0","67","6","1515","67","0","33","","","","","","","","","","","","","","","",
"HOWE ISD","May 2016","8","5","1638","80","0","20","9","1606","67","0","33","","","","","","","","","","","","","","","",
"HUBBARD ISD (019913)","Spring 2016","3","17","1434","65","29","35","17","1433","59","29","41","","","","","","","","","","","","","","","",
"HUBBARD ISD (019913)","Spring 2016","4","11","1465","73","0","27","11","1436","27","0","73","11","3505","45","0","55","","","","","","","","","","",
"HUBBARD ISD (019913)","Spring 2016","5","9","1485","44","0","56","9","1522","56","11","44","","","","","","9","3559","56","0","44","","","","","",
"HUBBARD ISD (019913)","Spring 2016","6","3","-","-","-","-","3","-","-","-","-","","","","","","","","","","","","","","","",
"HUBBARD ISD (019913)","Spring 2016","7","5","1641","80","20","20","5","1684","80","20","20","5","3790","60","0","40","","","","","","","","","","",
"HUBBARD ISD (019913)","Spring 2016","8","3","-","-","-","-","3","-","-","-","-","","","","","","3","-","-","-","-","3","-","-","-","-",
"HUBBARD ISD (019913)","May 2016","5","5","1469","40","0","60","4","-","-","-","-","","","","","","","","","","","","","","","",
