"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"RED OAK ISD","Spring 2016","3","385","1443","78","23","22","400","1465","79","16","21","","","","","","","","","","","","","","","",
"RED OAK ISD","Spring 2016","4","374","1533","81","20","19","376","1595","82","32","18","366","3933","78","16","22","","","","","","","","","","",
"RED OAK ISD","Spring 2016","5","395","1565","78","25","22","397","1635","89","23","11","","","","","","393","3809","79","9","21","","","","","",
"RED OAK ISD","Spring 2016","6","393","1592","73","17","27","393","1618","73","14","27","","","","","","","","","","","","","","","",
"RED OAK ISD","Spring 2016","7","369","1637","70","18","30","366","1684","78","23","22","374","3773","68","6","32","","","","","","","","","","",
"RED OAK ISD","Spring 2016","8","310","1682","87","14","13","314","1791","96","32","4","","","","","","377","4027","85","24","15","375","3919","74","27","26",
"RED OAK ISD","May 2016","5","79","1453","42","1","58","38","1522","66","3","34","","","","","","","","","","","","","","","",
"RED OAK ISD","May 2016","8","38","1553","45","0","55","15","1599","53","0","47","","","","","","","","","","","","","","","",
"REDWATER ISD","Spring 2016","3","77","1455","83","19","17","77","1516","83","30","17","","","","","","","","","","","","","","","",
"REDWATER ISD","Spring 2016","4","84","1513","82","15","18","84","1600","90","30","10","85","3658","62","6","38","","","","","","","","","","",
"REDWATER ISD","Spring 2016","5","60","1601","88","32","12","60","1658","92","28","8","","","","","","59","3771","76","7","24","","","","","",
"REDWATER ISD","Spring 2016","6","95","1582","69","20","31","95","1647","78","18","22","","","","","","","","","","","","","","","",
"REDWATER ISD","Spring 2016","7","77","1657","75","29","25","60","1637","65","12","35","78","3878","73","10","27","","","","","","","","","","",
"REDWATER ISD","Spring 2016","8","88","1696","80","30","20","90","1747","89","24","11","","","","","","88","3865","74","16","26","87","3806","75","14","25",
"REDWATER ISD","May 2016","5","7","1402","14","0","86","4","-","-","-","-","","","","","","","","","","","","","","","",
"REDWATER ISD","May 2016","8","19","1533","16","0","84","12","1558","33","0","67","","","","","","","","","","","","","","","",
"REFUGIO ISD","Spring 2016","3","63","1410","68","17","32","63","1441","67","13","33","","","","","","","","","","","","","","","",
"REFUGIO ISD","Spring 2016","4","41","1498","76","10","24","43","1558","77","23","23","42","3609","50","5","50","","","","","","","","","","",
"REFUGIO ISD","Spring 2016","5","34","1579","82","24","18","33","1609","76","18","24","","","","","","36","3907","78","17","22","","","","","",
