"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"AQUILLA ISD","Spring 2016","3","20","1438","85","15","15","20","1424","75","10","25","","","","","","","","","","","","","","","",
"AQUILLA ISD","Spring 2016","4","19","1497","79","5","21","19","1513","68","11","32","19","3886","74","16","26","","","","","","","","","","",
"AQUILLA ISD","Spring 2016","5","19","1540","74","21","26","19","1603","84","26","16","","","","","","20","3863","80","10","20","","","","","",
"AQUILLA ISD","Spring 2016","6","20","1596","80","20","20","20","1650","95","20","5","","","","","","","","","","","","","","","",
"AQUILLA ISD","Spring 2016","7","16","1675","88","13","13","16","1711","88","25","13","16","3936","88","0","13","","","","","","","","","","",
"AQUILLA ISD","Spring 2016","8","18","1664","83","17","17","18","1701","78","17","22","","","","","","17","3611","65","0","35","17","3523","53","0","47",
"AQUILLA ISD","May 2016","5","6","1479","33","17","67","4","-","-","-","-","","","","","","","","","","","","","","","",
"AQUILLA ISD","May 2016","8","3","-","-","-","-","3","-","-","-","-","","","","","","","","","","","","","","","",
"ARANSAS COUNTY ISD","Spring 2016","3","220","1385","58","14","42","214","1419","64","11","36","","","","","","","","","","","","","","","",
"ARANSAS COUNTY ISD","Spring 2016","4","218","1505","74","16","26","215","1569","81","22","19","214","3800","68","10","32","","","","","","","","","","",
"ARANSAS COUNTY ISD","Spring 2016","5","229","1508","61","13","39","231","1598","75","16","25","","","","","","228","3713","67","6","33","","","","","",
"ARANSAS COUNTY ISD","Spring 2016","6","261","1572","69","11","31","264","1609","72","12","28","","","","","","","","","","","","","","","",
"ARANSAS COUNTY ISD","Spring 2016","7","198","1631","70","19","30","196","1680","78","22","22","197","3802","66","12","34","","","","","","","","","","",
"ARANSAS COUNTY ISD","Spring 2016","8","231","1682","79","19","21","199","1645","72","2","28","","","","","","229","3936","77","21","23","230","3728","63","12","37",
"ARANSAS COUNTY ISD","May 2016","5","90","1420","36","0","64","58","1480","40","0","60","","","","","","","","","","","","","","","",
"ARANSAS COUNTY ISD","May 2016","8","47","1566","53","0","47","57","1552","23","0","77","","","","","","","","","","","","","","","",
"ARANSAS PASS ISD","Spring 2016","3","121","1372","59","11","41","120","1386","57","10","43","","","","","","","","","","","","","","","",
"ARANSAS PASS ISD","Spring 2016","4","132","1504","75","17","25","132","1511","65","10","35","132","3664","64","5","36","","","","","","","","","","",
"ARANSAS PASS ISD","Spring 2016","5","127","1539","69","20","31","127","1544","71","4","29","","","","","","131","3681","63","3","37","","","","","",
"ARANSAS PASS ISD","Spring 2016","6","154","1551","62","9","38","153","1574","63","4","37","","","","","","","","","","","","","","","",
"ARANSAS PASS ISD","Spring 2016","7","125","1581","51","9","49","122","1623","62","11","38","119","3564","47","3","53","","","","","","","","","","",
"ARANSAS PASS ISD","Spring 2016","8","133","1676","79","13","21","108","1611","56","1","44","","","","","","131","3710","66","6","34","132","3567","55","5","45",
"ARANSAS PASS ISD","May 2016","5","40","1431","28","3","73","38","1478","45","0","55","","","","","","","","","","","","","","","",
"ARANSAS PASS ISD","May 2016","8","31","1543","32","0","68","48","1579","46","0","54","","","","","","","","","","","","","","","",
"ARCHER CITY ISD","Spring 2016","3","30","1460","80","30","20","30","1397","73","3","27","","","","","","","","","","","","","","","",
"ARCHER CITY ISD","Spring 2016","4","30","1568","87","33","13","30","1532","67","17","33","28","3982","86","18","14","","","","","","","","","","",
"ARCHER CITY ISD","Spring 2016","5","32","1639","91","41","9","31","1633","84","23","16","","","","","","32","4232","97","31","3","","","","","",
"ARCHER CITY ISD","Spring 2016","6","41","1619","83","20","17","39","1652","90","13","10","","","","","","","","","","","","","","","",
"ARCHER CITY ISD","Spring 2016","7","18","1646","78","17","22","18","1706","94","22","6","18","4037","78","22","22","","","","","","","","","","",
"ARCHER CITY ISD","Spring 2016","8","32","1667","88","13","13","32","1680","88","6","13","","","","","","32","3778","69","6","31","32","3654","59","6","41",
"ARCHER CITY ISD","May 2016","5","4","-","-","-","-","6","1488","67","0","33","","","","","","","","","","","","","","","",
"ARCHER CITY ISD","May 2016","8","4","-","-","-","-","4","-","-","-","-","","","","","","","","","","","","","","","",
"ARGYLE ISD","Spring 2016","3","146","1485","87","38","13","143","1499","84","27","16","","","","","","","","","","","","","","","",
"ARGYLE ISD","Spring 2016","4","163","1581","91","38","9","164","1660","95","48","5","165","4078","85","25","15","","","","","","","","","","",
"ARGYLE ISD","Spring 2016","5","176","1643","91","46","9","178","1687","94","37","6","","","","","","180","4148","93","28","7","","","","","",
"ARGYLE ISD","Spring 2016","6","155","1671","94","40","6","106","1671","93","18","7","","","","","","","","","","","","","","","",
"ARGYLE ISD","Spring 2016","7","170","1721","92","44","8","134","1736","89","28","11","171","4338","91","37","9","","","","","","","","","","",
"ARGYLE ISD","Spring 2016","8","191","1729","96","29","4","205","1709","87","11","13","","","","","","189","4183","92","30","8","190","4007","87","29","13",
"ARGYLE ISD","May 2016","5","18","1453","50","0","50","13","1521","62","8","38","","","","","","","","","","","","","","","",
"ARGYLE ISD","May 2016","8","8","1567","50","0","50","23","1609","65","0","35","","","","","","","","","","","","","","","",
"ARISTOI CLASSICAL ACADEMY (101803)","Spring 2016","3","65","1458","82","18","18","66","1457","77","12","23","","","","","","","","","","","","","","","",
"ARISTOI CLASSICAL ACADEMY (101803)","Spring 2016","4","65","1535","86","23","14","66","1509","62","14","38","66","3905","77","15","23","","","","","","","","","","",
"ARISTOI CLASSICAL ACADEMY (101803)","Spring 2016","5","63","1579","90","21","10","64","1557","70","8","30","","","","","","64","3573","53","3","47","","","","","",
"ARISTOI CLASSICAL ACADEMY (101803)","Spring 2016","6","69","1624","74","23","26","69","1570","57","1","43","","","","","","","","","","","","","","","",
"ARISTOI CLASSICAL ACADEMY (101803)","Spring 2016","7","47","1675","85","28","15","45","1684","91","16","9","50","3929","84","6","16","","","","","","","","","","",
"ARISTOI CLASSICAL ACADEMY (101803)","Spring 2016","8","39","1725","92","21","8","21","1588","43","0","57","","","","","","40","3744","73","3","28","40","3753","75","8","25",
"ARISTOI CLASSICAL ACADEMY (101803)","May 2016","5","7","1444","43","0","57","19","1475","32","0","68","","","","","","","","","","","","","","","",
"ARISTOI CLASSICAL ACADEMY (101803)","May 2016","8","4","-","-","-","-","12","1586","58","0","42","","","","","","","","","","","","","","","",
"ARLINGTON CLASSICS ACADEMY","Spring 2016","3","168","1521","96","46","4","165","1542","92","32","8","","","","","","","","","","","","","","","",
"ARLINGTON CLASSICS ACADEMY","Spring 2016","4","167","1587","95","34","5","168","1582","81","28","19","167","4174","89","30","11","","","","","","","","","","",
"ARLINGTON CLASSICS ACADEMY","Spring 2016","5","166","1627","89","39","11","158","1631","87","26","13","","","","","","167","4053","88","20","12","","","","","",
"ARLINGTON CLASSICS ACADEMY","Spring 2016","6","167","1630","86","23","14","171","1639","84","15","16","","","","","","","","","","","","","","","",
"ARLINGTON CLASSICS ACADEMY","Spring 2016","7","128","1692","88","31","12","127","1707","84","25","16","127","4251","91","31","9","","","","","","","","","","",
"ARLINGTON CLASSICS ACADEMY","Spring 2016","8","84","1761","99","40","1","12","1601","42","0","58","","","","","","7","3789","100","0","0","84","4068","89","33","11",
"ARLINGTON CLASSICS ACADEMY","May 2016","5","21","1423","43","0","57","24","1476","50","0","50","","","","","","","","","","","","","","","",
"ARLINGTON CLASSICS ACADEMY","May 2016","8","1","-","-","-","-","7","1607","43","0","57","","","","","","","","","","","","","","","",
"ARLINGTON ISD","Spring 2016","3","4073","1422","70","20","30","4309","1446","72","15","28","","","","","","","","","","","","","","","",
"ARLINGTON ISD","Spring 2016","4","4275","1494","70","16","30","4354","1530","67","16","33","4300","3761","64","12","36","","","","","","","","","","",
"ARLINGTON ISD","Spring 2016","5","4295","1540","69","20","31","4324","1578","71","14","29","","","","","","4332","3738","68","8","32","","","","","",
"ARLINGTON ISD","Spring 2016","6","4522","1583","69","17","31","4510","1627","71","16","29","","","","","","","","","","","","","","","",
"ARLINGTON ISD","Spring 2016","7","4133","1632","70","20","30","4009","1665","71","19","29","4131","3825","69","11","31","","","","","","","","","","",
"ARLINGTON ISD","Spring 2016","8","4099","1676","81","17","19","2750","1633","62","4","38","","","","","","3997","3890","73","18","27","3995","3775","66","17","34",
"ARLINGTON ISD","May 2016","5","1333","1407","25","0","75","1267","1467","39","0","61","","","","","","","","","","","","","","","",
"ARLINGTON ISD","May 2016","8","788","1550","36","1","64","1020","1567","35","0","65","","","","","","","","","","","","","","","",
"ARP ISD","Spring 2016","3","55","1418","71","15","29","55","1430","80","5","20","","","","","","","","","","","","","","","",
"ARP ISD","Spring 2016","4","52","1552","83","31","17","52","1567","79","19","21","53","3902","79","13","21","","","","","","","","","","",
"ARP ISD","Spring 2016","5","56","1555","77","18","23","58","1627","83","22","17","","","","","","58","3996","88","16","12","","","","","",
"ARP ISD","Spring 2016","6","60","1564","63","13","37","60","1617","73","12","27","","","","","","","","","","","","","","","",
"ARP ISD","Spring 2016","7","64","1648","70","23","30","49","1598","63","0","37","66","3829","71","9","29","","","","","","","","","","",
"ARP ISD","Spring 2016","8","58","1680","79","17","21","57","1684","81","9","19","","","","","","57","3904","74","21","26","57","3707","67","14","33",
"ARP ISD","May 2016","5","15","1480","53","13","47","10","1481","50","0","50","","","","","","","","","","","","","","","",
"ARP ISD","May 2016","8","12","1568","33","0","67","11","1629","64","0","36","","","","","","","","","","","","","","","",
"ARROW ACADEMY","Spring 2016","3","74","1454","78","30","22","75","1475","81","16","19","","","","","","","","","","","","","","","",
"ARROW ACADEMY","Spring 2016","4","68","1527","85","21","15","69","1531","71","12","29","68","3839","75","12","25","","","","","","","","","","",
"ARROW ACADEMY","Spring 2016","5","54","1541","76","13","24","54","1584","76","13","24","","","","","","55","3699","64","9","36","","","","","",
"ARROW ACADEMY","Spring 2016","6","17","1526","47","6","53","17","1557","59","0","41","","","","","","","","","","","","","","","",
"ARROW ACADEMY","May 2016","5","13","1413","23","0","77","13","1458","31","0","69","","","","","","","","","","","","","","","",
"ASPERMONT ISD","Spring 2016","3","20","1509","85","45","15","20","1558","95","40","5","","","","","","","","","","","","","","","",
"ASPERMONT ISD","Spring 2016","4","15","1566","87","47","13","15","1640","93","40","7","15","4343","80","47","20","","","","","","","","","","",
"ASPERMONT ISD","Spring 2016","5","10","1586","100","30","0","10","1730","100","50","0","","","","","","10","4062","100","30","0","","","","","",
"ASPERMONT ISD","Spring 2016","6","16","1590","69","19","31","16","1652","75","19","25","","","","","","","","","","","","","","","",
