"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"ELECTRA ISD","Spring 2016","3","32","1397","72","9","28","32","1405","69","6","31","","","","","","","","","","","","","","","",
"ELECTRA ISD","Spring 2016","4","25","1508","68","32","32","25","1527","60","16","40","25","3882","72","12","28","","","","","","","","","","",
"ELECTRA ISD","Spring 2016","5","26","1558","69","23","31","26","1576","69","12","31","","","","","","26","3719","81","4","19","","","","","",
"ELECTRA ISD","Spring 2016","6","23","1577","78","4","22","23","1638","83","13","17","","","","","","","","","","","","","","","",
"ELECTRA ISD","Spring 2016","7","14","1651","79","21","21","14","1698","86","21","14","14","4075","93","14","7","","","","","","","","","","",
"ELECTRA ISD","Spring 2016","8","26","1707","92","19","8","26","1704","88","8","12","","","","","","27","4004","89","15","11","27","3832","78","15","22",
"ELECTRA ISD","May 2016","5","8","1447","38","0","63","8","1492","63","0","38","","","","","","","","","","","","","","","",
"ELECTRA ISD","May 2016","8","3","-","-","-","-","4","-","-","-","-","","","","","","","","","","","","","","","",
"ELGIN ISD","Spring 2016","3","271","1371","53","13","47","325","1392","56","10","44","","","","","","","","","","","","","","","",
"ELGIN ISD","Spring 2016","4","283","1466","65","8","35","294","1499","62","11","38","286","3595","55","7","45","","","","","","","","","","",
"ELGIN ISD","Spring 2016","5","261","1525","67","18","33","264","1565","66","12","34","","","","","","264","3698","67","5","33","","","","","",
"ELGIN ISD","Spring 2016","6","294","1528","51","7","49","288","1559","54","3","46","","","","","","","","","","","","","","","",
