"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"ALIEF MONTESSORI COMMUNITY SCHOO","Spring 2016","3","29","1452","90","21","10","29","1443","76","17","24","","","","","","","","","","","","","","","",
"ALIEF MONTESSORI COMMUNITY SCHOO","Spring 2016","4","20","1540","95","25","5","20","1547","80","20","20","20","3891","85","5","15","","","","","","","","","","",
"ALIEF MONTESSORI COMMUNITY SCHOO","Spring 2016","5","20","1580","85","35","15","20","1624","90","25","10","","","","","","20","3739","70","5","30","","","","","",
"ALIEF MONTESSORI COMMUNITY SCHOO","May 2016","5","4","-","-","-","-","3","-","-","-","-","","","","","","","","","","","","","","","",
"ALLEN ISD","Spring 2016","3","1544","1521","90","46","10","1516","1559","92","42","8","","","","","","","","","","","","","","","",
"ALLEN ISD","Spring 2016","4","1604","1594","93","40","7","1601","1655","91","47","9","1601","4280","89","35","11","","","","","","","","","","",
"ALLEN ISD","Spring 2016","5","1627","1655","92","50","8","1623","1713","94","45","6","","","","","","1616","4061","89","23","11","","","","","",
"ALLEN ISD","Spring 2016","6","1553","1692","92","44","8","1532","1792","96","54","4","","","","","","","","","","","","","","","",
"ALLEN ISD","Spring 2016","7","1659","1737","91","48","9","1645","1804","94","51","6","1669","4293","90","33","10","","","","","","","","","","",
"ALLEN ISD","Spring 2016","8","1563","1764","96","42","4","821","1713","90","8","10","","","","","","1553","4421","95","50","5","1548","4307","92","53","8",
