"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"PRINGLE-MORSE CISD","Spring 2016","3","14","1421","64","29","36","14","1450","71","7","29","","","","","","","","","","","","","","","",
"PRINGLE-MORSE CISD","Spring 2016","4","14","1513","71","21","29","14","1581","93","21","7","14","3693","79","0","21","","","","","","","","","","",
"PRINGLE-MORSE CISD","Spring 2016","5","14","1577","71","43","29","14","1589","71","7","29","","","","","","14","4066","86","29","14","","","","","",
"PRINGLE-MORSE CISD","Spring 2016","6","13","1558","77","0","23","13","1562","62","8","38","","","","","","","","","","","","","","","",
"PRINGLE-MORSE CISD","Spring 2016","7","8","1666","100","25","0","9","1657","78","11","22","7","3745","57","0","43","","","","","","","","","","",
"PRINGLE-MORSE CISD","Spring 2016","8","7","1719","100","29","0","4","-","-","-","-","","","","","","7","4146","100","29","0","7","4361","100","71","0",
"PRINGLE-MORSE CISD","May 2016","5","4","-","-","-","-","4","-","-","-","-","","","","","","","","","","","","","","","",
"PRIORITY CHARTER SCHOOLS","Spring 2016","3","81","1411","73","15","27","81","1401","64","2","36","","","","","","","","","","","","","","","",
"PRIORITY CHARTER SCHOOLS","Spring 2016","4","64","1481","69","9","31","63","1519","60","21","40","64","3834","66","20","34","","","","","","","","","","",
"PRIORITY CHARTER SCHOOLS","Spring 2016","5","79","1546","70","24","30","80","1555","64","13","36","","","","","","80","3672","66","4","34","","","","","",
