"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"WESTWOOD ISD","Spring 2016","3","95","1416","71","19","29","96","1398","55","7","45","","","","","","","","","","","","","","","",
"WESTWOOD ISD","Spring 2016","4","106","1493","65","18","35","108","1495","62","7","38","105","3736","60","10","40","","","","","","","","","","",
"WESTWOOD ISD","Spring 2016","5","115","1524","62","17","38","115","1543","61","10","39","","","","","","114","3670","56","7","44","","","","","",
"WESTWOOD ISD","Spring 2016","6","110","1570","67","18","33","111","1599","64","8","36","","","","","","","","","","","","","","","",
"WESTWOOD ISD","Spring 2016","7","102","1620","63","18","37","75","1555","41","0","59","103","3709","66","7","34","","","","","","","","","","",
"WESTWOOD ISD","Spring 2016","8","108","1661","84","11","16","107","1651","75","1","25","","","","","","110","3776","76","6","24","110","3645","58","12","42",
"WESTWOOD ISD","May 2016","5","44","1409","23","0","77","45","1457","33","0","67","","","","","","","","","","","","","","","",
"WESTWOOD ISD","May 2016","8","19","1566","42","0","58","29","1620","69","0","31","","","","","","","","","","","","","","","",
"WHARTON ISD","Spring 2016","3","186","1357","48","9","52","188","1406","59","12","41","","","","","","","","","","","","","","","",
"WHARTON ISD","Spring 2016","4","172","1430","55","5","45","172","1499","60","10","40","174","3522","48","2","52","","","","","","","","","","",
"WHARTON ISD","Spring 2016","5","151","1548","73","20","27","151","1613","80","19","20","","","","","","151","3862","79","7","21","","","","","",
"WHARTON ISD","Spring 2016","6","126","1567","64","16","36","126","1615","64","13","36","","","","","","","","","","","","","","","",
"WHARTON ISD","Spring 2016","7","137","1578","55","9","45","138","1600","55","9","45","137","3637","55","9","45","","","","","","","","","","",
