"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"DIBOLL ISD","Spring 2016","3","109","1443","76","18","24","115","1435","74","5","26","","","","","","","","","","","","","","","",
"DIBOLL ISD","Spring 2016","4","106","1489","76","12","24","118","1513","64","9","36","104","3559","48","3","52","","","","","","","","","","",
"DIBOLL ISD","Spring 2016","5","116","1548","76","21","24","120","1569","71","11","29","","","","","","121","3680","68","5","32","","","","","",
"DIBOLL ISD","Spring 2016","6","117","1584","72","13","28","117","1606","72","11","28","","","","","","","","","","","","","","","",
"DIBOLL ISD","Spring 2016","7","105","1628","72","15","28","106","1680","85","12","15","103","3637","60","1","40","","","","","","","","","","",
"DIBOLL ISD","Spring 2016","8","126","1678","84","16","16","104","1715","88","14","13","","","","","","122","3861","74","14","26","123","3809","76","14","24",
"DIBOLL ISD","May 2016","5","28","1435","32","0","68","36","1481","50","0","50","","","","","","","","","","","","","","","",
"DIBOLL ISD","May 2016","8","19","1585","63","0","37","12","1598","42","0","58","","","","","","","","","","","","","","","",
"DICKINSON ISD","Spring 2016","3","900","1401","65","16","35","900","1444","72","14","28","","","","","","","","","","","","","","","",
"DICKINSON ISD","Spring 2016","4","820","1502","73","16","27","833","1567","76","25","24","823","3713","64","8","36","","","","","","","","","","",
"DICKINSON ISD","Spring 2016","5","736","1520","66","15","34","730","1574","71","13","29","","","","","","729","3722","69","7","31","","","","","",
"DICKINSON ISD","Spring 2016","6","751","1572","68","13","32","747","1615","72","11","28","","","","","","","","","","","","","","","",
"DICKINSON ISD","Spring 2016","7","752","1610","66","13","34","737","1651","69","15","31","754","3635","56","6","44","","","","","","","","","","",
"DICKINSON ISD","Spring 2016","8","697","1664","78","14","22","572","1653","71","3","29","","","","","","660","3932","74","22","26","653","3620","56","9","44",
"DICKINSON ISD","May 2016","5","241","1410","27","1","73","203","1465","37","0","63","","","","","","","","","","","","","","","",
"DICKINSON ISD","May 2016","8","135","1557","36","0","64","161","1569","34","0","66","","","","","","","","","","","","","","","",
"DILLEY ISD","Spring 2016","3","61","1383","59","15","41","61","1387","59","5","41","","","","","","","","","","","","","","","",
"DILLEY ISD","Spring 2016","4","78","1430","50","5","50","78","1472","55","6","45","78","3523","47","4","53","","","","","","","","","","",
"DILLEY ISD","Spring 2016","5","73","1482","55","8","45","73","1484","40","3","60","","","","","","67","3507","48","0","52","","","","","",
"DILLEY ISD","Spring 2016","6","55","1553","69","7","31","55","1537","45","0","55","","","","","","","","","","","","","","","",
