"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"TIDEHAVEN ISD","Spring 2016","3","66","1435","71","26","29","66","1459","74","14","26","","","","","","","","","","","","","","","",
"TIDEHAVEN ISD","Spring 2016","4","67","1511","85","16","15","67","1537","79","13","21","67","3677","67","3","33","","","","","","","","","","",
"TIDEHAVEN ISD","Spring 2016","5","56","1506","64","14","36","56","1585","75","13","25","","","","","","54","3822","78","9","22","","","","","",
"TIDEHAVEN ISD","Spring 2016","6","53","1560","55","15","45","52","1572","58","12","42","","","","","","","","","","","","","","","",
"TIDEHAVEN ISD","Spring 2016","7","61","1619","75","15","25","59","1631","76","5","24","61","3749","72","3","28","","","","","","","","","","",
"TIDEHAVEN ISD","Spring 2016","8","64","1707","89","23","11","55","1623","65","2","35","","","","","","63","3672","62","13","38","63","3650","60","10","40",
"TIDEHAVEN ISD","May 2016","5","19","1434","37","0","63","13","1429","23","0","77","","","","","","","","","","","","","","","",
"TIDEHAVEN ISD","May 2016","8","7","1499","14","0","86","19","1550","21","0","79","","","","","","","","","","","","","","","",
"TIMPSON ISD","Spring 2016","3","27","1508","89","37","11","28","1513","89","25","11","","","","","","","","","","","","","","","",
"TIMPSON ISD","Spring 2016","4","49","1505","86","12","14","50","1551","86","10","14","51","3807","84","6","16","","","","","","","","","","",
"TIMPSON ISD","Spring 2016","5","35","1544","86","11","14","35","1607","89","14","11","","","","","","40","3896","88","5","13","","","","","",
"TIMPSON ISD","Spring 2016","6","52","1577","75","10","25","52","1636","83","12","17","","","","","","","","","","","","","","","",
"TIMPSON ISD","Spring 2016","7","43","1602","60","16","40","43","1634","81","7","19","42","3792","69","5","31","","","","","","","","","","",
"TIMPSON ISD","Spring 2016","8","47","1676","89","9","11","48","1692","88","4","13","","","","","","46","4064","83","26","17","45","3765","78","7","22",
"TIMPSON ISD","May 2016","5","10","1462","60","0","40","7","1570","100","0","0","","","","","","","","","","","","","","","",
"TIMPSON ISD","May 2016","8","5","1553","40","0","60","6","1658","100","0","0","","","","","","","","","","","","","","","",
"TIOGA ISD","Spring 2016","3","29","1499","93","41","7","29","1572","93","48","7","","","","","","","","","","","","","","","",
"TIOGA ISD","Spring 2016","4","33","1542","94","15","6","33","1608","91","24","9","33","4044","76","27","24","","","","","","","","","","",
"TIOGA ISD","Spring 2016","5","40","1611","95","35","5","40","1648","100","25","0","","","","","","39","3989","97","15","3","","","","","",
"TIOGA ISD","Spring 2016","6","23","1677","91","35","9","23","1659","91","13","9","","","","","","","","","","","","","","","",
"TIOGA ISD","Spring 2016","7","27","1658","85","26","15","28","1646","61","11","39","27","3901","81","19","19","","","","","","","","","","",
"TIOGA ISD","Spring 2016","8","26","1741","100","31","0","16","1649","88","0","13","","","","","","26","3932","88","12","12","26","3817","77","15","23",
"TIOGA ISD","May 2016","5","5","1409","20","0","80","","","","","","","","","","","","","","","","","","","","",
"TIOGA ISD","May 2016","8","2","-","-","-","-","7","1628","71","0","29","","","","","","","","","","","","","","","",
"TOLAR ISD","Spring 2016","3","61","1454","79","31","21","61","1423","79","5","21","","","","","","","","","","","","","","","",
"TOLAR ISD","Spring 2016","4","60","1490","63","10","37","60","1542","77","13","23","60","3637","62","5","38","","","","","","","","","","",
"TOLAR ISD","Spring 2016","5","65","1579","83","28","17","65","1584","78","14","22","","","","","","63","4029","94","8","6","","","","","",
"TOLAR ISD","Spring 2016","6","52","1569","69","13","31","51","1667","96","20","4","","","","","","","","","","","","","","","",
"TOLAR ISD","Spring 2016","7","55","1651","87","15","13","56","1689","79","20","21","54","3910","83","7","17","","","","","","","","","","",
"TOLAR ISD","Spring 2016","8","61","1714","97","20","3","40","1667","80","0","20","","","","","","61","3992","85","21","15","61","3664","66","10","34",
"TOLAR ISD","May 2016","5","8","1408","25","0","75","11","1491","45","0","55","","","","","","","","","","","","","","","",
"TOLAR ISD","May 2016","8","1","-","-","-","-","7","1591","29","0","71","","","","","","","","","","","","","","","",
"TOM BEAN ISD","Spring 2016","3","44","1411","73","11","27","44","1506","89","18","11","","","","","","","","","","","","","","","",
"TOM BEAN ISD","Spring 2016","4","60","1508","70","15","30","59","1562","83","22","17","63","3764","68","10","32","","","","","","","","","","",
"TOM BEAN ISD","Spring 2016","5","58","1537","66","16","34","58","1610","83","19","17","","","","","","58","3714","66","2","34","","","","","",
"TOM BEAN ISD","Spring 2016","6","54","1601","69","24","31","54","1661","85","22","15","","","","","","","","","","","","","","","",
"TOM BEAN ISD","Spring 2016","7","45","1663","82","22","18","35","1648","80","9","20","46","3851","72","11","28","","","","","","","","","","",
"TOM BEAN ISD","Spring 2016","8","41","1705","88","22","12","43","1666","72","9","28","","","","","","41","3778","59","20","41","41","3661","56","10","44",
"TOM BEAN ISD","May 2016","5","21","1464","62","0","38","9","1473","56","0","44","","","","","","","","","","","","","","","",
"TOM BEAN ISD","May 2016","8","5","1534","20","0","80","12","1595","42","0","58","","","","","","","","","","","","","","","",
"TOMBALL ISD","Spring 2016","3","1061","1504","89","39","11","1124","1531","90","33","10","","","","","","","","","","","","","","","",
"TOMBALL ISD","Spring 2016","4","1075","1580","91","34","9","1130","1635","91","40","9","1071","4109","85","26","15","","","","","","","","","","",
"TOMBALL ISD","Spring 2016","5","1048","1636","92","42","8","1069","1702","94","42","6","","","","","","1053","4072","91","21","9","","","","","",
"TOMBALL ISD","Spring 2016","6","1087","1667","88","35","12","1079","1736","92","40","8","","","","","","","","","","","","","","","",
