"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"PLEASANTON ISD","Spring 2016","3","272","1394","60","14","40","272","1438","72","14","28","","","","","","","","","","","","","","","",
"PLEASANTON ISD","Spring 2016","4","227","1461","58","11","42","231","1499","64","13","36","228","3553","54","5","46","","","","","","","","","","",
"PLEASANTON ISD","Spring 2016","5","222","1536","68","18","32","226","1583","75","15","25","","","","","","226","3715","68","8","32","","","","","",
"PLEASANTON ISD","Spring 2016","6","266","1561","64","13","36","265","1626","79","13","21","","","","","","","","","","","","","","","",
"PLEASANTON ISD","Spring 2016","7","197","1644","75","23","25","197","1660","74","17","26","196","3914","75","15","25","","","","","","","","","","",
"PLEASANTON ISD","Spring 2016","8","211","1667","78","14","22","171","1648","65","4","35","","","","","","210","3911","74","17","26","212","3628","58","9","42",
"PLEASANTON ISD","May 2016","5","69","1411","23","0","77","57","1478","42","0","58","","","","","","","","","","","","","","","",
"PLEASANTON ISD","May 2016","8","50","1553","34","0","66","60","1571","40","0","60","","","","","","","","","","","","","","","",
"PLEMONS-STINNETT-PHILLIPS CISD","Spring 2016","3","48","1466","83","31","17","48","1483","85","19","15","","","","","","","","","","","","","","","",
"PLEMONS-STINNETT-PHILLIPS CISD","Spring 2016","4","42","1501","79","10","21","42","1530","81","10","19","42","3753","71","7","29","","","","","","","","","","",
