"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"GROVETON ISD","Spring 2016","3","58","1447","79","22","21","58","1440","76","7","24","","","","","","","","","","","","","","","",
"GROVETON ISD","Spring 2016","4","50","1515","90","10","10","51","1503","65","4","35","53","3821","77","15","23","","","","","","","","","","",
"GROVETON ISD","Spring 2016","5","56","1526","73","14","27","56","1531","54","5","46","","","","","","57","3804","74","7","26","","","","","",
"GROVETON ISD","Spring 2016","6","44","1592","70","16","30","44","1662","91","23","9","","","","","","","","","","","","","","","",
"GROVETON ISD","Spring 2016","7","52","1639","75","15","25","52","1678","79","15","21","50","3889","72","14","28","","","","","","","","","","",
"GROVETON ISD","Spring 2016","8","44","1681","89","16","11","27","1633","59","0","41","","","","","","45","3906","82","13","18","45","3606","49","7","51",
"GROVETON ISD","May 2016","5","15","1442","47","0","53","26","1476","38","0","62","","","","","","","","","","","","","","","",
"GROVETON ISD","May 2016","8","7","1560","57","0","43","13","1579","54","0","46","","","","","","","","","","","","","","","",
"GRUVER ISD","Spring 2016","3","27","1469","96","30","4","27","1503","89","19","11","","","","","","","","","","","","","","","",
"GRUVER ISD","Spring 2016","4","37","1562","92","24","8","37","1636","97","35","3","38","3994","87","18","13","","","","","","","","","","",
"GRUVER ISD","Spring 2016","5","38","1579","84","24","16","35","1647","94","20","6","","","","","","34","3988","88","24","12","","","","","",
"GRUVER ISD","Spring 2016","6","32","1604","88","13","13","28","1658","86","18","14","","","","","","","","","","","","","","","",
"GRUVER ISD","Spring 2016","7","30","1672","90","20","10","27","1713","96","22","4","30","4254","90","27","10","","","","","","","","","","",
"GRUVER ISD","Spring 2016","8","25","1741","88","44","12","16","1680","81","0","19","","","","","","24","4322","100","42","0","24","4076","96","42","4",
"GRUVER ISD","May 2016","5","4","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"GRUVER ISD","May 2016","8","2","-","-","-","-","3","-","-","-","-","","","","","","","","","","","","","","","",
"GUNTER ISD","Spring 2016","3","52","1485","94","37","6","52","1551","92","42","8","","","","","","","","","","","","","","","",
"GUNTER ISD","Spring 2016","4","48","1595","96","42","4","48","1668","98","54","2","49","4158","94","27","6","","","","","","","","","","",
"GUNTER ISD","Spring 2016","5","57","1606","91","32","9","58","1596","83","14","17","","","","","","57","4029","93","21","7","","","","","",
"GUNTER ISD","Spring 2016","6","48","1642","90","17","10","48","1639","90","6","10","","","","","","","","","","","","","","","",
"GUNTER ISD","Spring 2016","7","52","1700","94","27","6","52","1710","90","13","10","52","4033","88","12","12","","","","","","","","","","",
"GUNTER ISD","Spring 2016","8","64","1754","100","41","0","30","1650","80","0","20","","","","","","65","4087","85","23","15","64","3912","81","20","19",
"GUNTER ISD","May 2016","5","6","1541","83","17","17","10","1485","40","0","60","","","","","","","","","","","","","","","",
"GUNTER ISD","May 2016","8","3","-","-","-","-","9","1578","56","0","44","","","","","","","","","","","","","","","",
"GUSTINE ISD","Spring 2016","3","16","1384","69","0","31","15","1375","47","0","53","","","","","","","","","","","","","","","",
"GUSTINE ISD","Spring 2016","4","12","1409","42","0","58","13","1458","62","0","38","12","3255","33","0","67","","","","","","","","","","",
"GUSTINE ISD","Spring 2016","5","14","1431","36","0","64","15","1475","27","0","73","","","","","","15","3346","40","0","60","","","","","",
"GUSTINE ISD","Spring 2016","6","13","1525","46","8","54","14","1591","64","14","36","","","","","","","","","","","","","","","",
"GUSTINE ISD","Spring 2016","7","8","1608","63","13","38","8","1631","75","13","25","8","4003","75","13","25","","","","","","","","","","",
"GUSTINE ISD","Spring 2016","8","14","1692","93","14","7","14","1739","93","14","7","","","","","","14","3858","93","14","7","14","3994","79","29","21",
