"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"LIBERTY-EYLAU ISD","Spring 2016","3","172","1447","80","26","20","172","1457","78","15","22","","","","","","","","","","","","","","","",
"LIBERTY-EYLAU ISD","Spring 2016","4","173","1485","68","14","32","174","1485","53","11","47","171","3640","57","8","43","","","","","","","","","","",
"LIBERTY-EYLAU ISD","Spring 2016","5","153","1514","63","11","37","153","1541","67","8","33","","","","","","155","3604","58","4","42","","","","","",
"LIBERTY-EYLAU ISD","Spring 2016","6","164","1561","63","13","37","164","1551","50","4","50","","","","","","","","","","","","","","","",
"LIBERTY-EYLAU ISD","Spring 2016","7","170","1622","72","9","28","168","1624","65","6","35","172","3840","74","8","26","","","","","","","","","","",
"LIBERTY-EYLAU ISD","Spring 2016","8","137","1649","82","8","18","124","1599","53","0","47","","","","","","142","3641","63","1","37","142","3545","48","5","52",
"LIBERTY-EYLAU ISD","May 2016","5","59","1429","34","2","66","54","1486","46","0","54","","","","","","","","","","","","","","","",
"LIBERTY-EYLAU ISD","May 2016","8","27","1543","33","0","67","59","1577","41","0","59","","","","","","","","","","","","","","","",
"LIFE SCHOOL","Spring 2016","3","494","1406","64","16","36","513","1401","60","8","40","","","","","","","","","","","","","","","",
"LIFE SCHOOL","Spring 2016","4","421","1509","77","17","23","430","1491","56","9","44","416","3841","72","12","28","","","","","","","","","","",
"LIFE SCHOOL","Spring 2016","5","416","1552","74","21","26","416","1571","70","12","30","","","","","","420","3735","71","8","29","","","","","",
"LIFE SCHOOL","Spring 2016","6","385","1601","76","18","24","383","1602","68","9","32","","","","","","","","","","","","","","","",
"LIFE SCHOOL","Spring 2016","7","340","1627","69","15","31","338","1629","61","12","39","342","3761","70","5","30","","","","","","","","","","",
"LIFE SCHOOL","Spring 2016","8","370","1676","86","14","14","235","1601","49","0","51","","","","","","366","3741","68","7","32","365","3624","57","7","43",
"LIFE SCHOOL","May 2016","5","111","1423","30","0","70","126","1483","49","2","51","","","","","","","","","","","","","","","",
"LIFE SCHOOL","May 2016","8","52","1559","44","0","56","120","1612","64","0","36","","","","","","","","","","","","","","","",
"LIGHTHOUSE CHARTER SCHOOL (015825)","Spring 2016","3","30","1434","73","17","27","30","1518","93","20","7","","","","","","","","","","","","","","","",
"LIGHTHOUSE CHARTER SCHOOL (015825)","Spring 2016","4","20","1543","85","15","15","20","1579","95","25","5","20","4067","85","30","15","","","","","","","","","","",
"LIGHTHOUSE CHARTER SCHOOL (015825)","Spring 2016","5","31","1476","52","6","48","31","1555","84","6","16","","","","","","31","3586","55","0","45","","","","","",
"LIGHTHOUSE CHARTER SCHOOL (015825)","Spring 2016","6","31","1514","48","6","52","32","1603","72","3","28","","","","","","","","","","","","","","","",
"LIGHTHOUSE CHARTER SCHOOL (015825)","Spring 2016","7","25","1588","60","16","40","24","1676","83","17","17","25","3735","64","4","36","","","","","","","","","","",
"LIGHTHOUSE CHARTER SCHOOL (015825)","Spring 2016","8","10","1637","80","0","20","9","1752","100","22","0","","","","","","8","3884","100","0","0","8","3667","88","0","13",
"LIGHTHOUSE CHARTER SCHOOL (015825)","May 2016","5","15","1459","47","0","53","5","1431","0","0","100","","","","","","","","","","","","","","","",
"LIGHTHOUSE CHARTER SCHOOL (015825)","May 2016","8","2","-","-","-","-","","","","","","","","","","","","","","","","","","","","",
"LINDALE ISD","Spring 2016","3","300","1457","80","29","20","298","1483","83","19","17","","","","","","","","","","","","","","","",
"LINDALE ISD","Spring 2016","4","252","1530","85","21","15","254","1580","85","24","15","258","3851","76","11","24","","","","","","","","","","",
"LINDALE ISD","Spring 2016","5","294","1583","80","30","20","288","1638","90","25","10","","","","","","296","3911","85","9","15","","","","","",
"LINDALE ISD","Spring 2016","6","259","1644","83","31","17","257","1687","90","26","10","","","","","","","","","","","","","","","",
"LINDALE ISD","Spring 2016","7","274","1702","89","36","11","271","1783","94","44","6","276","4248","89","29","11","","","","","","","","","","",
"LINDALE ISD","Spring 2016","8","264","1751","98","37","2","187","1826","97","42","3","","","","","","260","4262","97","34","3","260","4036","90","27","10",
"LINDALE ISD","May 2016","5","56","1465","50","0","50","35","1519","63","0","37","","","","","","","","","","","","","","","",
"LINDALE ISD","May 2016","8","5","1628","80","0","20","6","1569","17","0","83","","","","","","","","","","","","","","","",
"LINDEN-KILDARE CISD","Spring 2016","3","37","1475","84","32","16","36","1489","86","19","14","","","","","","","","","","","","","","","",
"LINDEN-KILDARE CISD","Spring 2016","4","37","1549","95","19","5","38","1557","84","13","16","37","4031","81","19","19","","","","","","","","","","",
"LINDEN-KILDARE CISD","Spring 2016","5","39","1543","74","21","26","39","1557","72","8","28","","","","","","41","3776","73","2","27","","","","","",
"LINDEN-KILDARE CISD","Spring 2016","6","39","1599","79","13","21","39","1612","72","8","28","","","","","","","","","","","","","","","",
"LINDEN-KILDARE CISD","Spring 2016","7","51","1629","82","10","18","52","1648","81","8","19","49","3815","63","12","37","","","","","","","","","","",
"LINDEN-KILDARE CISD","Spring 2016","8","54","1729","94","31","6","34","1661","76","3","24","","","","","","53","4038","83","30","17","53","3670","70","9","30",
"LINDEN-KILDARE CISD","May 2016","5","12","1392","17","0","83","13","1478","38","0","62","","","","","","","","","","","","","","","",
"LINDEN-KILDARE CISD","May 2016","8","3","-","-","-","-","8","1639","75","0","25","","","","","","","","","","","","","","","",
"LINDSAY ISD","Spring 2016","3","31","1496","87","39","13","31","1468","77","16","23","","","","","","","","","","","","","","","",
"LINDSAY ISD","Spring 2016","4","40","1591","100","38","0","41","1673","98","56","2","41","4167","93","34","7","","","","","","","","","","",
"LINDSAY ISD","Spring 2016","5","37","1631","97","43","3","37","1695","97","38","3","","","","","","37","4029","92","22","8","","","","","",
"LINDSAY ISD","Spring 2016","6","31","1673","94","32","6","30","1735","93","40","7","","","","","","","","","","","","","","","",
"LINDSAY ISD","Spring 2016","7","37","1694","92","30","8","37","1774","95","41","5","38","4104","84","13","16","","","","","","","","","","",
"LINDSAY ISD","Spring 2016","8","46","1722","98","22","2","28","1696","82","4","18","","","","","","45","3961","89","20","11","45","4094","84","31","16",
"LINDSAY ISD","May 2016","8","1","-","-","-","-","5","1604","60","0","40","","","","","","","","","","","","","","","",
"LINGLEVILLE ISD","Spring 2016","3","25","1445","72","28","28","25","1390","56","4","44","","","","","","","","","","","","","","","",
"LINGLEVILLE ISD","Spring 2016","4","19","1475","79","5","21","19","1506","68","11","32","19","3896","68","16","32","","","","","","","","","","",
"LINGLEVILLE ISD","Spring 2016","5","29","1540","79","10","21","29","1551","72","3","28","","","","","","29","3721","69","7","31","","","","","",
"LINGLEVILLE ISD","Spring 2016","6","18","1551","67","0","33","19","1571","63","0","37","","","","","","","","","","","","","","","",
"LINGLEVILLE ISD","Spring 2016","7","15","1640","80","13","20","15","1734","93","33","7","15","3866","87","13","13","","","","","","","","","","",
"LINGLEVILLE ISD","Spring 2016","8","17","1631","71","0","29","18","1729","94","6","6","","","","","","16","3935","88","25","13","17","3672","59","6","41",
"LINGLEVILLE ISD","May 2016","5","6","1472","67","0","33","8","1559","88","0","13","","","","","","","","","","","","","","","",
"LINGLEVILLE ISD","May 2016","8","5","1558","40","0","60","1","-","-","-","-","","","","","","","","","","","","","","","",
"LIPAN ISD","Spring 2016","3","26","1470","88","31","12","26","1494","88","23","12","","","","","","","","","","","","","","","",
"LIPAN ISD","Spring 2016","4","21","1568","95","24","5","21","1582","90","14","10","21","4283","95","38","5","","","","","","","","","","",
"LIPAN ISD","Spring 2016","5","29","1536","66","17","34","29","1578","72","17","28","","","","","","29","3714","59","7","41","","","","","",
"LIPAN ISD","Spring 2016","6","26","1616","81","15","19","26","1617","81","12","19","","","","","","","","","","","","","","","",
"LIPAN ISD","Spring 2016","7","23","1671","91","22","9","24","1692","88","13","13","24","3842","71","8","29","","","","","","","","","","",
"LIPAN ISD","Spring 2016","8","23","1710","91","30","9","21","1679","90","10","10","","","","","","21","3980","76","24","24","21","3689","57","14","43",
"LIPAN ISD","May 2016","5","10","1417","30","0","70","8","1472","38","0","63","","","","","","","","","","","","","","","",
"LIPAN ISD","May 2016","8","4","-","-","-","-","3","-","-","-","-","","","","","","","","","","","","","","","",
"LITTLE CYPRESS-MAURICEVILLE CISD","Spring 2016","3","237","1421","69","19","31","237","1427","72","8","28","","","","","","","","","","","","","","","",
"LITTLE CYPRESS-MAURICEVILLE CISD","Spring 2016","4","245","1493","71","13","29","245","1535","74","16","26","243","3829","70","15","30","","","","","","","","","","",
"LITTLE CYPRESS-MAURICEVILLE CISD","Spring 2016","5","234","1534","67","20","33","236","1591","77","15","23","","","","","","238","3771","69","9","31","","","","","",
"LITTLE CYPRESS-MAURICEVILLE CISD","Spring 2016","6","258","1582","71","14","29","258","1623","77","12","23","","","","","","","","","","","","","","","",
"LITTLE CYPRESS-MAURICEVILLE CISD","Spring 2016","7","227","1644","71","24","29","160","1609","64","3","36","218","3835","68","10","32","","","","","","","","","","",
"LITTLE CYPRESS-MAURICEVILLE CISD","Spring 2016","8","251","1687","83","17","17","242","1667","74","6","26","","","","","","249","3859","70","17","30","250","3749","62","16","38",
"LITTLE CYPRESS-MAURICEVILLE CISD","May 2016","5","83","1438","40","0","60","59","1488","53","2","47","","","","","","","","","","","","","","","",
"LITTLE CYPRESS-MAURICEVILLE CISD","May 2016","8","44","1568","41","0","59","62","1578","39","0","61","","","","","","","","","","","","","","","",
"LITTLE ELM ISD","Spring 2016","3","560","1448","78","26","22","590","1465","79","17","21","","","","","","","","","","","","","","","",
"LITTLE ELM ISD","Spring 2016","4","547","1524","82","20","18","585","1574","82","23","18","547","3884","75","14","25","","","","","","","","","","",
"LITTLE ELM ISD","Spring 2016","5","528","1575","79","27","21","539","1602","79","17","21","","","","","","520","3870","81","12","19","","","","","",
"LITTLE ELM ISD","Spring 2016","6","497","1586","71","18","29","468","1614","76","9","24","","","","","","","","","","","","","","","",
"LITTLE ELM ISD","Spring 2016","7","514","1643","71","21","29","339","1597","60","4","40","514","3918","74","15","26","","","","","","","","","","",
"LITTLE ELM ISD","Spring 2016","8","481","1684","85","18","15","538","1685","81","9","19","","","","","","477","3727","62","12","38","475","3641","58","9","42",
"LITTLE ELM ISD","May 2016","5","109","1432","39","0","61","111","1493","54","0","46","","","","","","","","","","","","","","","",
