"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"WATER VALLEY ISD","Spring 2016","3","26","1473","88","38","12","26","1496","88","19","12","","","","","","","","","","","","","","","",
"WATER VALLEY ISD","Spring 2016","4","21","1515","81","19","19","21","1522","71","19","29","21","3853","62","14","38","","","","","","","","","","",
"WATER VALLEY ISD","Spring 2016","5","17","1565","76","41","24","17","1632","76","24","24","","","","","","17","3737","65","12","35","","","","","",
"WATER VALLEY ISD","Spring 2016","6","19","1575","68","16","32","19","1660","79","21","21","","","","","","","","","","","","","","","",
"WATER VALLEY ISD","Spring 2016","7","21","1661","86","19","14","21","1666","81","19","19","21","3999","81","14","19","","","","","","","","","","",
"WATER VALLEY ISD","Spring 2016","8","16","1685","88","25","13","14","1589","43","0","57","","","","","","16","3966","75","25","25","16","3569","31","13","69",
"WATER VALLEY ISD","May 2016","5","3","-","-","-","-","3","-","-","-","-","","","","","","","","","","","","","","","",
"WATER VALLEY ISD","May 2016","8","2","-","-","-","-","8","1645","88","0","13","","","","","","","","","","","","","","","",
"WAXAHACHIE FAITH FAMILY ACADEMY (070801)","Spring 2016","3","68","1333","37","7","63","70","1361","41","9","59","","","","","","","","","","","","","","","",
"WAXAHACHIE FAITH FAMILY ACADEMY (070801)","Spring 2016","4","79","1418","51","5","49","84","1450","48","4","52","82","3294","28","0","72","","","","","","","","","","",
"WAXAHACHIE FAITH FAMILY ACADEMY (070801)","Spring 2016","5","114","1461","46","6","54","117","1487","41","2","59","","","","","","161","3371","29","0","71","","","","","",
"WAXAHACHIE FAITH FAMILY ACADEMY (070801)","Spring 2016","6","210","1484","37","2","63","205","1541","46","2","54","","","","","","","","","","","","","","","",
"WAXAHACHIE FAITH FAMILY ACADEMY (070801)","Spring 2016","7","216","1559","50","4","50","207","1556","40","3","60","216","3451","41","4","59","","","","","","","","","","",
"WAXAHACHIE FAITH FAMILY ACADEMY (070801)","Spring 2016","8","202","1601","59","1","41","195","1588","40","2","60","","","","","","192","3393","31","1","69","192","3280","20","0","80",
"WAXAHACHIE FAITH FAMILY ACADEMY (070801)","May 2016","5","61","1383","18","0","82","68","1457","29","0","71","","","","","","","","","","","","","","","",
"WAXAHACHIE FAITH FAMILY ACADEMY (070801)","May 2016","8","82","1548","33","0","67","114","1563","27","0","73","","","","","","","","","","","","","","","",
"WAXAHACHIE ISD","Spring 2016","3","547","1468","83","31","17","604","1503","83","27","17","","","","","","","","","","","","","","","",
"WAXAHACHIE ISD","Spring 2016","4","592","1522","81","19","19","643","1570","81","20","19","592","3854","73","13","27","","","","","","","","","","",
"WAXAHACHIE ISD","Spring 2016","5","570","1578","83","28","17","592","1619","83","21","17","","","","","","564","3872","79","11","21","","","","","",
"WAXAHACHIE ISD","Spring 2016","6","583","1596","74","19","26","579","1635","78","15","22","","","","","","","","","","","","","","","",
"WAXAHACHIE ISD","Spring 2016","7","572","1650","75","22","25","408","1624","71","4","29","571","3941","77","15","23","","","","","","","","","","",
"WAXAHACHIE ISD","Spring 2016","8","584","1692","88","20","13","623","1699","81","12","19","","","","","","581","3874","76","16","24","579","3678","59","11","41",
"WAXAHACHIE ISD","May 2016","5","100","1429","39","0","61","101","1485","52","0","48","","","","","","","","","","","","","","","",
"WAXAHACHIE ISD","May 2016","8","78","1557","37","1","63","126","1593","52","1","48","","","","","","","","","","","","","","","",
"WAYSIDE SCHOOLS","Spring 2016","3","118","1427","77","19","23","121","1446","76","14","24","","","","","","","","","","","","","","","",
"WAYSIDE SCHOOLS","Spring 2016","4","124","1494","72","12","28","132","1514","68","11","32","135","3605","54","8","46","","","","","","","","","","",
"WAYSIDE SCHOOLS","Spring 2016","5","128","1550","71","23","29","131","1595","74","17","26","","","","","","130","3714","62","7","38","","","","","",
"WAYSIDE SCHOOLS","Spring 2016","6","149","1557","60","13","40","121","1575","60","5","40","","","","","","","","","","","","","","","",
"WAYSIDE SCHOOLS","Spring 2016","7","59","1626","66","15","34","81","1616","60","7","40","63","3705","59","6","41","","","","","","","","","","",
