"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"CHANNING ISD","Spring 2016","3","10","1425","90","20","10","10","1454","90","10","10","","","","","","","","","","","","","","","",
"CHANNING ISD","Spring 2016","4","6","1557","83","33","17","7","1553","100","14","0","7","3892","86","14","14","","","","","","","","","","",
"CHANNING ISD","Spring 2016","5","12","1541","83","8","17","13","1506","62","0","38","","","","","","11","3471","45","0","55","","","","","",
"CHANNING ISD","Spring 2016","6","8","1665","100","38","0","9","1624","89","0","11","","","","","","","","","","","","","","","",
"CHANNING ISD","Spring 2016","7","11","1678","100","9","0","11","1645","82","9","18","11","3601","45","0","55","","","","","","","","","","",
"CHANNING ISD","Spring 2016","8","7","1611","57","0","43","8","1660","88","0","13","","","","","","6","3384","50","0","50","6","3427","33","0","67",
"CHANNING ISD","May 2016","5","2","-","-","-","-","5","1436","20","0","80","","","","","","","","","","","","","","","",
"CHANNING ISD","May 2016","8","3","-","-","-","-","1","-","-","-","-","","","","","","","","","","","","","","","",
"CHAPARRAL STAR ACADEMY (227814)","Spring 2016","3","30","1514","97","40","3","29","1513","86","24","14","","","","","","","","","","","","","","","",
"CHAPARRAL STAR ACADEMY (227814)","Spring 2016","4","30","1587","100","30","0","31","1576","90","23","10","31","4069","94","16","6","","","","","","","","","","",
"CHAPARRAL STAR ACADEMY (227814)","Spring 2016","5","27","1639","96","44","4","27","1695","93","52","7","","","","","","27","4017","89","11","11","","","","","",
"CHAPARRAL STAR ACADEMY (227814)","Spring 2016","6","30","1728","93","47","7","30","1756","93","50","7","","","","","","","","","","","","","","","",
"CHAPARRAL STAR ACADEMY (227814)","Spring 2016","7","29","1755","97","66","3","28","1800","100","43","0","29","4326","97","41","3","","","","","","","","","","",
"CHAPARRAL STAR ACADEMY (227814)","Spring 2016","8","28","1774","100","39","0","17","1704","94","0","6","","","","","","28","4110","100","18","0","29","3972","93","17","7",
"CHAPARRAL STAR ACADEMY (227814)","May 2016","5","1","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"CHAPARRAL STAR ACADEMY (227814)","May 2016","8","","","","","","1","-","-","-","-","","","","","","","","","","","","","","","",
"CHAPEL HILL ACADEMY (220815)","Spring 2016","3","79","1457","81","23","19","76","1472","79","20","21","","","","","","","","","","","","","","","",
"CHAPEL HILL ACADEMY (220815)","Spring 2016","4","74","1513","73","16","27","74","1546","73","16","27","77","3701","53","9","47","","","","","","","","","","",
"CHAPEL HILL ACADEMY (220815)","Spring 2016","5","54","1570","85","19","15","54","1622","85","19","15","","","","","","54","3700","67","7","33","","","","","",
"CHAPEL HILL ACADEMY (220815)","May 2016","5","8","1494","63","0","38","8","1539","88","0","13","","","","","","","","","","","","","","","",
"CHAPEL HILL ISD (212909)","Spring 2016","3","208","1416","73","14","27","259","1423","68","8","32","","","","","","","","","","","","","","","",
"CHAPEL HILL ISD (212909)","Spring 2016","4","246","1489","68","16","32","282","1504","60","10","40","252","3724","65","11","35","","","","","","","","","","",
"CHAPEL HILL ISD (212909)","Spring 2016","5","209","1544","69","23","31","233","1559","66","13","34","","","","","","216","3728","67","7","33","","","","","",
"CHAPEL HILL ISD (212909)","Spring 2016","6","232","1563","67","11","33","232","1589","69","5","31","","","","","","","","","","","","","","","",
"CHAPEL HILL ISD (212909)","Spring 2016","7","236","1627","69","18","31","235","1626","66","7","34","234","3881","76","11","24","","","","","","","","","","",
"CHAPEL HILL ISD (212909)","Spring 2016","8","237","1669","81","14","19","191","1649","70","1","30","","","","","","231","3881","75","16","25","231","3681","61","12","39",
"CHAPEL HILL ISD (212909)","May 2016","5","70","1401","20","1","80","87","1459","30","0","70","","","","","","","","","","","","","","","",
"CHAPEL HILL ISD (212909)","May 2016","8","45","1563","40","0","60","57","1575","40","0","60","","","","","","","","","","","","","","","",
"CHAPEL HILL ISD (225906)","Spring 2016","3","67","1483","96","21","4","67","1463","82","12","18","","","","","","","","","","","","","","","",
"CHAPEL HILL ISD (225906)","Spring 2016","4","81","1548","91","22","9","81","1544","78","19","22","82","3835","74","12","26","","","","","","","","","","",
"CHAPEL HILL ISD (225906)","Spring 2016","5","61","1557","75","25","25","60","1655","90","22","10","","","","","","62","4022","82","19","18","","","","","",
"CHAPEL HILL ISD (225906)","Spring 2016","6","56","1622","88","18","13","55","1652","85","18","15","","","","","","","","","","","","","","","",
"CHAPEL HILL ISD (225906)","Spring 2016","7","58","1663","83","22","17","58","1676","90","9","10","56","3991","80","13","20","","","","","","","","","","",
"CHAPEL HILL ISD (225906)","Spring 2016","8","63","1725","90","30","10","64","1732","89","16","11","","","","","","64","4223","95","39","5","64","4067","84","36","16",
"CHAPEL HILL ISD (225906)","May 2016","5","12","1476","58","8","42","6","1552","83","17","17","","","","","","","","","","","","","","","",
"CHAPEL HILL ISD (225906)","May 2016","8","7","1619","57","0","43","8","1621","75","0","25","","","","","","","","","","","","","","","",
"CHARLOTTE ISD","Spring 2016","3","30","1445","77","13","23","30","1401","57","7","43","","","","","","","","","","","","","","","",
"CHARLOTTE ISD","Spring 2016","4","29","1489","79","10","21","29","1572","86","17","14","29","3752","72","3","28","","","","","","","","","","",
"CHARLOTTE ISD","Spring 2016","5","31","1573","81","23","19","31","1623","90","13","10","","","","","","30","3854","80","10","20","","","","","",
"CHARLOTTE ISD","Spring 2016","6","36","1604","69","11","31","36","1639","81","11","19","","","","","","","","","","","","","","","",
"CHARLOTTE ISD","Spring 2016","7","30","1582","57","10","43","30","1573","53","3","47","30","3628","53","7","47","","","","","","","","","","",
"CHARLOTTE ISD","Spring 2016","8","36","1638","72","6","28","35","1600","49","0","51","","","","","","37","3819","70","8","30","37","3552","49","8","51",
"CHARLOTTE ISD","May 2016","5","4","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"CHARLOTTE ISD","May 2016","8","7","1571","43","0","57","14","1567","36","0","64","","","","","","","","","","","","","","","",
"CHEROKEE ISD","Spring 2016","3","7","1405","71","0","29","7","1446","71","14","29","","","","","","","","","","","","","","","",
"CHEROKEE ISD","Spring 2016","4","9","1561","78","33","22","9","1629","100","11","0","9","3877","89","11","11","","","","","","","","","","",
"CHEROKEE ISD","Spring 2016","5","5","1721","100","40","0","5","1716","100","20","0","","","","","","6","4041","100","17","0","","","","","",
"CHEROKEE ISD","Spring 2016","6","9","1618","89","22","11","9","1647","78","11","22","","","","","","","","","","","","","","","",
"CHEROKEE ISD","Spring 2016","7","9","1732","78","44","22","8","1707","88","25","13","9","3946","78","0","22","","","","","","","","","","",
"CHEROKEE ISD","Spring 2016","8","8","1701","88","38","13","7","1655","71","0","29","","","","","","9","3731","67","11","33","9","3567","44","0","56",
"CHEROKEE ISD","May 2016","8","2","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"CHESTER ISD","Spring 2016","3","14","1447","79","43","21","14","1474","86","14","14","","","","","","","","","","","","","","","",
"CHESTER ISD","Spring 2016","4","12","1526","92","17","8","12","1487","67","8","33","11","3767","55","9","45","","","","","","","","","","",
"CHESTER ISD","Spring 2016","5","4","-","-","-","-","4","-","-","-","-","","","","","","5","3679","80","0","20","","","","","",
"CHESTER ISD","Spring 2016","6","16","1590","75","6","25","16","1591","63","6","38","","","","","","","","","","","","","","","",
"CHESTER ISD","Spring 2016","7","11","1582","55","9","45","11","1521","18","0","82","11","3700","64","0","36","","","","","","","","","","",
"CHESTER ISD","Spring 2016","8","11","1664","82","0","18","11","1571","36","0","64","","","","","","11","3917","100","0","0","11","3733","82","0","18",
"CHESTER ISD","May 2016","5","","","","","","2","-","-","-","-","","","","","","","","","","","","","","","",
"CHESTER ISD","May 2016","8","2","-","-","-","-","7","1597","57","0","43","","","","","","","","","","","","","","","",
"CHICO ISD","Spring 2016","3","35","1450","89","17","11","35","1511","89","29","11","","","","","","","","","","","","","","","",
"CHICO ISD","Spring 2016","4","40","1512","93","13","8","40","1492","65","10","35","39","3816","69","15","31","","","","","","","","","","",
"CHICO ISD","Spring 2016","5","45","1571","78","27","22","45","1630","87","22","13","","","","","","45","3881","82","18","18","","","","","",
"CHICO ISD","Spring 2016","6","34","1624","94","18","6","34","1623","82","3","18","","","","","","","","","","","","","","","",
"CHICO ISD","Spring 2016","7","36","1684","89","28","11","35","1692","89","23","11","36","3964","83","11","17","","","","","","","","","","",
"CHICO ISD","Spring 2016","8","41","1718","93","24","7","41","1623","61","2","39","","","","","","41","3946","85","17","15","41","3990","83","27","17",
"CHICO ISD","May 2016","5","9","1410","22","0","78","5","1485","40","0","60","","","","","","","","","","","","","","","",
"CHICO ISD","May 2016","8","3","-","-","-","-","16","1591","63","0","38","","","","","","","","","","","","","","","",
"CHILDREN FIRST ACADEMY OF DALLAS","Spring 2016","3","64","1364","53","16","47","64","1365","58","5","42","","","","","","","","","","","","","","","",
"CHILDREN FIRST ACADEMY OF DALLAS","Spring 2016","4","71","1450","59","10","41","71","1416","46","0","54","71","3257","28","1","72","","","","","","","","","","",
"CHILDREN FIRST ACADEMY OF DALLAS","Spring 2016","5","39","1466","59","5","41","39","1503","56","0","44","","","","","","39","3268","18","0","82","","","","","",
"CHILDREN FIRST ACADEMY OF DALLAS","Spring 2016","6","52","1535","75","0","25","52","1590","81","0","19","","","","","","","","","","","","","","","",
"CHILDREN FIRST ACADEMY OF DALLAS","Spring 2016","7","54","1631","76","7","24","53","1652","81","0","19","53","3710","75","0","25","","","","","","","","","","",
"CHILDREN FIRST ACADEMY OF DALLAS","May 2016","5","16","1409","25","0","75","17","1487","47","0","53","","","","","","","","","","","","","","","",
"CHILDRESS ISD","Spring 2016","3","92","1488","86","33","14","92","1502","87","25","13","","","","","","","","","","","","","","","",
"CHILDRESS ISD","Spring 2016","4","83","1521","84","14","16","83","1530","72","13","28","83","3945","92","10","8","","","","","","","","","","",
"CHILDRESS ISD","Spring 2016","5","78","1591","85","26","15","78","1616","85","18","15","","","","","","77","3875","81","9","19","","","","","",
"CHILDRESS ISD","Spring 2016","6","81","1590","80","9","20","81","1629","79","20","21","","","","","","","","","","","","","","","",
"CHILDRESS ISD","Spring 2016","7","76","1656","84","24","16","77","1685","74","21","26","76","3873","79","8","21","","","","","","","","","","",
"CHILDRESS ISD","Spring 2016","8","87","1696","83","22","17","89","1735","91","25","9","","","","","","86","3921","80","20","20","86","3921","74","28","26",
"CHILDRESS ISD","May 2016","5","12","1456","58","0","42","12","1530","75","0","25","","","","","","","","","","","","","","","",
"CHILDRESS ISD","May 2016","8","14","1590","57","0","43","8","1569","38","0","63","","","","","","","","","","","","","","","",
