"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"HARMONY SCHOOL OF SCIENCE - HOUS","Spring 2016","3","284","1510","88","45","12","273","1548","91","41","9","","","","","","","","","","","","","","","",
"HARMONY SCHOOL OF SCIENCE - HOUS","Spring 2016","4","227","1565","91","29","9","227","1640","92","41","8","226","4081","87","23","13","","","","","","","","","","",
"HARMONY SCHOOL OF SCIENCE - HOUS","Spring 2016","5","272","1623","89","43","11","272","1664","88","32","12","","","","","","271","3890","80","13","20","","","","","",
"HARMONY SCHOOL OF SCIENCE - HOUS","Spring 2016","6","290","1652","87","35","13","290","1715","87","35","13","","","","","","","","","","","","","","","",
"HARMONY SCHOOL OF SCIENCE - HOUS","Spring 2016","7","311","1716","93","41","7","308","1781","92","45","8","315","4110","91","20","9","","","","","","","","","","",
"HARMONY SCHOOL OF SCIENCE - HOUS","Spring 2016","8","244","1756","95","38","5","181","1759","92","25","8","","","","","","243","4134","87","30","13","243","3892","77","22","23",
"HARMONY SCHOOL OF SCIENCE - HOUS","May 2016","5","30","1414","27","0","73","33","1470","42","0","58","","","","","","","","","","","","","","","",
"HARMONY SCHOOL OF SCIENCE - HOUS","May 2016","8","13","1593","62","8","38","16","1585","44","0","56","","","","","","","","","","","","","","","",
"HARMONY SCIENCE ACAD (EL PASO) (071806)","Spring 2016","3","213","1421","67","21","33","209","1412","66","10","34","","","","","","","","","","","","","","","",
"HARMONY SCIENCE ACAD (EL PASO) (071806)","Spring 2016","4","246","1505","74","17","26","246","1522","67","15","33","246","3812","70","15","30","","","","","","","","","","",
"HARMONY SCIENCE ACAD (EL PASO) (071806)","Spring 2016","5","215","1559","76","26","24","214","1606","79","20","21","","","","","","216","3762","68","7","32","","","","","",
"HARMONY SCIENCE ACAD (EL PASO) (071806)","Spring 2016","6","282","1592","76","16","24","284","1627","80","12","20","","","","","","","","","","","","","","","",
"HARMONY SCIENCE ACAD (EL PASO) (071806)","Spring 2016","7","255","1673","82","29","18","253","1704","83","23","17","257","3997","82","13","18","","","","","","","","","","",
