"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"MIAMI ISD","Spring 2016","3","19","1462","84","32","16","19","1510","95","26","5","","","","","","","","","","","","","","","",
"MIAMI ISD","Spring 2016","4","17","1548","82","35","18","17","1570","88","6","12","17","3981","82","6","18","","","","","","","","","","",
"MIAMI ISD","Spring 2016","5","8","1634","100","38","0","8","1642","88","38","13","","","","","","8","3803","88","0","13","","","","","",
"MIAMI ISD","Spring 2016","6","18","1594","67","11","33","17","1600","65","6","35","","","","","","","","","","","","","","","",
"MIAMI ISD","Spring 2016","7","13","1652","92","15","8","11","1657","91","9","9","13","4059","92","8","8","","","","","","","","","","",
"MIAMI ISD","Spring 2016","8","13","1706","100","0","0","12","1595","75","0","25","","","","","","14","4223","100","21","0","14","3937","86","21","14",
"MIAMI ISD","May 2016","5","","","","","","1","-","-","-","-","","","","","","","","","","","","","","","",
"MIAMI ISD","May 2016","8","","","","","","2","-","-","-","-","","","","","","","","","","","","","","","",
"MIDLAND ACADEMY CHARTER SCHOOL (165802)","Spring 2016","3","59","1464","85","22","15","59","1442","69","19","31","","","","","","","","","","","","","","","",
"MIDLAND ACADEMY CHARTER SCHOOL (165802)","Spring 2016","4","51","1522","82","14","18","51","1493","53","12","47","51","3881","76","10","24","","","","","","","","","","",
"MIDLAND ACADEMY CHARTER SCHOOL (165802)","Spring 2016","5","35","1573","71","29","29","35","1530","54","6","46","","","","","","34","3733","74","0","26","","","","","",
"MIDLAND ACADEMY CHARTER SCHOOL (165802)","Spring 2016","6","20","1583","70","15","30","20","1655","80","25","20","","","","","","","","","","","","","","","",
"MIDLAND ACADEMY CHARTER SCHOOL (165802)","Spring 2016","7","25","1655","88","20","12","25","1642","72","4","28","25","4123","88","20","12","","","","","","","","","","",
"MIDLAND ACADEMY CHARTER SCHOOL (165802)","Spring 2016","8","12","1727","92","25","8","13","1692","77","8","23","","","","","","13","4295","92","46","8","13","4213","92","54","8",
"MIDLAND ACADEMY CHARTER SCHOOL (165802)","May 2016","5","9","1436","44","0","56","15","1462","27","0","73","","","","","","","","","","","","","","","",
"MIDLAND ACADEMY CHARTER SCHOOL (165802)","May 2016","8","1","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"MIDLAND ISD","Spring 2016","3","1694","1404","63","19","37","1679","1423","63","14","37","","","","","","","","","","","","","","","",
"MIDLAND ISD","Spring 2016","4","1681","1477","66","13","34","1676","1502","58","12","42","1700","3641","56","10","44","","","","","","","","","","",
"MIDLAND ISD","Spring 2016","5","1792","1512","62","17","38","1780","1560","65","13","35","","","","","","1779","3681","62","7","38","","","","","",
"MIDLAND ISD","Spring 2016","6","1765","1553","59","13","41","1742","1594","61","12","39","","","","","","","","","","","","","","","",
"MIDLAND ISD","Spring 2016","7","1695","1611","64","15","36","1448","1605","59","5","41","1710","3669","58","6","42","","","","","","","","","","",
