"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"GORDON ISD","Spring 2016","3","11","1422","73","27","27","11","1440","55","27","45","","","","","","","","","","","","","","","",
"GORDON ISD","Spring 2016","4","12","1487","67","17","33","12","1474","50","8","50","12","3439","50","0","50","","","","","","","","","","",
"GORDON ISD","Spring 2016","5","10","1470","70","0","30","9","1453","22","0","78","","","","","","10","3508","40","0","60","","","","","",
"GORDON ISD","Spring 2016","6","15","1631","67","40","33","15","1623","73","20","27","","","","","","","","","","","","","","","",
"GORDON ISD","Spring 2016","7","7","1600","57","14","43","7","1602","43","0","57","7","3623","43","0","57","","","","","","","","","","",
"GORDON ISD","Spring 2016","8","13","1652","85","0","15","13","1620","77","0","23","","","","","","13","3722","69","0","31","13","3411","31","0","69",
"GORDON ISD","May 2016","5","3","-","-","-","-","7","1449","29","0","71","","","","","","","","","","","","","","","",
"GORDON ISD","May 2016","8","2","-","-","-","-","3","-","-","-","-","","","","","","","","","","","","","","","",
"GORMAN ISD","Spring 2016","3","17","1407","76","12","24","17","1380","65","6","35","","","","","","","","","","","","","","","",
"GORMAN ISD","Spring 2016","4","22","1482","77","5","23","21","1495","57","10","43","23","3726","57","13","43","","","","","","","","","","",
"GORMAN ISD","Spring 2016","5","25","1534","68","12","32","25","1590","72","12","28","","","","","","22","3968","95","23","5","","","","","",
"GORMAN ISD","Spring 2016","6","17","1544","59","12","41","17","1598","71","12","29","","","","","","","","","","","","","","","",
"GORMAN ISD","Spring 2016","7","16","1634","69","19","31","16","1646","69","6","31","16","3693","69","0","31","","","","","","","","","","",
"GORMAN ISD","Spring 2016","8","22","1669","77","14","23","17","1605","71","0","29","","","","","","20","3867","85","10","15","20","3596","55","5","45",
"GORMAN ISD","May 2016","5","7","1423","29","0","71","7","1458","57","0","43","","","","","","","","","","","","","","","",
"GORMAN ISD","May 2016","8","5","1587","60","0","40","4","-","-","-","-","","","","","","","","","","","","","","","",
"GRADY ISD","Spring 2016","3","14","1515","93","50","7","14","1537","93","21","7","","","","","","","","","","","","","","","",
"GRADY ISD","Spring 2016","4","15","1605","93","33","7","16","1603","88","25","13","16","4153","88","19","13","","","","","","","","","","",
"GRADY ISD","Spring 2016","5","20","1668","95","60","5","20","1657","100","25","0","","","","","","19","3872","95","5","5","","","","","",
"GRADY ISD","Spring 2016","6","16","1605","81","13","19","16","1675","100","19","0","","","","","","","","","","","","","","","",
"GRADY ISD","Spring 2016","7","22","1676","86","23","14","22","1680","86","14","14","22","3901","77","5","23","","","","","","","","","","",
"GRADY ISD","Spring 2016","8","15","1740","93","40","7","15","1690","73","7","27","","","","","","14","4144","100","21","0","14","4083","93","29","7",
"GRADY ISD","May 2016","5","1","-","-","-","-","","","","","","","","","","","","","","","","","","","","",
"GRADY ISD","May 2016","8","","","","","","3","-","-","-","-","","","","","","","","","","","","","","","",
"GRAFORD ISD","Spring 2016","3","26","1426","77","8","23","26","1431","81","8","19","","","","","","","","","","","","","","","",
"GRAFORD ISD","Spring 2016","4","23","1521","78","17","22","23","1516","65","13","35","24","3817","71","17","29","","","","","","","","","","",
"GRAFORD ISD","Spring 2016","5","22","1533","68","14","32","22","1560","77","9","23","","","","","","22","3646","82","0","18","","","","","",
"GRAFORD ISD","Spring 2016","6","18","1578","78","22","22","18","1621","89","6","11","","","","","","","","","","","","","","","",
"GRAFORD ISD","Spring 2016","7","22","1698","73","36","27","22","1657","68","23","32","24","4152","75","38","25","","","","","","","","","","",
"GRAFORD ISD","Spring 2016","8","18","1716","89","22","11","17","1711","82","18","18","","","","","","18","3857","78","17","22","18","3593","50","6","50",
"GRAFORD ISD","May 2016","5","7","1431","43","0","57","5","1501","60","0","40","","","","","","","","","","","","","","","",
"GRAFORD ISD","May 2016","8","2","-","-","-","-","3","-","-","-","-","","","","","","","","","","","","","","","",
"GRAHAM ISD","Spring 2016","3","166","1418","73","17","27","166","1443","72","16","28","","","","","","","","","","","","","","","",
"GRAHAM ISD","Spring 2016","4","171","1508","78","15","22","171","1516","66","9","34","168","3698","67","5","33","","","","","","","","","","",
"GRAHAM ISD","Spring 2016","5","162","1540","72","17","28","162","1561","72","12","28","","","","","","166","3719","64","10","36","","","","","",
"GRAHAM ISD","Spring 2016","6","163","1554","62","12","38","161","1609","65","15","35","","","","","","","","","","","","","","","",
"GRAHAM ISD","Spring 2016","7","161","1630","71","18","29","159","1658","72","17","28","159","3823","64","13","36","","","","","","","","","","",
"GRAHAM ISD","Spring 2016","8","175","1663","77","15","23","146","1646","68","1","32","","","","","","175","3747","69","12","31","174","3567","53","5","47",
"GRAHAM ISD","May 2016","5","49","1402","37","0","63","52","1466","37","0","63","","","","","","","","","","","","","","","",
"GRAHAM ISD","May 2016","8","41","1552","37","0","63","48","1568","42","0","58","","","","","","","","","","","","","","","",
"GRANBURY ISD","Spring 2016","3","482","1427","74","22","26","482","1467","78","20","22","","","","","","","","","","","","","","","",
"GRANBURY ISD","Spring 2016","4","537","1525","78","21","22","539","1553","72","21","28","535","3834","68","16","32","","","","","","","","","","",
"GRANBURY ISD","Spring 2016","5","477","1580","82","25","18","477","1617","82","22","18","","","","","","481","3916","85","13","15","","","","","",
"GRANBURY ISD","Spring 2016","6","444","1612","75","23","25","437","1628","72","16","28","","","","","","","","","","","","","","","",
"GRANBURY ISD","Spring 2016","7","501","1635","68","20","32","496","1673","76","18","24","500","3843","70","11","30","","","","","","","","","","",
"GRANBURY ISD","Spring 2016","8","257","1647","76","8","24","259","1640","66","3","34","","","","","","462","3981","78","20","22","463","3780","67","17","33",
"GRANBURY ISD","May 2016","5","89","1442","36","2","64","84","1489","45","0","55","","","","","","","","","","","","","","","",
"GRANBURY ISD","May 2016","8","55","1588","60","0","40","81","1588","52","0","48","","","","","","","","","","","","","","","",
"GRAND PRAIRIE ISD","Spring 2016","3","1569","1419","68","19","32","2111","1447","72","16","28","","","","","","","","","","","","","","","",
"GRAND PRAIRIE ISD","Spring 2016","4","1694","1499","74","15","26","2008","1532","70","16","30","1645","3693","61","9","39","","","","","","","","","","",
"GRAND PRAIRIE ISD","Spring 2016","5","1827","1546","72","21","28","1939","1602","77","20","23","","","","","","1831","3799","74","9","26","","","","","",
"GRAND PRAIRIE ISD","Spring 2016","6","2007","1569","65","14","35","1978","1629","74","15","26","","","","","","","","","","","","","","","",
"GRAND PRAIRIE ISD","Spring 2016","7","2082","1632","70","18","30","1925","1650","70","15","30","2070","3744","63","9","37","","","","","","","","","","",
"GRAND PRAIRIE ISD","Spring 2016","8","1890","1671","81","14","19","1672","1677","75","9","25","","","","","","1999","3942","80","18","20","1999","3733","65","13","35",
"GRAND PRAIRIE ISD","May 2016","5","521","1414","28","0","72","451","1473","42","0","58","","","","","","","","","","","","","","","",
"GRAND PRAIRIE ISD","May 2016","8","353","1562","41","1","59","418","1583","45","0","55","","","","","","","","","","","","","","","",
"GRAND SALINE ISD","Spring 2016","3","67","1421","69","25","31","66","1402","67","8","33","","","","","","","","","","","","","","","",
"GRAND SALINE ISD","Spring 2016","4","68","1466","62","12","38","68","1475","47","6","53","68","3500","51","6","49","","","","","","","","","","",
"GRAND SALINE ISD","Spring 2016","5","56","1543","66","21","34","56","1551","64","2","36","","","","","","57","3691","63","4","37","","","","","",
"GRAND SALINE ISD","Spring 2016","6","70","1570","69","13","31","69","1555","57","1","43","","","","","","","","","","","","","","","",
"GRAND SALINE ISD","Spring 2016","7","59","1651","73","22","27","59","1619","53","12","47","60","3856","73","12","27","","","","","","","","","","",
"GRAND SALINE ISD","Spring 2016","8","73","1705","86","23","14","52","1653","79","0","21","","","","","","73","3998","81","14","19","73","3825","66","19","34",
"GRAND SALINE ISD","May 2016","5","20","1433","25","0","75","20","1484","35","0","65","","","","","","","","","","","","","","","",
"GRAND SALINE ISD","May 2016","8","9","1595","67","0","33","10","1588","40","0","60","","","","","","","","","","","","","","","",
"GRANDFALLS-ROYALTY ISD","Spring 2016","3","9","1329","56","0","44","9","1381","56","0","44","","","","","","","","","","","","","","","",
"GRANDFALLS-ROYALTY ISD","Spring 2016","4","4","-","-","-","-","4","-","-","-","-","4","-","-","-","-","","","","","","","","","","",
"GRANDFALLS-ROYALTY ISD","Spring 2016","5","14","1478","57","7","43","14","1607","79","14","21","","","","","","14","3579","71","0","29","","","","","",
"GRANDFALLS-ROYALTY ISD","Spring 2016","6","16","1548","44","25","56","16","1604","63","13","38","","","","","","","","","","","","","","","",
"GRANDFALLS-ROYALTY ISD","Spring 2016","7","11","1558","45","9","55","11","1615","64","9","36","10","3785","70","0","30","","","","","","","","","","",
"GRANDFALLS-ROYALTY ISD","Spring 2016","8","16","1629","75","6","25","16","1649","69","6","31","","","","","","16","3474","31","0","69","16","3245","13","0","88",
"GRANDFALLS-ROYALTY ISD","May 2016","5","6","1342","0","0","100","2","-","-","-","-","","","","","","","","","","","","","","","",
"GRANDFALLS-ROYALTY ISD","May 2016","8","4","-","-","-","-","5","1526","0","0","100","","","","","","","","","","","","","","","",
"GRANDVIEW ISD","Spring 2016","3","62","1499","90","40","10","62","1527","97","29","3","","","","","","","","","","","","","","","",
"GRANDVIEW ISD","Spring 2016","4","76","1572","92","25","8","79","1716","97","63","3","75","4298","93","37","7","","","","","","","","","","",
"GRANDVIEW ISD","Spring 2016","5","84","1597","92","26","8","85","1705","99","36","1","","","","","","85","4040","93","20","7","","","","","",
"GRANDVIEW ISD","Spring 2016","6","85","1636","84","26","16","86","1679","94","26","6","","","","","","","","","","","","","","","",
"GRANDVIEW ISD","Spring 2016","7","90","1678","84","26","16","92","1724","91","26","9","86","4082","86","21","14","","","","","","","","","","",
"GRANDVIEW ISD","Spring 2016","8","75","1691","87","16","13","48","1689","85","4","15","","","","","","75","4218","92","35","8","75","3889","77","21","23",
"GRANDVIEW ISD","May 2016","5","6","1440","50","0","50","","","","","","","","","","","","","","","","","","","","",
"GRANDVIEW ISD","May 2016","8","3","-","-","-","-","6","1581","50","0","50","","","","","","","","","","","","","","","",
"GRANDVIEW-HOPKINS ISD","Spring 2016","3","7","1488","100","29","0","7","1455","100","0","0","","","","","","","","","","","","","","","",
"GRANDVIEW-HOPKINS ISD","Spring 2016","4","5","1551","100","0","0","5","1528","100","0","0","5","4169","100","20","0","","","","","","","","","","",
"GRANDVIEW-HOPKINS ISD","Spring 2016","5","6","1557","83","33","17","6","1533","67","17","33","","","","","","6","3831","100","17","0","","","","","",
"GRANDVIEW-HOPKINS ISD","Spring 2016","6","5","1745","100","60","0","5","1678","100","20","0","","","","","","","","","","","","","","","",
"GRANDVIEW-HOPKINS ISD","May 2016","5","1","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"GRANGER ISD","Spring 2016","3","20","1385","65","10","35","20","1443","70","15","30","","","","","","","","","","","","","","","",
"GRANGER ISD","Spring 2016","4","21","1401","38","5","62","20","1518","75","10","25","22","3415","36","0","64","","","","","","","","","","",
"GRANGER ISD","Spring 2016","5","33","1547","67","15","33","31","1596","77","16","23","","","","","","32","3743","75","9","25","","","","","",
"GRANGER ISD","Spring 2016","6","26","1616","81","19","19","26","1631","85","15","15","","","","","","","","","","","","","","","",
"GRANGER ISD","Spring 2016","7","26","1649","85","12","15","26","1639","69","12","31","26","3830","77","8","23","","","","","","","","","","",
"GRANGER ISD","Spring 2016","8","27","1671","85","19","15","27","1639","63","4","37","","","","","","27","3619","63","7","37","27","3458","41","0","59",
"GRANGER ISD","May 2016","5","11","1416","18","0","82","8","1512","50","13","50","","","","","","","","","","","","","","","",
"GRANGER ISD","May 2016","8","4","-","-","-","-","10","1620","80","0","20","","","","","","","","","","","","","","","",
"GRAPE CREEK ISD","Spring 2016","3","80","1339","46","5","54","80","1363","46","3","54","","","","","","","","","","","","","","","",
"GRAPE CREEK ISD","Spring 2016","4","77","1472","61","10","39","78","1554","79","22","21","79","3497","48","3","52","","","","","","","","","","",
"GRAPE CREEK ISD","Spring 2016","5","98","1498","58","14","42","98","1560","68","10","32","","","","","","97","3587","53","3","47","","","","","",
"GRAPE CREEK ISD","Spring 2016","6","78","1525","51","5","49","77","1557","57","6","43","","","","","","","","","","","","","","","",
"GRAPE CREEK ISD","Spring 2016","7","86","1593","60","12","40","86","1595","55","5","45","86","3697","65","3","35","","","","","","","","","","",
"GRAPE CREEK ISD","Spring 2016","8","67","1627","66","6","34","67","1611","49","3","51","","","","","","66","3755","70","11","30","66","3492","42","5","58",
"GRAPE CREEK ISD","May 2016","5","40","1376","18","0","83","31","1451","29","3","71","","","","","","","","","","","","","","","",
"GRAPE CREEK ISD","May 2016","8","23","1546","30","0","70","33","1572","48","0","52","","","","","","","","","","","","","","","",
"GRAPELAND ISD","Spring 2016","3","31","1401","68","16","32","31","1424","65","10","35","","","","","","","","","","","","","","","",
"GRAPELAND ISD","Spring 2016","4","30","1493","67","13","33","30","1494","70","3","30","30","3651","67","3","33","","","","","","","","","","",
"GRAPELAND ISD","Spring 2016","5","33","1557","82","24","18","33","1582","79","9","21","","","","","","33","3815","73","6","27","","","","","",
"GRAPELAND ISD","Spring 2016","6","38","1542","61","8","39","38","1566","68","8","32","","","","","","","","","","","","","","","",
"GRAPELAND ISD","Spring 2016","7","24","1615","58","17","42","23","1619","74","9","26","23","3840","74","0","26","","","","","","","","","","",
"GRAPELAND ISD","Spring 2016","8","33","1647","64","15","36","26","1610","58","0","42","","","","","","33","3770","67","9","33","33","3520","45","0","55",
"GRAPELAND ISD","May 2016","5","6","1452","50","0","50","7","1461","43","0","57","","","","","","","","","","","","","","","",
"GRAPELAND ISD","May 2016","8","12","1519","17","0","83","11","1571","36","0","64","","","","","","","","","","","","","","","",
"GRAPEVINE-COLLEYVILLE ISD","Spring 2016","3","876","1506","88","41","12","898","1511","87","28","13","","","","","","","","","","","","","","","",
"GRAPEVINE-COLLEYVILLE ISD","Spring 2016","4","924","1573","89","35","11","928","1605","85","34","15","914","4167","86","31","14","","","","","","","","","","",
"GRAPEVINE-COLLEYVILLE ISD","Spring 2016","5","940","1648","90","49","10","930","1674","91","35","9","","","","","","961","4005","88","19","12","","","","","",
"GRAPEVINE-COLLEYVILLE ISD","Spring 2016","6","1005","1660","86","35","14","1008","1695","89","30","11","","","","","","","","","","","","","","","",
"GRAPEVINE-COLLEYVILLE ISD","Spring 2016","7","1125","1708","88","40","12","640","1659","79","11","21","1120","4146","86","26","14","","","","","","","","","","",
"GRAPEVINE-COLLEYVILLE ISD","Spring 2016","8","1043","1741","92","35","8","1076","1738","87","20","13","","","","","","1053","4043","86","23","14","1019","3978","80","28","20",
"GRAPEVINE-COLLEYVILLE ISD","May 2016","5","103","1454","50","3","50","93","1498","61","0","39","","","","","","","","","","","","","","","",
"GRAPEVINE-COLLEYVILLE ISD","May 2016","8","81","1575","52","2","48","120","1599","57","0","43","","","","","","","","","","","","","","","",
"GREAT HEARTS TEXAS","Spring 2016","3","243","1466","84","28","16","243","1457","81","11","19","","","","","","","","","","","","","","","",
"GREAT HEARTS TEXAS","Spring 2016","4","241","1546","85","24","15","241","1579","79","24","21","242","3993","77","20","23","","","","","","","","","","",
"GREAT HEARTS TEXAS","Spring 2016","5","235","1639","93","47","7","234","1672","93","34","7","","","","","","235","3861","80","8","20","","","","","",
"GREAT HEARTS TEXAS","Spring 2016","6","201","1661","90","33","10","201","1675","88","24","12","","","","","","","","","","","","","","","",
"GREAT HEARTS TEXAS","Spring 2016","7","173","1707","88","36","12","95","1637","76","8","24","175","4120","86","25","14","","","","","","","","","","",
"GREAT HEARTS TEXAS","Spring 2016","8","52","1762","94","38","6","","","","","","","","","","","52","4273","90","37","10","52","3988","88","27","12",
