"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"SANDS CISD (058909)","Spring 2016","3","22","1425","73","18","27","23","1446","74","17","26","","","","","","","","","","","","","","","",
"SANDS CISD (058909)","Spring 2016","4","13","1605","100","38","0","13","1509","69","0","31","12","3953","83","17","17","","","","","","","","","","",
"SANDS CISD (058909)","Spring 2016","5","15","1612","73","60","27","15","1632","87","13","13","","","","","","15","4031","87","13","13","","","","","",
"SANDS CISD (058909)","Spring 2016","6","18","1599","78","22","22","15","1638","80","13","20","","","","","","","","","","","","","","","",
"SANDS CISD (058909)","Spring 2016","7","21","1687","86","29","14","19","1707","100","21","0","19","4096","95","11","5","","","","","","","","","","",
"SANDS CISD (058909)","Spring 2016","8","8","1656","75","13","25","7","1727","86","14","14","","","","","","6","3982","100","17","0","6","3804","100","0","0",
"SANDS CISD (058909)","May 2016","5","3","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"SANDS CISD (058909)","May 2016","8","2","-","-","-","-","","","","","","","","","","","","","","","","","","","","",
"SANFORD-FRITCH ISD","Spring 2016","3","57","1418","75","14","25","57","1445","75","21","25","","","","","","","","","","","","","","","",
"SANFORD-FRITCH ISD","Spring 2016","4","49","1497","73","16","27","49","1505","59","10","41","50","3827","74","10","26","","","","","","","","","","",
"SANFORD-FRITCH ISD","Spring 2016","5","51","1541","76","16","24","51","1530","57","6","43","","","","","","50","3517","48","0","52","","","","","",
"SANFORD-FRITCH ISD","Spring 2016","6","52","1615","75","21","25","52","1628","81","13","19","","","","","","","","","","","","","","","",
"SANFORD-FRITCH ISD","Spring 2016","7","54","1628","72","19","28","35","1555","34","0","66","48","3899","75","4","25","","","","","","","","","","",
"SANFORD-FRITCH ISD","Spring 2016","8","47","1681","89","9","11","43","1634","60","9","40","","","","","","55","3651","65","2","35","55","3696","67","11","33",
"SANFORD-FRITCH ISD","May 2016","5","12","1421","17","0","83","21","1501","62","0","38","","","","","","","","","","","","","","","",
"SANFORD-FRITCH ISD","May 2016","8","7","1606","57","0","43","16","1586","56","0","44","","","","","","","","","","","","","","","",
"SANGER ISD","Spring 2016","3","178","1481","86","33","14","179","1495","86","25","14","","","","","","","","","","","","","","","",
"SANGER ISD","Spring 2016","4","183","1548","87","22","13","189","1574","85","20","15","182","3932","80","15","20","","","","","","","","","","",
"SANGER ISD","Spring 2016","5","179","1610","89","34","11","180","1625","89","17","11","","","","","","180","3928","87","10","13","","","","","",
"SANGER ISD","Spring 2016","6","181","1630","84","24","16","180","1661","87","17","13","","","","","","","","","","","","","","","",
"SANGER ISD","Spring 2016","7","179","1626","70","16","30","123","1579","55","1","45","177","3743","64","6","36","","","","","","","","","","",
"SANGER ISD","Spring 2016","8","195","1688","82","18","18","194","1664","78","3","22","","","","","","196","3897","80","15","20","197","3764","68","11","32",
"SANGER ISD","May 2016","5","17","1444","47","0","53","19","1468","37","0","63","","","","","","","","","","","","","","","",
"SANGER ISD","May 2016","8","37","1580","51","0","49","37","1585","54","0","46","","","","","","","","","","","","","","","",
"SANTA ANNA ISD","Spring 2016","3","27","1440","81","19","19","27","1499","93","11","7","","","","","","","","","","","","","","","",
"SANTA ANNA ISD","Spring 2016","4","21","1492","71","5","29","21","1490","57","5","43","21","3861","76","14","24","","","","","","","","","","",
"SANTA ANNA ISD","Spring 2016","5","31","1575","84","29","16","31","1582","84","13","16","","","","","","31","3928","87","13","13","","","","","",
"SANTA ANNA ISD","Spring 2016","6","29","1562","76","14","24","29","1572","62","3","38","","","","","","","","","","","","","","","",
"SANTA ANNA ISD","Spring 2016","7","17","1598","59","6","41","17","1593","71","0","29","16","3512","56","0","44","","","","","","","","","","",
"SANTA ANNA ISD","Spring 2016","8","17","1645","71","12","29","17","1683","76","12","24","","","","","","18","3652","56","6","44","17","3447","41","6","59",
