"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"JOHN H WOOD JR PUBLIC CHARTER DI","Spring 2016","3","17","1420","76","18","24","18","1383","56","6","44","","","","","","","","","","","","","","","",
"JOHN H WOOD JR PUBLIC CHARTER DI","Spring 2016","4","33","1508","67","18","33","33","1462","48","6","52","33","3737","61","12","39","","","","","","","","","","",
"JOHN H WOOD JR PUBLIC CHARTER DI","Spring 2016","5","30","1594","77","37","23","29","1573","69","14","31","","","","","","28","3787","68","18","32","","","","","",
"JOHN H WOOD JR PUBLIC CHARTER DI","Spring 2016","6","66","1638","79","35","21","65","1587","63","5","37","","","","","","","","","","","","","","","",
"JOHN H WOOD JR PUBLIC CHARTER DI","Spring 2016","7","74","1617","65","16","35","74","1577","49","5","51","75","3722","63","11","37","","","","","","","","","","",
"JOHN H WOOD JR PUBLIC CHARTER DI","Spring 2016","8","95","1647","68","13","32","96","1579","38","1","63","","","","","","104","3484","47","8","53","101","3408","36","3","64",
"JOHN H WOOD JR PUBLIC CHARTER DI","May 2016","5","5","1457","60","0","40","8","1488","38","0","63","","","","","","","","","","","","","","","",
"JOHN H WOOD JR PUBLIC CHARTER DI","May 2016","8","40","1517","28","3","73","65","1547","31","0","69","","","","","","","","","","","","","","","",
"JOHNSON CITY ISD","Spring 2016","3","54","1463","89","24","11","54","1480","85","15","15","","","","","","","","","","","","","","","",
"JOHNSON CITY ISD","Spring 2016","4","52","1512","71","23","29","52","1533","65","21","35","52","3735","58","13","42","","","","","","","","","","",
"JOHNSON CITY ISD","Spring 2016","5","54","1550","61","26","39","55","1573","76","9","24","","","","","","55","3932","82","15","18","","","","","",
"JOHNSON CITY ISD","Spring 2016","6","46","1580","74","15","26","46","1647","87","15","13","","","","","","","","","","","","","","","",
"JOHNSON CITY ISD","Spring 2016","7","45","1663","82","29","18","28","1561","43","0","57","45","3864","82","9","18","","","","","","","","","","",
"JOHNSON CITY ISD","Spring 2016","8","59","1670","78","17","22","58","1685","74","5","26","","","","","","56","4020","84","20","16","56","3592","50","5","50",
"JOHNSON CITY ISD","May 2016","5","22","1449","45","0","55","13","1461","38","0","62","","","","","","","","","","","","","","","",
"JOHNSON CITY ISD","May 2016","8","12","1531","33","0","67","14","1600","57","0","43","","","","","","","","","","","","","","","",
"JONESBORO ISD","Spring 2016","3","10","1466","90","20","10","10","1540","90","30","10","","","","","","","","","","","","","","","",
"JONESBORO ISD","Spring 2016","4","16","1484","81","6","19","16","1464","44","6","56","15","3627","67","0","33","","","","","","","","","","",
"JONESBORO ISD","Spring 2016","5","10","1575","80","40","20","10","1581","70","30","30","","","","","","10","4285","90","50","10","","","","","",
"JONESBORO ISD","Spring 2016","6","10","1529","60","0","40","10","1580","60","0","40","","","","","","","","","","","","","","","",
"JONESBORO ISD","Spring 2016","7","13","1695","92","31","8","12","1629","75","0","25","12","4112","92","33","8","","","","","","","","","","",
"JONESBORO ISD","Spring 2016","8","9","1697","89","33","11","9","1644","56","0","44","","","","","","11","3977","82","9","18","10","3860","70","40","30",
"JONESBORO ISD","May 2016","5","2","-","-","-","-","3","-","-","-","-","","","","","","","","","","","","","","","",
"JONESBORO ISD","May 2016","8","2","-","-","-","-","5","1663","80","0","20","","","","","","","","","","","","","","","",
"JOSHUA ISD","Spring 2016","3","394","1453","78","25","22","414","1465","78","21","22","","","","","","","","","","","","","","","",
"JOSHUA ISD","Spring 2016","4","377","1523","79","20","21","393","1568","78","23","22","375","3959","77","20","23","","","","","","","","","","",
"JOSHUA ISD","Spring 2016","5","372","1568","79","26","21","382","1603","80","19","20","","","","","","377","3936","86","13","14","","","","","",
"JOSHUA ISD","Spring 2016","6","356","1631","80","26","20","357","1663","83","20","17","","","","","","","","","","","","","","","",
"JOSHUA ISD","Spring 2016","7","361","1652","76","24","24","354","1693","82","23","18","354","3944","81","12","19","","","","","","","","","","",
"JOSHUA ISD","Spring 2016","8","352","1694","86","21","14","260","1649","76","1","24","","","","","","354","4130","90","28","10","354","3837","71","19","29",
"JOSHUA ISD","May 2016","5","77","1436","32","0","68","76","1501","62","0","38","","","","","","","","","","","","","","","",
"JOSHUA ISD","May 2016","8","56","1590","50","5","50","69","1611","67","0","33","","","","","","","","","","","","","","","",
"JOURDANTON ISD","Spring 2016","3","129","1396","59","12","41","129","1432","69","11","31","","","","","","","","","","","","","","","",
"JOURDANTON ISD","Spring 2016","4","120","1486","68","12","32","119","1543","71","22","29","121","3632","59","8","41","","","","","","","","","","",
"JOURDANTON ISD","Spring 2016","5","96","1584","80","36","20","96","1642","82","32","18","","","","","","97","3905","82","13","18","","","","","",
"JOURDANTON ISD","Spring 2016","6","101","1590","70","22","30","101","1632","73","12","27","","","","","","","","","","","","","","","",
"JOURDANTON ISD","Spring 2016","7","101","1646","78","19","22","100","1706","88","22","12","100","3995","78","18","22","","","","","","","","","","",
"JOURDANTON ISD","Spring 2016","8","109","1680","90","18","10","111","1754","89","22","11","","","","","","109","3968","84","17","16","109","3696","64","10","36",
"JOURDANTON ISD","May 2016","5","19","1439","42","0","58","18","1483","39","0","61","","","","","","","","","","","","","","","",
"JOURDANTON ISD","May 2016","8","10","1555","50","0","50","12","1585","33","0","67","","","","","","","","","","","","","","","",
"JUBILEE ACADEMIES","Spring 2016","3","502","1439","74","22","26","487","1436","69","15","31","","","","","","","","","","","","","","","",
"JUBILEE ACADEMIES","Spring 2016","4","445","1492","72","12","28","445","1494","60","10","40","443","3653","60","8","40","","","","","","","","","","",
"JUBILEE ACADEMIES","Spring 2016","5","408","1536","70","20","30","412","1538","59","10","41","","","","","","411","3689","67","6","33","","","","","",
"JUBILEE ACADEMIES","Spring 2016","6","402","1566","66","12","34","401","1582","65","6","35","","","","","","","","","","","","","","","",
"JUBILEE ACADEMIES","Spring 2016","7","345","1630","71","19","29","341","1636","67","12","33","343","3778","66","7","34","","","","","","","","","","",
"JUBILEE ACADEMIES","Spring 2016","8","279","1680","81","14","19","","","","","","","","","","","275","3753","69","10","31","276","3514","46","3","54",
"JUBILEE ACADEMIES","May 2016","5","122","1431","34","0","66","164","1477","46","0","54","","","","","","","","","","","","","","","",
"JUBILEE ACADEMIES","May 2016","8","54","1549","39","0","61","","","","","","","","","","","","","","","","","","","","",
"JUDSON ISD","Spring 2016","3","1664","1426","73","19","27","1705","1450","74","15","26","","","","","","","","","","","","","","","",
