"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"NECHES ISD","Spring 2016","3","30","1454","87","20","13","30","1469","83","17","17","","","","","","","","","","","","","","","",
"NECHES ISD","Spring 2016","4","29","1500","72","7","28","29","1572","86","14","14","29","3646","59","3","41","","","","","","","","","","",
"NECHES ISD","Spring 2016","5","33","1531","76","12","24","33","1603","85","9","15","","","","","","33","3701","79","0","21","","","","","",
"NECHES ISD","Spring 2016","6","30","1627","73","23","27","30","1655","87","17","13","","","","","","","","","","","","","","","",
"NECHES ISD","Spring 2016","7","26","1649","77","23","23","26","1689","85","19","15","26","4139","85","23","15","","","","","","","","","","",
"NECHES ISD","Spring 2016","8","35","1704","86","31","14","35","1683","80","9","20","","","","","","35","4080","89","29","11","35","3657","57","6","43",
"NECHES ISD","May 2016","5","8","1512","75","0","25","5","1505","60","0","40","","","","","","","","","","","","","","","",
"NECHES ISD","May 2016","8","6","1577","50","0","50","8","1567","50","0","50","","","","","","","","","","","","","","","",
"NEDERLAND ISD","Spring 2016","3","374","1503","90","39","10","373","1541","92","36","8","","","","","","","","","","","","","","","",
"NEDERLAND ISD","Spring 2016","4","361","1558","89","28","11","361","1594","86","27","14","366","4125","88","27","12","","","","","","","","","","",
"NEDERLAND ISD","Spring 2016","5","325","1567","77","27","23","324","1588","74","16","26","","","","","","322","3724","67","6","33","","","","","",
"NEDERLAND ISD","Spring 2016","6","373","1612","78","23","22","369","1621","76","12","24","","","","","","","","","","","","","","","",
"NEDERLAND ISD","Spring 2016","7","359","1631","70","16","30","356","1667","75","17","25","356","3912","77","13","23","","","","","","","","","","",
"NEDERLAND ISD","Spring 2016","8","332","1711","89","26","11","290","1668","80","3","20","","","","","","330","3901","74","15","26","325","3936","81","23","19",
"NEDERLAND ISD","May 2016","5","80","1416","38","3","63","91","1464","32","0","68","","","","","","","","","","","","","","","",
"NEDERLAND ISD","May 2016","8","42","1567","45","0","55","61","1591","49","0","51","","","","","","","","","","","","","","","",
"NEEDVILLE ISD","Spring 2016","3","207","1472","85","29","15","208","1507","90","22","10","","","","","","","","","","","","","","","",
"NEEDVILLE ISD","Spring 2016","4","229","1544","86","28","14","231","1582","86","26","14","229","3868","77","14","23","","","","","","","","","","",
"NEEDVILLE ISD","Spring 2016","5","178","1596","87","30","13","179","1636","89","22","11","","","","","","178","3913","87","11","13","","","","","",
"NEEDVILLE ISD","Spring 2016","6","240","1621","84","23","16","239","1647","80","16","20","","","","","","","","","","","","","","","",
"NEEDVILLE ISD","Spring 2016","7","237","1679","84","23","16","236","1695","84","21","16","237","3994","83","11","17","","","","","","","","","","",
"NEEDVILLE ISD","Spring 2016","8","241","1702","86","23","14","172","1660","78","2","22","","","","","","238","4012","87","21","13","238","3718","66","9","34",
"NEEDVILLE ISD","May 2016","5","17","1433","41","0","59","17","1484","35","0","65","","","","","","","","","","","","","","","",
"NEEDVILLE ISD","May 2016","8","32","1581","44","0","56","39","1611","56","0","44","","","","","","","","","","","","","","","",
