"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"LORAINE ISD","Spring 2016","3","10","1387","50","20","50","10","1397","40","10","60","","","","","","","","","","","","","","","",
"LORAINE ISD","Spring 2016","4","10","1385","40","0","60","10","1451","40","0","60","10","3145","30","0","70","","","","","","","","","","",
"LORAINE ISD","Spring 2016","5","13","1495","54","0","46","13","1515","62","0","38","","","","","","13","3504","62","0","38","","","","","",
"LORAINE ISD","Spring 2016","6","15","1599","80","20","20","15","1615","73","20","27","","","","","","","","","","","","","","","",
"LORAINE ISD","Spring 2016","7","7","1583","57","0","43","7","1595","71","0","29","7","3565","57","0","43","","","","","","","","","","",
"LORAINE ISD","Spring 2016","8","12","1690","83","17","17","12","1670","75","8","25","","","","","","13","3735","62","0","38","13","3441","31","0","69",
"LORAINE ISD","May 2016","5","6","1351","0","0","100","5","1424","0","0","100","","","","","","","","","","","","","","","",
"LORAINE ISD","May 2016","8","3","-","-","-","-","4","-","-","-","-","","","","","","","","","","","","","","","",
"LORENA ISD","Spring 2016","3","124","1497","90","36","10","124","1500","87","19","13","","","","","","","","","","","","","","","",
"LORENA ISD","Spring 2016","4","115","1568","92","29","8","115","1601","92","25","8","115","3913","77","12","23","","","","","","","","","","",
"LORENA ISD","Spring 2016","5","101","1590","90","23","10","101","1634","92","20","8","","","","","","102","3845","80","6","20","","","","","",
"LORENA ISD","Spring 2016","6","113","1659","84","39","16","117","1665","86","22","14","","","","","","","","","","","","","","","",
"LORENA ISD","Spring 2016","7","133","1650","74","25","26","135","1669","76","16","24","131","3995","84","14","16","","","","","","","","","","",
"LORENA ISD","Spring 2016","8","124","1717","94","23","6","91","1696","91","3","9","","","","","","120","4004","86","19","14","120","3724","67","9","33",
"LORENA ISD","May 2016","5","10","1482","60","0","40","8","1506","75","0","25","","","","","","","","","","","","","","","",
"LORENA ISD","May 2016","8","6","1547","33","0","67","9","1610","67","0","33","","","","","","","","","","","","","","","",
"LORENZO ISD","Spring 2016","3","17","1338","47","0","53","17","1343","41","6","59","","","","","","","","","","","","","","","",
"LORENZO ISD","Spring 2016","4","13","1454","69","0","31","13","1434","31","0","69","13","3578","38","8","62","","","","","","","","","","",
"LORENZO ISD","Spring 2016","5","23","1472","52","4","48","23","1538","65","4","35","","","","","","24","3610","67","0","33","","","","","",
"LORENZO ISD","Spring 2016","6","14","1560","57","0","43","14","1612","79","7","21","","","","","","","","","","","","","","","",
"LORENZO ISD","Spring 2016","7","15","1631","73","7","27","15","1658","87","7","13","15","3986","80","13","20","","","","","","","","","","",
"LORENZO ISD","Spring 2016","8","11","1663","91","18","9","11","1587","36","0","64","","","","","","12","3590","58","0","42","12","3426","33","0","67",
"LORENZO ISD","May 2016","5","11","1421","36","0","64","8","1464","25","0","75","","","","","","","","","","","","","","","",
"LORENZO ISD","May 2016","8","2","-","-","-","-","8","1580","63","0","38","","","","","","","","","","","","","","","",
"LOS FRESNOS CISD","Spring 2016","3","744","1475","84","31","16","757","1502","86","25","14","","","","","","","","","","","","","","","",
"LOS FRESNOS CISD","Spring 2016","4","690","1542","85","23","15","695","1577","83","24","17","690","4065","86","22","14","","","","","","","","","","",
"LOS FRESNOS CISD","Spring 2016","5","697","1601","85","33","15","711","1658","93","28","7","","","","","","718","4069","93","19","7","","","","","",
"LOS FRESNOS CISD","Spring 2016","6","738","1620","79","24","21","719","1657","83","18","17","","","","","","","","","","","","","","","",
"LOS FRESNOS CISD","Spring 2016","7","742","1663","80","24","20","729","1674","78","19","22","740","3980","81","16","19","","","","","","","","","","",
"LOS FRESNOS CISD","Spring 2016","8","823","1700","89","21","11","643","1729","91","12","9","","","","","","803","4180","93","31","7","800","3895","78","23","22",
"LOS FRESNOS CISD","May 2016","5","116","1459","49","1","51","58","1501","64","0","36","","","","","","","","","","","","","","","",
"LOS FRESNOS CISD","May 2016","8","95","1572","49","0","51","58","1586","43","0","57","","","","","","","","","","","","","","","",
"LOUISE ISD","Spring 2016","3","34","1445","79","24","21","34","1452","76","15","24","","","","","","","","","","","","","","","",
"LOUISE ISD","Spring 2016","4","40","1476","65","13","35","40","1471","50","5","50","40","3657","58","10","43","","","","","","","","","","",
"LOUISE ISD","Spring 2016","5","48","1559","69","25","31","48","1603","77","17","23","","","","","","48","3858","75","17","25","","","","","",
"LOUISE ISD","Spring 2016","6","43","1555","63","12","37","43","1594","65","5","35","","","","","","","","","","","","","","","",
"LOUISE ISD","Spring 2016","7","37","1652","78","27","22","37","1667","81","11","19","36","3922","75","17","25","","","","","","","","","","",
"LOUISE ISD","Spring 2016","8","38","1635","63","11","37","34","1624","59","0","41","","","","","","34","3623","53","3","47","37","3455","35","5","65",
"LOUISE ISD","May 2016","5","15","1377","13","0","87","11","1479","55","0","45","","","","","","","","","","","","","","","",
"LOUISE ISD","May 2016","8","14","1570","50","0","50","14","1611","71","0","29","","","","","","","","","","","","","","","",
"LOVEJOY ISD","Spring 2016","3","293","1551","95","55","5","294","1595","96","50","4","","","","","","","","","","","","","","","",
"LOVEJOY ISD","Spring 2016","4","248","1614","96","44","4","247","1698","96","60","4","236","4395","93","42","7","","","","","","","","","","",
"LOVEJOY ISD","Spring 2016","5","307","1675","98","54","2","253","1733","100","51","0","","","","","","309","4151","97","25","3","","","","","",
"LOVEJOY ISD","Spring 2016","6","343","1707","95","51","5","330","1796","98","56","2","","","","","","","","","","","","","","","",
"LOVEJOY ISD","Spring 2016","7","336","1762","98","54","2","335","1859","98","69","2","328","4566","98","52","2","","","","","","","","","","",
"LOVEJOY ISD","Spring 2016","8","352","1798","100","54","0","117","1870","98","56","2","","","","","","350","4399","99","43","1","349","4148","94","39","6",
"LOVEJOY ISD","May 2016","5","10","1528","80","10","20","","","","","","","","","","","","","","","","","","","","",
"LOVEJOY ISD","May 2016","8","2","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"LOVELADY ISD","Spring 2016","3","33","1477","88","27","12","33","1421","70","12","30","","","","","","","","","","","","","","","",
"LOVELADY ISD","Spring 2016","4","44","1548","93","16","7","44","1525","77","11","23","43","3860","84","9","16","","","","","","","","","","",
"LOVELADY ISD","Spring 2016","5","29","1637","97","45","3","30","1638","80","27","20","","","","","","29","4044","83","24","17","","","","","",
"LOVELADY ISD","Spring 2016","6","32","1641","88","28","13","32","1642","88","13","13","","","","","","","","","","","","","","","",
"LOVELADY ISD","Spring 2016","7","27","1714","89","41","11","27","1706","85","22","15","27","4077","96","4","4","","","","","","","","","","",
"LOVELADY ISD","Spring 2016","8","40","1705","88","25","13","40","1674","80","3","20","","","","","","40","3904","83","8","18","40","3744","73","13","28",
"LOVELADY ISD","May 2016","5","2","-","-","-","-","6","1516","83","0","17","","","","","","","","","","","","","","","",
"LOVELADY ISD","May 2016","8","5","1581","60","0","40","8","1568","38","0","63","","","","","","","","","","","","","","","",
"LUBBOCK ISD","Spring 2016","3","2276","1408","64","19","36","2290","1432","67","14","33","","","","","","","","","","","","","","","",
"LUBBOCK ISD","Spring 2016","4","1942","1489","68","14","32","1969","1532","67","17","33","1938","3740","63","11","37","","","","","","","","","","",
"LUBBOCK ISD","Spring 2016","5","1994","1542","69","22","31","2006","1594","74","17","26","","","","","","2020","3823","73","11","27","","","","","",
"LUBBOCK ISD","Spring 2016","6","1836","1575","65","17","35","1848","1601","65","10","35","","","","","","","","","","","","","","","",
"LUBBOCK ISD","Spring 2016","7","1862","1620","64","18","36","1856","1633","63","14","37","1914","3743","62","10","38","","","","","","","","","","",
"LUBBOCK ISD","Spring 2016","8","1889","1666","75","17","25","1317","1608","52","1","48","","","","","","1871","3851","70","17","30","1865","3695","59","14","41",
"LUBBOCK ISD","May 2016","5","639","1413","30","1","70","520","1477","42","0","58","","","","","","","","","","","","","","","",
"LUBBOCK ISD","May 2016","8","466","1535","29","0","71","626","1571","37","0","63","","","","","","","","","","","","","","","",
"LUBBOCK-COOPER ISD","Spring 2016","3","437","1477","85","31","15","430","1518","88","30","12","","","","","","","","","","","","","","","",
"LUBBOCK-COOPER ISD","Spring 2016","4","386","1572","90","34","10","386","1623","90","38","10","400","4125","86","27","14","","","","","","","","","","",
"LUBBOCK-COOPER ISD","Spring 2016","5","387","1624","92","39","8","389","1655","94","26","6","","","","","","393","3932","86","10","14","","","","","",
"LUBBOCK-COOPER ISD","Spring 2016","6","426","1629","81","27","19","414","1652","82","16","18","","","","","","","","","","","","","","","",
"LUBBOCK-COOPER ISD","Spring 2016","7","405","1672","84","26","16","405","1694","84","22","16","408","3999","81","14","19","","","","","","","","","","",
"LUBBOCK-COOPER ISD","Spring 2016","8","407","1709","90","24","10","362","1708","86","12","14","","","","","","405","3976","81","20","19","405","3812","75","15","25",
"LUBBOCK-COOPER ISD","May 2016","5","33","1446","42","0","58","26","1489","46","0","54","","","","","","","","","","","","","","","",
"LUBBOCK-COOPER ISD","May 2016","8","44","1585","61","5","39","51","1579","35","0","65","","","","","","","","","","","","","","","",
"LUEDERS-AVOCA ISD","Spring 2016","3","6","1340","50","0","50","6","1374","67","0","33","","","","","","","","","","","","","","","",
"LUEDERS-AVOCA ISD","Spring 2016","4","6","1422","67","0","33","6","1448","33","0","67","7","3212","0","0","100","","","","","","","","","","",
"LUEDERS-AVOCA ISD","Spring 2016","5","1","-","-","-","-","1","-","-","-","-","","","","","","1","-","-","-","-","","","","","",
"LUEDERS-AVOCA ISD","Spring 2016","6","5","1515","40","20","60","5","1561","60","0","40","","","","","","","","","","","","","","","",
"LUEDERS-AVOCA ISD","Spring 2016","7","8","1541","38","13","63","8","1553","38","0","63","8","3476","38","13","63","","","","","","","","","","",
"LUEDERS-AVOCA ISD","Spring 2016","8","11","1632","64","0","36","11","1609","73","0","27","","","","","","12","3640","58","0","42","12","3207","8","0","92",
"LUEDERS-AVOCA ISD","May 2016","5","1","-","-","-","-","1","-","-","-","-","","","","","","","","","","","","","","","",
"LUEDERS-AVOCA ISD","May 2016","8","5","1517","20","0","80","4","-","-","-","-","","","","","","","","","","","","","","","",
"LUFKIN ISD","Spring 2016","3","610","1404","64","17","36","612","1434","68","12","32","","","","","","","","","","","","","","","",
"LUFKIN ISD","Spring 2016","4","552","1502","75","14","25","554","1545","73","19","27","551","3693","64","9","36","","","","","","","","","","",
"LUFKIN ISD","Spring 2016","5","526","1539","69","20","31","525","1594","78","16","22","","","","","","531","3762","70","8","30","","","","","",
"LUFKIN ISD","Spring 2016","6","508","1580","68","15","32","505","1629","76","15","24","","","","","","","","","","","","","","","",
"LUFKIN ISD","Spring 2016","7","465","1619","68","15","32","457","1660","74","17","26","467","3776","67","7","33","","","","","","","","","","",
"LUFKIN ISD","Spring 2016","8","485","1665","78","16","22","413","1696","85","8","15","","","","","","481","3893","77","16","23","480","3781","65","16","35",
"LUFKIN ISD","May 2016","5","164","1400","22","0","78","125","1450","31","0","69","","","","","","","","","","","","","","","",
"LUFKIN ISD","May 2016","8","108","1569","47","0","53","62","1614","61","0","39","","","","","","","","","","","","","","","",
"LULING ISD","Spring 2016","3","84","1361","48","12","52","83","1392","55","8","45","","","","","","","","","","","","","","","",
"LULING ISD","Spring 2016","4","90","1442","57","10","43","89","1484","52","6","48","91","3705","63","7","37","","","","","","","","","","",
"LULING ISD","Spring 2016","5","103","1457","47","6","53","103","1496","45","4","55","","","","","","102","3490","42","1","58","","","","","",
"LULING ISD","Spring 2016","6","116","1544","55","11","45","113","1557","51","5","49","","","","","","","","","","","","","","","",
"LULING ISD","Spring 2016","7","93","1606","60","13","40","91","1655","75","13","25","93","3643","60","3","40","","","","","","","","","","",
"LULING ISD","Spring 2016","8","90","1672","88","7","12","76","1646","71","4","29","","","","","","87","3688","62","6","38","87","3532","48","3","52",
"LULING ISD","May 2016","5","54","1386","15","4","85","56","1454","30","0","70","","","","","","","","","","","","","","","",
"LULING ISD","May 2016","8","11","1559","27","0","73","20","1591","55","0","45","","","","","","","","","","","","","","","",
"LUMBERTON ISD","Spring 2016","3","296","1446","81","23","19","297","1466","79","19","21","","","","","","","","","","","","","","","",
"LUMBERTON ISD","Spring 2016","4","251","1541","85","22","15","253","1558","81","16","19","254","3853","74","13","26","","","","","","","","","","",
"LUMBERTON ISD","Spring 2016","5","286","1595","86","28","14","288","1627","85","22","15","","","","","","288","3918","85","13","15","","","","","",
"LUMBERTON ISD","Spring 2016","6","283","1624","81","26","19","283","1649","80","19","20","","","","","","","","","","","","","","","",
"LUMBERTON ISD","Spring 2016","7","251","1678","84","29","16","259","1678","80","19","20","251","4161","86","25","14","","","","","","","","","","",
"LUMBERTON ISD","Spring 2016","8","262","1701","91","18","9","214","1662","79","4","21","","","","","","264","4040","87","22","13","262","3765","68","12","32",
"LUMBERTON ISD","May 2016","5","44","1442","34","2","66","47","1517","64","0","36","","","","","","","","","","","","","","","",
"LUMBERTON ISD","May 2016","8","28","1601","50","4","50","46","1603","57","0","43","","","","","","","","","","","","","","","",
"LUMIN EDUCATION","Spring 2016","3","37","1402","68","11","32","37","1376","59","3","41","","","","","","","","","","","","","","","",
"LYFORD CISD","Spring 2016","3","101","1431","74","18","26","101","1437","70","10","30","","","","","","","","","","","","","","","",
"LYFORD CISD","Spring 2016","4","110","1475","67","7","33","109","1507","69","6","31","109","3729","67","9","33","","","","","","","","","","",
"LYFORD CISD","Spring 2016","5","106","1537","78","12","22","107","1601","89","11","11","","","","","","105","3679","69","0","31","","","","","",
"LYFORD CISD","Spring 2016","6","114","1595","79","14","21","113","1614","84","4","16","","","","","","","","","","","","","","","",
"LYFORD CISD","Spring 2016","7","109","1637","71","17","29","109","1634","77","5","23","110","3871","75","9","25","","","","","","","","","","",
"LYFORD CISD","Spring 2016","8","106","1684","81","19","19","65","1651","82","0","18","","","","","","103","3973","77","19","23","103","3741","67","14","33",
"LYFORD CISD","May 2016","5","22","1416","14","0","86","12","1494","50","0","50","","","","","","","","","","","","","","","",
"LYFORD CISD","May 2016","8","20","1549","35","0","65","12","1617","83","0","17","","","","","","","","","","","","","","","",
"LYTLE ISD","Spring 2016","3","124","1386","61","11","39","124","1417","68","7","32","","","","","","","","","","","","","","","",
"LYTLE ISD","Spring 2016","4","116","1462","60","6","40","116","1515","65","12","35","115","3545","49","5","51","","","","","","","","","","",
"LYTLE ISD","Spring 2016","5","124","1512","65","14","35","125","1560","69","8","31","","","","","","123","3780","73","9","27","","","","","",
"LYTLE ISD","Spring 2016","6","129","1506","41","9","59","128","1533","45","2","55","","","","","","","","","","","","","","","",
