"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"CRANFILLS GAP ISD","Spring 2016","3","6","1309","50","0","50","6","1373","50","0","50","","","","","","","","","","","","","","","",
"CRANFILLS GAP ISD","Spring 2016","4","9","1380","33","0","67","9","1392","22","0","78","9","3374","33","0","67","","","","","","","","","","",
"CRANFILLS GAP ISD","Spring 2016","5","8","1528","75","25","25","9","1463","22","0","78","","","","","","7","3445","29","0","71","","","","","",
"CRANFILLS GAP ISD","Spring 2016","6","6","1574","83","0","17","6","1601","67","0","33","","","","","","","","","","","","","","","",
"CRANFILLS GAP ISD","Spring 2016","7","2","-","-","-","-","2","-","-","-","-","2","-","-","-","-","","","","","","","","","","",
"CRANFILLS GAP ISD","Spring 2016","8","11","1644","73","9","27","10","1710","100","0","0","","","","","","10","3727","60","20","40","10","3384","20","0","80",
"CRANFILLS GAP ISD","May 2016","5","1","-","-","-","-","5","1555","100","0","0","","","","","","","","","","","","","","","",
"CRANFILLS GAP ISD","May 2016","8","3","-","-","-","-","","","","","","","","","","","","","","","","","","","","",
"CRAWFORD ISD","Spring 2016","3","43","1497","95","33","5","43","1482","93","9","7","","","","","","","","","","","","","","","",
"CRAWFORD ISD","Spring 2016","4","41","1593","95","44","5","41","1572","83","17","17","41","4206","93","27","7","","","","","","","","","","",
"CRAWFORD ISD","Spring 2016","5","50","1626","92","42","8","50","1684","98","38","2","","","","","","50","3998","94","22","6","","","","","",
"CRAWFORD ISD","Spring 2016","6","44","1704","100","39","0","44","1748","95","50","5","","","","","","","","","","","","","","","",
"CRAWFORD ISD","Spring 2016","7","46","1711","85","46","15","46","1792","93","46","7","46","4086","80","20","20","","","","","","","","","","",
"CRAWFORD ISD","Spring 2016","8","49","1747","96","39","4","30","1731","93","13","7","","","","","","49","4099","92","29","8","49","3791","65","20","35",
"CRAWFORD ISD","May 2016","5","4","-","-","-","-","1","-","-","-","-","","","","","","","","","","","","","","","",
