"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"LANEVILLE ISD","Spring 2016","3","12","1351","58","0","42","12","1310","17","0","83","","","","","","","","","","","","","","","",
"LANEVILLE ISD","Spring 2016","4","15","1480","67","13","33","15","1398","20","0","80","14","3539","50","0","50","","","","","","","","","","",
"LANEVILLE ISD","Spring 2016","5","9","1450","33","11","67","9","1552","78","0","22","","","","","","9","3619","56","0","44","","","","","",
"LANEVILLE ISD","Spring 2016","6","18","1546","56","17","44","18","1544","44","0","56","","","","","","","","","","","","","","","",
"LANEVILLE ISD","Spring 2016","7","10","1592","60","0","40","11","1555","45","0","55","11","3827","82","9","18","","","","","","","","","","",
"LANEVILLE ISD","Spring 2016","8","11","1656","82","0","18","13","1736","92","23","8","","","","","","13","3651","46","8","54","11","3747","55","9","45",
"LANEVILLE ISD","May 2016","5","6","1418","17","0","83","2","-","-","-","-","","","","","","","","","","","","","","","",
"LANEVILLE ISD","May 2016","8","2","-","-","-","-","1","-","-","-","-","","","","","","","","","","","","","","","",
"LAPOYNOR ISD","Spring 2016","3","34","1441","85","15","15","34","1453","76","15","24","","","","","","","","","","","","","","","",
"LAPOYNOR ISD","Spring 2016","4","40","1495","75","5","25","40","1490","58","5","43","40","3535","55","0","45","","","","","","","","","","",
"LAPOYNOR ISD","Spring 2016","5","40","1543","78","25","23","40","1561","78","10","23","","","","","","39","3686","69","5","31","","","","","",
"LAPOYNOR ISD","Spring 2016","6","32","1557","69","6","31","32","1531","41","0","59","","","","","","","","","","","","","","","",
"LAPOYNOR ISD","Spring 2016","7","28","1620","68","14","32","28","1611","64","7","36","28","3709","68","4","32","","","","","","","","","","",
"LAPOYNOR ISD","Spring 2016","8","39","1681","77","26","23","39","1672","69","10","31","","","","","","40","3658","60","10","40","40","3483","40","10","60",
"LAPOYNOR ISD","May 2016","5","8","1450","50","0","50","8","1485","38","0","63","","","","","","","","","","","","","","","",
"LAPOYNOR ISD","May 2016","8","7","1568","57","0","43","10","1566","30","0","70","","","","","","","","","","","","","","","",
"LAREDO ISD","Spring 2016","3","1773","1383","58","13","42","1773","1444","74","14","26","","","","","","","","","","","","","","","",
"LAREDO ISD","Spring 2016","4","1715","1478","68","10","32","1723","1522","68","12","32","1704","3719","65","9","35","","","","","","","","","","",
"LAREDO ISD","Spring 2016","5","1642","1510","62","13","38","1656","1561","69","10","31","","","","","","1652","3799","75","7","25","","","","","",
"LAREDO ISD","Spring 2016","6","1464","1520","50","7","50","1397","1574","61","5","39","","","","","","","","","","","","","","","",
"LAREDO ISD","Spring 2016","7","1413","1573","51","9","49","1339","1615","58","9","42","1420","3604","54","5","46","","","","","","","","","","",
"LAREDO ISD","Spring 2016","8","1574","1622","65","7","35","1369","1646","66","4","34","","","","","","1479","3766","67","12","33","1472","3608","54","9","46",
"LAREDO ISD","May 2016","5","618","1424","32","1","68","519","1490","48","0","52","","","","","","","","","","","","","","","",
