"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"EARLY ISD","Spring 2016","3","81","1470","83","31","17","80","1476","79","16","21","","","","","","","","","","","","","","","",
"EARLY ISD","Spring 2016","4","78","1533","90","18","10","78","1559","81","17","19","79","3938","82","16","18","","","","","","","","","","",
"EARLY ISD","Spring 2016","5","96","1568","80","22","20","96","1533","58","6","42","","","","","","95","3709","65","7","35","","","","","",
"EARLY ISD","Spring 2016","6","91","1622","80","23","20","90","1641","88","18","12","","","","","","","","","","","","","","","",
"EARLY ISD","Spring 2016","7","77","1643","78","25","22","77","1698","84","23","16","77","3914","75","9","25","","","","","","","","","","",
"EARLY ISD","Spring 2016","8","105","1688","84","18","16","104","1691","82","9","18","","","","","","105","4031","86","24","14","105","3757","70","11","30",
"EARLY ISD","May 2016","5","20","1451","45","5","55","39","1461","33","0","67","","","","","","","","","","","","","","","",
"EARLY ISD","May 2016","8","18","1562","44","0","56","20","1574","50","0","50","","","","","","","","","","","","","","","",
"EAST AUSTIN COLLEGE PREP","Spring 2016","3","27","1380","63","7","37","22","1410","73","5","27","","","","","","","","","","","","","","","",
"EAST AUSTIN COLLEGE PREP","Spring 2016","4","46","1474","61","11","39","47","1507","66","9","34","46","3652","63","4","37","","","","","","","","","","",
"EAST AUSTIN COLLEGE PREP","Spring 2016","5","43","1459","47","2","53","42","1553","62","12","38","","","","","","43","3500","47","5","53","","","","","",
"EAST AUSTIN COLLEGE PREP","Spring 2016","6","58","1565","69","9","31","59","1568","64","2","36","","","","","","","","","","","","","","","",
"EAST AUSTIN COLLEGE PREP","Spring 2016","7","85","1605","59","12","41","85","1609","56","9","44","84","3724","65","6","35","","","","","","","","","","",
"EAST AUSTIN COLLEGE PREP","Spring 2016","8","94","1640","73","7","27","71","1580","42","0","58","","","","","","97","3692","64","6","36","96","3564","56","3","44",
"EAST AUSTIN COLLEGE PREP","May 2016","5","23","1409","22","0","78","17","1438","24","0","76","","","","","","","","","","","","","","","",
"EAST AUSTIN COLLEGE PREP","May 2016","8","28","1592","46","11","54","43","1579","42","0","58","","","","","","","","","","","","","","","",
"EAST BERNARD ISD","Spring 2016","3","74","1485","85","36","15","74","1526","91","34","9","","","","","","","","","","","","","","","",
"EAST BERNARD ISD","Spring 2016","4","73","1578","93","38","7","73","1670","93","58","7","73","4138","88","29","12","","","","","","","","","","",
"EAST BERNARD ISD","Spring 2016","5","61","1638","93","49","7","61","1630","95","20","5","","","","","","61","4008","90","23","10","","","","","",
"EAST BERNARD ISD","Spring 2016","6","82","1610","82","21","18","80","1629","80","14","20","","","","","","","","","","","","","","","",
"EAST BERNARD ISD","Spring 2016","7","80","1690","89","30","11","80","1691","85","18","15","80","4033","85","15","15","","","","","","","","","","",
"EAST BERNARD ISD","Spring 2016","8","87","1716","91","30","9","63","1648","68","0","32","","","","","","86","3839","77","9","23","86","4293","90","50","10",
"EAST BERNARD ISD","May 2016","5","4","-","-","-","-","3","-","-","-","-","","","","","","","","","","","","","","","",
"EAST BERNARD ISD","May 2016","8","8","1516","13","0","88","20","1568","30","0","70","","","","","","","","","","","","","","","",
"EAST CENTRAL ISD","Spring 2016","3","569","1404","69","14","31","551","1411","64","11","36","","","","","","","","","","","","","","","",
"EAST CENTRAL ISD","Spring 2016","4","589","1463","60","10","40","696","1490","57","9","43","594","3550","51","5","49","","","","","","","","","","",
"EAST CENTRAL ISD","Spring 2016","5","669","1511","62","14","38","738","1560","65","12","35","","","","","","649","3604","57","3","43","","","","","",
"EAST CENTRAL ISD","Spring 2016","6","700","1532","56","7","44","693","1595","67","7","33","","","","","","","","","","","","","","","",
"EAST CENTRAL ISD","Spring 2016","7","761","1592","57","10","43","757","1626","64","11","36","766","3621","54","5","46","","","","","","","","","","",
"EAST CENTRAL ISD","Spring 2016","8","713","1649","75","11","25","477","1626","59","1","41","","","","","","709","3630","59","6","41","710","3527","45","5","55",
"EAST CENTRAL ISD","May 2016","5","253","1403","21","0","79","258","1459","31","0","69","","","","","","","","","","","","","","","",
"EAST CENTRAL ISD","May 2016","8","190","1564","41","1","59","199","1583","44","0","56","","","","","","","","","","","","","","","",
"EAST CHAMBERS ISD","Spring 2016","3","83","1413","66","20","34","83","1483","78","18","22","","","","","","","","","","","","","","","",
"EAST CHAMBERS ISD","Spring 2016","4","87","1531","82","20","18","86","1551","73","17","27","87","3807","68","17","32","","","","","","","","","","",
"EAST CHAMBERS ISD","Spring 2016","5","96","1533","71","19","29","95","1570","74","7","26","","","","","","95","3903","83","12","17","","","","","",
"EAST CHAMBERS ISD","Spring 2016","6","95","1574","65","8","35","95","1568","61","1","39","","","","","","","","","","","","","","","",
