"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"DAMON ISD","Spring 2016","3","12","1359","50","8","50","11","1464","82","9","18","","","","","","","","","","","","","","","",
"DAMON ISD","Spring 2016","4","12","1436","50","17","50","12","1515","83","8","17","12","3303","25","0","75","","","","","","","","","","",
"DAMON ISD","Spring 2016","5","11","1515","73","27","27","11","1556","82","0","18","","","","","","12","3542","50","0","50","","","","","",
"DAMON ISD","Spring 2016","6","17","1499","47","0","53","15","1538","33","0","67","","","","","","","","","","","","","","","",
"DAMON ISD","Spring 2016","7","15","1608","60","7","40","15","1601","60","7","40","16","3618","56","0","44","","","","","","","","","","",
"DAMON ISD","Spring 2016","8","15","1665","80","13","20","8","1621","63","0","38","","","","","","14","3797","86","14","14","14","4053","86","29","14",
"DAMON ISD","May 2016","5","3","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"DAMON ISD","May 2016","8","2","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"DANBURY ISD","Spring 2016","3","61","1453","77","28","23","61","1511","93","21","7","","","","","","","","","","","","","","","",
"DANBURY ISD","Spring 2016","4","63","1560","92","27","8","63","1582","94","13","6","61","4177","97","30","3","","","","","","","","","","",
"DANBURY ISD","Spring 2016","5","53","1606","85","32","15","53","1721","100","57","0","","","","","","55","4016","96","16","4","","","","","",
"DANBURY ISD","Spring 2016","6","70","1639","90","26","10","70","1743","96","41","4","","","","","","","","","","","","","","","",
"DANBURY ISD","Spring 2016","7","57","1647","88","18","12","57","1731","95","35","5","59","3799","73","8","27","","","","","","","","","","",
"DANBURY ISD","Spring 2016","8","75","1694","84","16","16","50","1675","80","4","20","","","","","","75","3926","84","16","16","74","4205","97","47","3",
"DANBURY ISD","May 2016","5","8","1486","75","0","25","","","","","","","","","","","","","","","","","","","","",
"DANBURY ISD","May 2016","8","12","1600","58","0","42","11","1579","36","0","64","","","","","","","","","","","","","","","",
"DARROUZETT ISD","Spring 2016","3","10","1351","60","0","40","10","1352","50","0","50","","","","","","","","","","","","","","","",
"DARROUZETT ISD","Spring 2016","4","10","1469","60","20","40","10","1463","40","0","60","10","3617","50","20","50","","","","","","","","","","",
"DARROUZETT ISD","Spring 2016","5","10","1467","70","0","30","10","1514","60","0","40","","","","","","10","3194","10","0","90","","","","","",
"DARROUZETT ISD","Spring 2016","6","6","1519","50","0","50","6","1626","50","33","50","","","","","","","","","","","","","","","",
"DARROUZETT ISD","Spring 2016","7","5","1652","80","20","20","5","1708","80","40","20","6","3631","50","0","50","","","","","","","","","","",
"DARROUZETT ISD","Spring 2016","8","5","1633","100","0","0","5","1683","100","0","0","","","","","","5","3928","80","0","20","5","3392","40","0","60",
"DARROUZETT ISD","May 2016","5","3","-","-","-","-","4","-","-","-","-","","","","","","","","","","","","","","","",
"DAWSON ISD (058902)","Spring 2016","3","16","1411","63","25","38","16","1394","38","13","63","","","","","","","","","","","","","","","",
"DAWSON ISD (058902)","Spring 2016","4","18","1509","78","11","22","18","1514","72","11","28","18","3720","67","0","33","","","","","","","","","","",
"DAWSON ISD (058902)","Spring 2016","5","10","1573","80","20","20","10","1657","100","20","0","","","","","","10","3747","80","10","20","","","","","",
"DAWSON ISD (058902)","Spring 2016","6","11","1609","82","18","18","11","1581","73","0","27","","","","","","","","","","","","","","","",
"DAWSON ISD (058902)","Spring 2016","7","5","1608","40","20","60","6","1620","50","0","50","5","3989","80","0","20","","","","","","","","","","",
"DAWSON ISD (058902)","Spring 2016","8","10","1677","90","10","10","10","1701","70","20","30","","","","","","10","3876","60","20","40","10","3550","60","0","40",
"DAWSON ISD (058902)","May 2016","5","2","-","-","-","-","","","","","","","","","","","","","","","","","","","","",
"DAWSON ISD (058902)","May 2016","8","1","-","-","-","-","3","-","-","-","-","","","","","","","","","","","","","","","",
"DAWSON ISD (175904)","Spring 2016","3","31","1405","71","16","29","32","1433","72","13","28","","","","","","","","","","","","","","","",
"DAWSON ISD (175904)","Spring 2016","4","29","1501","83","17","17","29","1568","79","14","21","31","3714","58","13","42","","","","","","","","","","",
"DAWSON ISD (175904)","Spring 2016","5","39","1581","79","28","21","39","1594","74","18","26","","","","","","40","3601","63","3","38","","","","","",
"DAWSON ISD (175904)","Spring 2016","6","30","1556","67","10","33","30","1597","70","7","30","","","","","","","","","","","","","","","",
"DAWSON ISD (175904)","Spring 2016","7","41","1630","71","22","29","40","1577","50","3","50","46","3599","57","4","43","","","","","","","","","","",
"DAWSON ISD (175904)","Spring 2016","8","28","1680","89","21","11","28","1636","79","0","21","","","","","","27","3714","70","0","30","27","3383","30","4","70",
"DAWSON ISD (175904)","May 2016","5","9","1472","56","0","44","11","1489","45","0","55","","","","","","","","","","","","","","","",
"DAWSON ISD (175904)","May 2016","8","4","-","-","-","-","6","1592","67","0","33","","","","","","","","","","","","","","","",
"DAYTON ISD","Spring 2016","3","297","1420","68","21","32","379","1426","66","14","34","","","","","","","","","","","","","","","",
"DAYTON ISD","Spring 2016","4","348","1476","65","10","35","354","1506","62","9","38","376","3570","53","7","47","","","","","","","","","","",
"DAYTON ISD","Spring 2016","5","400","1500","58","15","42","402","1543","59","9","41","","","","","","383","3724","68","7","32","","","","","",
"DAYTON ISD","Spring 2016","6","355","1544","57","8","43","359","1599","68","9","32","","","","","","","","","","","","","","","",
"DAYTON ISD","Spring 2016","7","362","1586","58","9","42","356","1621","65","7","35","362","3649","57","4","43","","","","","","","","","","",
"DAYTON ISD","Spring 2016","8","377","1667","80","14","20","294","1659","78","1","22","","","","","","381","3789","67","11","33","380","3661","58","8","42",
"DAYTON ISD","May 2016","5","148","1397","22","0","78","149","1470","42","0","58","","","","","","","","","","","","","","","",
"DAYTON ISD","May 2016","8","83","1550","33","0","67","65","1610","66","0","34","","","","","","","","","","","","","","","",
"DE LEON ISD","Spring 2016","3","60","1453","83","18","17","59","1431","76","8","24","","","","","","","","","","","","","","","",
"DE LEON ISD","Spring 2016","4","57","1531","79","23","21","58","1551","79","14","21","49","4119","86","29","14","","","","","","","","","","",
"DE LEON ISD","Spring 2016","5","58","1565","81","14","19","58","1608","93","10","7","","","","","","58","3897","93","10","7","","","","","",
"DE LEON ISD","Spring 2016","6","53","1614","81","15","19","51","1622","76","8","24","","","","","","","","","","","","","","","",
"DE LEON ISD","Spring 2016","7","44","1667","84","25","16","45","1676","78","16","22","41","4015","88","10","12","","","","","","","","","","",
"DE LEON ISD","Spring 2016","8","50","1648","76","10","24","49","1671","80","0","20","","","","","","47","3614","60","0","40","46","3482","39","0","61",
"DE LEON ISD","May 2016","5","12","1445","42","0","58","5","1501","60","0","40","","","","","","","","","","","","","","","",
"DE LEON ISD","May 2016","8","13","1591","46","0","54","9","1595","67","0","33","","","","","","","","","","","","","","","",
"DECATUR ISD","Spring 2016","3","206","1434","81","21","19","209","1450","79","12","21","","","","","","","","","","","","","","","",
"DECATUR ISD","Spring 2016","4","133","1556","87","29","13","133","1573","77","26","23","139","3952","79","19","21","","","","","","","","","","",
"DECATUR ISD","Spring 2016","5","178","1573","79","26","21","184","1628","82","23","18","","","","","","175","3980","85","17","15","","","","","",
"DECATUR ISD","Spring 2016","6","215","1619","78","24","22","210","1656","77","22","23","","","","","","","","","","","","","","","",
"DECATUR ISD","Spring 2016","7","199","1657","77","23","23","119","1649","78","8","22","200","3987","81","18","20","","","","","","","","","","",
"DECATUR ISD","Spring 2016","8","211","1697","93","19","7","242","1731","89","17","11","","","","","","214","4016","87","21","13","213","3881","79","20","21",
"DECATUR ISD","May 2016","5","34","1452","50","0","50","29","1499","55","0","45","","","","","","","","","","","","","","","",
"DECATUR ISD","May 2016","8","18","1569","50","0","50","29","1616","72","0","28","","","","","","","","","","","","","","","",
"DEER PARK ISD","Spring 2016","3","841","1452","80","25","20","840","1492","83","25","17","","","","","","","","","","","","","","","",
"DEER PARK ISD","Spring 2016","4","893","1525","80","21","20","903","1582","83","26","17","885","3859","70","15","30","","","","","","","","","","",
"DEER PARK ISD","Spring 2016","5","930","1564","78","23","22","694","1580","81","7","19","","","","","","932","3938","85","14","15","","","","","",
"DEER PARK ISD","Spring 2016","6","904","1600","75","21","25","889","1636","81","11","19","","","","","","","","","","","","","","","",
"DEER PARK ISD","Spring 2016","7","956","1664","79","25","21","860","1668","80","13","20","971","3967","78","16","22","","","","","","","","","","",
"DEER PARK ISD","Spring 2016","8","952","1709","90","24","10","963","1742","89","21","11","","","","","","939","4178","89","32","11","939","3755","66","16","34",
"DEER PARK ISD","May 2016","5","214","1433","40","1","60","132","1489","49","0","51","","","","","","","","","","","","","","","",
"DEER PARK ISD","May 2016","8","93","1564","43","0","57","113","1608","61","1","39","","","","","","","","","","","","","","","",
"DEKALB ISD","Spring 2016","3","58","1402","55","17","45","58","1423","69","12","31","","","","","","","","","","","","","","","",
"DEKALB ISD","Spring 2016","4","53","1467","62","11","38","53","1551","72","19","28","54","3524","46","6","54","","","","","","","","","","",
"DEKALB ISD","Spring 2016","5","55","1530","67","16","33","56","1588","68","18","32","","","","","","55","3608","56","4","44","","","","","",
"DEKALB ISD","Spring 2016","6","51","1552","53","22","47","51","1624","69","18","31","","","","","","","","","","","","","","","",
"DEKALB ISD","Spring 2016","7","53","1620","68","11","32","53","1668","79","15","21","56","3709","68","4","32","","","","","","","","","","",
