"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"TEXAS COLLEGE PREPARATORY ACADEM","Spring 2016","3","1192","1422","71","19","29","1165","1411","62","11","38","","","","","","","","","","","","","","","",
"TEXAS COLLEGE PREPARATORY ACADEM","Spring 2016","4","1251","1495","72","14","28","1258","1484","54","9","46","1257","3680","60","9","40","","","","","","","","","","",
"TEXAS COLLEGE PREPARATORY ACADEM","Spring 2016","5","1201","1545","74","21","26","1205","1538","61","9","39","","","","","","1180","3615","59","4","41","","","","","",
"TEXAS COLLEGE PREPARATORY ACADEM","Spring 2016","6","1308","1578","69","17","31","1312","1580","63","8","37","","","","","","","","","","","","","","","",
"TEXAS COLLEGE PREPARATORY ACADEM","Spring 2016","7","1386","1637","73","22","27","1372","1624","63","11","37","1396","3769","66","10","34","","","","","","","","","","",
"TEXAS COLLEGE PREPARATORY ACADEM","Spring 2016","8","1324","1673","80","19","20","1193","1593","47","3","53","","","","","","1305","3606","58","8","42","1270","3547","47","8","53",
"TEXAS COLLEGE PREPARATORY ACADEM","May 2016","5","310","1401","30","1","70","455","1445","31","0","69","","","","","","","","","","","","","","","",
"TEXAS COLLEGE PREPARATORY ACADEM","May 2016","8","277","1546","44","3","56","622","1530","23","0","77","","","","","","","","","","","","","","","",
"TEXAS EMPOWERMENT ACADEMY (227805)","Spring 2016","3","32","1408","59","19","41","33","1407","64","3","36","","","","","","","","","","","","","","","",
"TEXAS EMPOWERMENT ACADEMY (227805)","Spring 2016","4","33","1532","79","21","21","33","1518","76","6","24","33","3944","76","18","24","","","","","","","","","","",
