"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"CLARKSVILLE ISD","Spring 2016","3","37","1433","81","19","19","37","1437","76","11","24","","","","","","","","","","","","","","","",
"CLARKSVILLE ISD","Spring 2016","4","32","1442","56","6","44","33","1457","39","3","61","33","3709","73","6","27","","","","","","","","","","",
"CLARKSVILLE ISD","Spring 2016","5","26","1510","65","8","35","26","1553","85","4","15","","","","","","26","3856","85","4","15","","","","","",
"CLARKSVILLE ISD","Spring 2016","6","29","1499","45","0","55","26","1575","58","8","42","","","","","","","","","","","","","","","",
"CLARKSVILLE ISD","Spring 2016","7","29","1559","45","3","55","30","1536","33","0","67","30","3586","60","0","40","","","","","","","","","","",
"CLARKSVILLE ISD","Spring 2016","8","37","1635","76","8","24","36","1619","56","0","44","","","","","","36","3380","31","0","69","36","3266","22","0","78",
"CLARKSVILLE ISD","May 2016","5","9","1454","33","0","67","4","-","-","-","-","","","","","","","","","","","","","","","",
"CLARKSVILLE ISD","May 2016","8","9","1550","22","0","78","16","1585","50","0","50","","","","","","","","","","","","","","","",
"CLAUDE ISD","Spring 2016","3","24","1469","79","38","21","24","1479","88","17","13","","","","","","","","","","","","","","","",
"CLAUDE ISD","Spring 2016","4","28","1529","75","25","25","28","1607","79","25","21","28","4039","71","32","29","","","","","","","","","","",
"CLAUDE ISD","Spring 2016","5","28","1599","82","25","18","28","1635","82","25","18","","","","","","28","3925","79","18","21","","","","","",
"CLAUDE ISD","Spring 2016","6","20","1607","85","10","15","20","1655","80","20","20","","","","","","","","","","","","","","","",
"CLAUDE ISD","Spring 2016","7","24","1638","79","17","21","24","1600","63","0","38","25","3871","76","4","24","","","","","","","","","","",
"CLAUDE ISD","Spring 2016","8","22","1723","91","23","9","22","1687","86","9","14","","","","","","22","3776","73","5","27","22","3850","77","14","23",
"CLAUDE ISD","May 2016","5","5","1496","80","0","20","5","1467","40","0","60","","","","","","","","","","","","","","","",
"CLAUDE ISD","May 2016","8","2","-","-","-","-","3","-","-","-","-","","","","","","","","","","","","","","","",
"CLEAR CREEK ISD","Spring 2016","3","2747","1489","85","36","15","2723","1495","85","23","15","","","","","","","","","","","","","","","",
"CLEAR CREEK ISD","Spring 2016","4","2800","1557","86","30","14","2853","1602","83","33","17","2782","3980","78","20","22","","","","","","","","","","",
"CLEAR CREEK ISD","Spring 2016","5","2835","1615","87","37","13","2825","1655","87","30","13","","","","","","2825","3965","84","16","16","","","","","",
"CLEAR CREEK ISD","Spring 2016","6","3063","1633","82","29","18","3020","1665","82","23","18","","","","","","","","","","","","","","","",
"CLEAR CREEK ISD","Spring 2016","7","3106","1679","82","31","18","3034","1713","81","30","19","3112","4003","79","18","21","","","","","","","","","","",
"CLEAR CREEK ISD","Spring 2016","8","3037","1724","89","31","11","2183","1695","81","10","19","","","","","","2706","4026","83","23","17","3003","3865","72","22","28",
