"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"SUNDOWN ISD","Spring 2016","3","45","1432","82","16","18","45","1492","93","11","7","","","","","","","","","","","","","","","",
"SUNDOWN ISD","Spring 2016","4","41","1524","83","12","17","41","1609","98","32","2","41","3985","85","17","15","","","","","","","","","","",
"SUNDOWN ISD","Spring 2016","5","51","1611","90","35","10","51","1720","98","51","2","","","","","","51","3879","76","10","24","","","","","",
"SUNDOWN ISD","Spring 2016","6","54","1607","76","24","24","54","1708","93","26","7","","","","","","","","","","","","","","","",
"SUNDOWN ISD","Spring 2016","7","41","1650","88","12","12","41","1681","76","24","24","40","4210","95","15","5","","","","","","","","","","",
"SUNDOWN ISD","Spring 2016","8","55","1715","89","31","11","55","1778","96","27","4","","","","","","55","4028","87","22","13","55","3819","69","16","31",
"SUNDOWN ISD","May 2016","5","5","1438","60","0","40","1","-","-","-","-","","","","","","","","","","","","","","","",
"SUNDOWN ISD","May 2016","8","6","1610","67","0","33","2","-","-","-","-","","","","","","","","","","","","","","","",
"SUNNYVALE ISD","Spring 2016","3","114","1470","80","27","20","113","1473","82","26","18","","","","","","","","","","","","","","","",
"SUNNYVALE ISD","Spring 2016","4","139","1588","93","37","7","138","1693","97","57","3","137","4062","91","17","9","","","","","","","","","","",
"SUNNYVALE ISD","Spring 2016","5","112","1629","91","46","9","111","1657","93","25","7","","","","","","112","4018","88","21","12","","","","","",
"SUNNYVALE ISD","Spring 2016","6","127","1680","91","39","9","124","1673","90","23","10","","","","","","","","","","","","","","","",
"SUNNYVALE ISD","Spring 2016","7","127","1718","94","39","6","73","1683","90","11","10","127","4339","92","35","8","","","","","","","","","","",
"SUNNYVALE ISD","Spring 2016","8","122","1755","96","41","4","127","1738","94","18","6","","","","","","120","4171","92","30","8","119","4308","91","54","9",
"SUNNYVALE ISD","May 2016","5","11","1497","64","9","36","9","1525","67","0","33","","","","","","","","","","","","","","","",
"SUNNYVALE ISD","May 2016","8","5","1631","80","0","20","7","1625","86","0","14","","","","","","","","","","","","","","","",
"SUNRAY ISD","Spring 2016","3","51","1406","61","22","39","51","1434","69","18","31","","","","","","","","","","","","","","","",
"SUNRAY ISD","Spring 2016","4","25","1481","68","4","32","27","1591","85","22","15","25","3763","68","8","32","","","","","","","","","","",
"SUNRAY ISD","Spring 2016","5","36","1570","72","31","28","36","1571","75","3","25","","","","","","37","3690","68","5","32","","","","","",
"SUNRAY ISD","Spring 2016","6","26","1546","54","12","46","26","1566","46","4","54","","","","","","","","","","","","","","","",
"SUNRAY ISD","Spring 2016","7","43","1636","77","5","23","43","1635","77","5","23","43","3863","86","2","14","","","","","","","","","","",
"SUNRAY ISD","Spring 2016","8","34","1709","100","18","0","23","1622","65","0","35","","","","","","35","3713","63","6","37","35","3906","86","20","14",
"SUNRAY ISD","May 2016","5","11","1432","36","0","64","10","1511","70","0","30","","","","","","","","","","","","","","","",
"SUNRAY ISD","May 2016","8","","","","","","8","1566","13","0","88","","","","","","","","","","","","","","","",
"SWEENY ISD","Spring 2016","3","132","1430","77","20","23","134","1461","80","18","20","","","","","","","","","","","","","","","",
"SWEENY ISD","Spring 2016","4","130","1504","72","15","28","130","1518","67","9","33","133","3708","63","7","37","","","","","","","","","","",
"SWEENY ISD","Spring 2016","5","109","1607","88","36","12","111","1631","95","22","5","","","","","","112","3861","81","8","19","","","","","",
"SWEENY ISD","Spring 2016","6","129","1598","78","18","22","111","1620","82","8","18","","","","","","","","","","","","","","","",
"SWEENY ISD","Spring 2016","7","132","1662","79","26","21","127","1636","70","7","30","132","3942","80","11","20","","","","","","","","","","",
"SWEENY ISD","Spring 2016","8","136","1695","95","17","5","133","1755","97","20","3","","","","","","137","3901","72","17","28","136","3703","65","8","35",
"SWEENY ISD","May 2016","5","16","1496","69","0","31","7","1497","57","0","43","","","","","","","","","","","","","","","",
"SWEENY ISD","May 2016","8","8","1606","50","0","50","4","-","-","-","-","","","","","","","","","","","","","","","",
"SWEET HOME ISD","Spring 2016","3","18","1461","94","17","6","18","1488","100","6","0","","","","","","","","","","","","","","","",
"SWEET HOME ISD","Spring 2016","4","14","1537","93","29","7","14","1569","86","21","14","15","3830","80","7","20","","","","","","","","","","",
"SWEET HOME ISD","Spring 2016","5","15","1653","93","47","7","15","1666","93","27","7","","","","","","15","3966","87","20","13","","","","","",
"SWEET HOME ISD","Spring 2016","6","17","1650","88","35","12","17","1613","76","12","24","","","","","","","","","","","","","","","",
"SWEET HOME ISD","Spring 2016","7","16","1706","94","31","6","16","1670","75","19","25","19","3875","84","11","16","","","","","","","","","","",
"SWEET HOME ISD","Spring 2016","8","11","1717","91","27","9","5","1610","80","0","20","","","","","","11","4341","100","36","0","11","4071","91","36","9",
"SWEET HOME ISD","May 2016","5","1","-","-","-","-","1","-","-","-","-","","","","","","","","","","","","","","","",
"SWEET HOME ISD","May 2016","8","1","-","-","-","-","","","","","","","","","","","","","","","","","","","","",
