"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"MORAN ISD","Spring 2016","3","11","1348","45","9","55","11","1357","55","0","45","","","","","","","","","","","","","","","",
"MORAN ISD","Spring 2016","4","10","1492","60","10","40","10","1425","40","0","60","10","3807","70","30","30","","","","","","","","","","",
"MORAN ISD","Spring 2016","5","8","1539","88","13","13","8","1537","50","0","50","","","","","","7","3649","57","0","43","","","","","",
"MORAN ISD","Spring 2016","6","8","1585","75","13","25","8","1693","100","38","0","","","","","","","","","","","","","","","",
"MORAN ISD","Spring 2016","7","8","1594","88","0","13","8","1635","63","13","38","8","3932","100","0","0","","","","","","","","","","",
"MORAN ISD","Spring 2016","8","6","1666","83","0","17","6","1700","100","0","0","","","","","","6","3701","83","0","17","6","3579","83","0","17",
"MORAN ISD","May 2016","5","1","-","-","-","-","3","-","-","-","-","","","","","","","","","","","","","","","",
"MORAN ISD","May 2016","8","1","-","-","-","-","","","","","","","","","","","","","","","","","","","","",
"MORGAN ISD","Spring 2016","3","4","-","-","-","-","4","-","-","-","-","","","","","","","","","","","","","","","",
"MORGAN ISD","Spring 2016","4","13","1471","69","8","31","13","1422","23","0","77","13","3578","54","15","46","","","","","","","","","","",
"MORGAN ISD","Spring 2016","5","10","1459","50","10","50","10","1487","40","0","60","","","","","","11","3451","55","0","45","","","","","",
"MORGAN ISD","Spring 2016","6","11","1536","55","9","45","11","1566","55","0","45","","","","","","","","","","","","","","","",
"MORGAN ISD","Spring 2016","7","14","1577","43","14","57","14","1597","50","0","50","13","3593","46","0","54","","","","","","","","","","",
"MORGAN ISD","Spring 2016","8","1","-","-","-","-","1","-","-","-","-","","","","","","1","-","-","-","-","1","-","-","-","-",
"MORGAN ISD","May 2016","5","5","1457","60","0","40","6","1457","17","0","83","","","","","","","","","","","","","","","",
"MORGAN MILL ISD","Spring 2016","3","25","1444","80","24","20","25","1425","60","16","40","","","","","","","","","","","","","","","",
"MORGAN MILL ISD","Spring 2016","4","18","1467","67","17","33","18","1495","67","11","33","18","3465","44","0","56","","","","","","","","","","",
"MORGAN MILL ISD","Spring 2016","5","8","1557","88","25","13","8","1630","100","13","0","","","","","","8","3828","88","0","13","","","","","",
"MORGAN MILL ISD","Spring 2016","6","13","1650","77","31","23","13","1657","85","15","15","","","","","","","","","","","","","","","",
"MORGAN MILL ISD","Spring 2016","7","15","1641","73","13","27","15","1660","87","13","13","15","3889","73","7","27","","","","","","","","","","",
"MORGAN MILL ISD","Spring 2016","8","10","1673","80","30","20","10","1582","50","0","50","","","","","","10","3790","80","0","20","10","3750","80","10","20",
"MORGAN MILL ISD","May 2016","5","1","-","-","-","-","","","","","","","","","","","","","","","","","","","","",
"MORGAN MILL ISD","May 2016","8","2","-","-","-","-","5","1541","20","0","80","","","","","","","","","","","","","","","",
"MORTON ISD","Spring 2016","3","33","1437","82","21","18","33","1398","67","6","33","","","","","","","","","","","","","","","",
"MORTON ISD","Spring 2016","4","26","1456","65","4","35","26","1535","81","23","19","25","3661","68","4","32","","","","","","","","","","",
"MORTON ISD","Spring 2016","5","27","1503","56","7","44","26","1591","81","12","19","","","","","","27","3681","67","7","33","","","","","",
"MORTON ISD","Spring 2016","6","32","1523","56","3","44","32","1514","34","0","66","","","","","","","","","","","","","","","",
"MORTON ISD","Spring 2016","7","21","1577","52","14","48","21","1546","38","5","62","21","3646","52","5","48","","","","","","","","","","",
"MORTON ISD","Spring 2016","8","24","1664","75","25","25","24","1600","50","4","50","","","","","","23","3711","74","13","26","23","3484","43","4","57",
"MORTON ISD","May 2016","5","12","1415","25","0","75","6","1492","33","0","67","","","","","","","","","","","","","","","",
"MORTON ISD","May 2016","8","5","1555","40","0","60","11","1552","18","0","82","","","","","","","","","","","","","","","",
"MOTLEY COUNTY ISD","Spring 2016","3","16","1382","69","0","31","17","1388","65","6","35","","","","","","","","","","","","","","","",
"MOTLEY COUNTY ISD","Spring 2016","4","13","1547","77","31","23","13","1575","69","31","31","13","3879","69","23","31","","","","","","","","","","",
