"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"NORTH LAMAR ISD","Spring 2016","3","198","1446","83","22","17","202","1467","85","14","15","","","","","","","","","","","","","","","",
"NORTH LAMAR ISD","Spring 2016","4","176","1525","81","19","19","176","1573","88","20","13","176","3691","59","9","41","","","","","","","","","","",
"NORTH LAMAR ISD","Spring 2016","5","206","1560","79","23","21","205","1623","90","17","10","","","","","","207","3704","67","5","33","","","","","",
"NORTH LAMAR ISD","Spring 2016","6","183","1591","79","13","21","181","1605","72","7","28","","","","","","","","","","","","","","","",
"NORTH LAMAR ISD","Spring 2016","7","209","1656","78","24","22","208","1649","80","9","20","194","3911","77","11","23","","","","","","","","","","",
"NORTH LAMAR ISD","Spring 2016","8","185","1702","92","20","8","166","1658","75","5","25","","","","","","206","3819","72","15","28","206","3670","61","8","39",
"NORTH LAMAR ISD","May 2016","5","44","1439","36","0","64","20","1532","75","0","25","","","","","","","","","","","","","","","",
"NORTH LAMAR ISD","May 2016","8","34","1527","35","0","65","62","1597","55","0","45","","","","","","","","","","","","","","","",
"NORTH TEXAS COLLEGIATE ACADEMY","Spring 2016","3","52","1398","71","12","29","52","1401","58","10","42","","","","","","","","","","","","","","","",
"NORTH TEXAS COLLEGIATE ACADEMY","Spring 2016","4","33","1487","64","12","36","33","1521","70","12","30","32","3878","78","13","22","","","","","","","","","","",
"NORTH TEXAS COLLEGIATE ACADEMY","Spring 2016","5","37","1498","65","11","35","36","1491","42","6","58","","","","","","38","3406","39","3","61","","","","","",
"NORTH TEXAS COLLEGIATE ACADEMY","Spring 2016","6","41","1574","68","10","32","41","1582","51","12","49","","","","","","","","","","","","","","","",
"NORTH TEXAS COLLEGIATE ACADEMY","Spring 2016","7","40","1633","85","10","15","39","1624","69","10","31","40","3682","58","8","43","","","","","","","","","","",
"NORTH TEXAS COLLEGIATE ACADEMY","Spring 2016","8","43","1659","81","5","19","43","1617","58","2","42","","","","","","43","3682","63","5","37","43","3779","79","7","21",
"NORTH TEXAS COLLEGIATE ACADEMY","May 2016","5","15","1381","20","0","80","23","1440","26","0","74","","","","","","","","","","","","","","","",
"NORTH TEXAS COLLEGIATE ACADEMY","May 2016","8","8","1604","50","0","50","18","1552","17","0","83","","","","","","","","","","","","","","","",
"NORTH ZULCH ISD","Spring 2016","3","16","1433","69","19","31","17","1362","41","6","59","","","","","","","","","","","","","","","",
"NORTH ZULCH ISD","Spring 2016","4","26","1459","69","4","31","26","1462","42","8","58","26","3467","42","4","58","","","","","","","","","","",
"NORTH ZULCH ISD","Spring 2016","5","18","1545","67","17","33","18","1536","78","11","22","","","","","","19","3648","79","0","21","","","","","",
"NORTH ZULCH ISD","Spring 2016","6","20","1585","80","10","20","21","1550","57","0","43","","","","","","","","","","","","","","","",
"NORTH ZULCH ISD","Spring 2016","7","29","1604","59","17","41","29","1568","45","3","55","29","3621","62","7","38","","","","","","","","","","",
"NORTH ZULCH ISD","Spring 2016","8","27","1634","63","15","37","25","1576","36","0","64","","","","","","30","3501","43","0","57","30","3408","33","0","67",
"NORTH ZULCH ISD","May 2016","5","6","1404","17","0","83","4","-","-","-","-","","","","","","","","","","","","","","","",
"NORTH ZULCH ISD","May 2016","8","11","1554","45","0","55","17","1564","35","0","65","","","","","","","","","","","","","","","",
"NORTHSIDE ISD (015915)","Spring 2016","3","7645","1448","77","25","23","7625","1474","78","21","22","","","","","","","","","","","","","","","",
