"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"LA FE PREPARATORY SCHOOL (071807)","Spring 2016","3","8","1412","63","0","38","8","1359","50","0","50","","","","","","","","","","","","","","","",
"LA FE PREPARATORY SCHOOL (071807)","Spring 2016","4","15","1503","73","13","27","15","1511","60","7","40","15","3609","60","7","40","","","","","","","","","","",
"LA FE PREPARATORY SCHOOL (071807)","Spring 2016","5","14","1556","86","29","14","14","1687","100","36","0","","","","","","13","4072","100","23","0","","","","","",
"LA FE PREPARATORY SCHOOL (071807)","Spring 2016","6","19","1538","58","5","42","15","1586","73","13","27","","","","","","","","","","","","","","","",
"LA FE PREPARATORY SCHOOL (071807)","Spring 2016","7","18","1624","67","11","33","17","1676","76","29","24","18","3739","67","6","33","","","","","","","","","","",
"LA FE PREPARATORY SCHOOL (071807)","Spring 2016","8","21","1684","81","19","19","20","1705","90","10","10","","","","","","20","3815","80","5","20","20","3623","55","5","45",
"LA FE PREPARATORY SCHOOL (071807)","May 2016","5","2","-","-","-","-","","","","","","","","","","","","","","","","","","","","",
"LA FE PREPARATORY SCHOOL (071807)","May 2016","8","4","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"LA FERIA ISD","Spring 2016","3","253","1405","66","16","34","255","1448","75","14","25","","","","","","","","","","","","","","","",
"LA FERIA ISD","Spring 2016","4","246","1508","76","15","24","249","1561","80","19","20","247","3824","71","13","29","","","","","","","","","","",
"LA FERIA ISD","Spring 2016","5","255","1517","67","14","33","255","1547","64","7","36","","","","","","255","3806","76","9","24","","","","","",
"LA FERIA ISD","Spring 2016","6","265","1548","60","11","40","265","1633","76","15","24","","","","","","","","","","","","","","","",
"LA FERIA ISD","Spring 2016","7","264","1612","63","13","38","264","1641","68","12","32","264","3787","65","8","35","","","","","","","","","","",
"LA FERIA ISD","Spring 2016","8","265","1655","75","13","25","198","1607","56","1","44","","","","","","266","3728","65","8","35","264","3577","55","7","45",
"LA FERIA ISD","May 2016","5","86","1417","33","0","67","94","1477","44","0","56","","","","","","","","","","","","","","","",
"LA FERIA ISD","May 2016","8","68","1560","44","0","56","89","1575","38","0","62","","","","","","","","","","","","","","","",
"LA GLORIA ISD","Spring 2016","3","22","1451","73","32","27","22","1455","73","5","27","","","","","","","","","","","","","","","",
"LA GLORIA ISD","Spring 2016","4","14","1525","86","21","14","14","1603","100","14","0","14","4107","100","21","0","","","","","","","","","","",
"LA GLORIA ISD","Spring 2016","5","11","1558","73","18","27","11","1663","91","18","9","","","","","","10","3789","70","10","30","","","","","",
"LA GLORIA ISD","Spring 2016","6","13","1662","92","31","8","13","1768","92","46","8","","","","","","","","","","","","","","","",
"LA GLORIA ISD","May 2016","5","3","-","-","-","-","1","-","-","-","-","","","","","","","","","","","","","","","",
"LA GRANGE ISD","Spring 2016","3","144","1438","76","22","24","146","1484","85","23","15","","","","","","","","","","","","","","","",
"LA GRANGE ISD","Spring 2016","4","122","1505","71","20","29","122","1572","76","20","24","122","3883","70","13","30","","","","","","","","","","",
"LA GRANGE ISD","Spring 2016","5","130","1533","71","20","29","128","1589","73","19","27","","","","","","128","3533","48","3","52","","","","","",
"LA GRANGE ISD","Spring 2016","6","134","1574","63","21","37","134","1615","66","15","34","","","","","","","","","","","","","","","",
"LA GRANGE ISD","Spring 2016","7","154","1659","81","22","19","108","1617","69","5","31","158","3923","76","11","24","","","","","","","","","","",
"LA GRANGE ISD","Spring 2016","8","150","1689","86","18","14","142","1649","71","4","29","","","","","","146","3854","73","16","27","143","3773","65","13","35",
"LA GRANGE ISD","May 2016","5","39","1390","23","0","77","35","1474","43","0","57","","","","","","","","","","","","","","","",
