"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"CANUTILLO ISD","Spring 2016","3","285","1449","81","25","19","287","1490","87","22","13","","","","","","","","","","","","","","","",
"CANUTILLO ISD","Spring 2016","4","334","1530","81","22","19","340","1567","79","22","21","336","3889","73","16","27","","","","","","","","","","",
"CANUTILLO ISD","Spring 2016","5","324","1581","82","27","18","337","1626","85","24","15","","","","","","364","3882","82","11","18","","","","","",
"CANUTILLO ISD","Spring 2016","6","386","1569","67","13","33","378","1622","73","14","27","","","","","","","","","","","","","","","",
"CANUTILLO ISD","Spring 2016","7","370","1608","65","11","35","358","1650","69","15","31","367","3738","67","8","33","","","","","","","","","","",
"CANUTILLO ISD","Spring 2016","8","418","1676","81","15","19","288","1638","69","2","31","","","","","","414","4084","85","26","15","414","3859","72","20","28",
"CANUTILLO ISD","May 2016","5","56","1419","34","0","66","51","1479","45","0","55","","","","","","","","","","","","","","","",
"CANUTILLO ISD","May 2016","8","80","1558","36","0","64","91","1581","43","0","57","","","","","","","","","","","","","","","",
"CANYON ISD","Spring 2016","3","739","1465","84","29","16","743","1518","89","28","11","","","","","","","","","","","","","","","",
"CANYON ISD","Spring 2016","4","667","1543","85","24","15","679","1616","88","35","12","683","3971","78","19","22","","","","","","","","","","",
"CANYON ISD","Spring 2016","5","665","1593","86","31","14","674","1655","91","30","9","","","","","","687","4017","89","16","11","","","","","",
"CANYON ISD","Spring 2016","6","714","1624","83","23","17","725","1704","91","31","9","","","","","","","","","","","","","","","",
"CANYON ISD","Spring 2016","7","726","1655","77","22","23","723","1705","87","23","13","728","3898","73","12","27","","","","","","","","","","",
"CANYON ISD","Spring 2016","8","683","1707","89","23","11","524","1676","80","4","20","","","","","","682","3935","79","20","21","682","3781","68","18","32",
"CANYON ISD","May 2016","5","109","1436","40","0","60","70","1495","53","0","47","","","","","","","","","","","","","","","",
"CANYON ISD","May 2016","8","77","1574","49","0","51","109","1598","52","0","48","","","","","","","","","","","","","","","",
"CARLISLE ISD","Spring 2016","3","46","1426","74","15","26","47","1419","62","11","38","","","","","","","","","","","","","","","",
"CARLISLE ISD","Spring 2016","4","41","1531","80","29","20","42","1582","83","29","17","42","3902","69","21","31","","","","","","","","","","",
"CARLISLE ISD","Spring 2016","5","42","1529","67","14","33","42","1546","62","2","38","","","","","","42","3581","50","0","50","","","","","",
"CARLISLE ISD","Spring 2016","6","39","1545","59","8","41","37","1601","78","3","22","","","","","","","","","","","","","","","",
"CARLISLE ISD","Spring 2016","7","35","1666","77","29","23","34","1654","79","9","21","40","3634","48","0","53","","","","","","","","","","",
"CARLISLE ISD","Spring 2016","8","36","1662","89","11","11","33","1628","67","0","33","","","","","","36","3822","78","6","22","36","3702","72","0","28",
"CARLISLE ISD","May 2016","5","14","1436","21","0","79","16","1497","50","0","50","","","","","","","","","","","","","","","",
"CARLISLE ISD","May 2016","8","4","-","-","-","-","11","1631","82","0","18","","","","","","","","","","","","","","","",
"CARPE DIEM SCHOOLS (015837)","Spring 2016","6","51","1558","57","16","43","51","1547","45","6","55","","","","","","","","","","","","","","","",
"CARPE DIEM SCHOOLS (015837)","Spring 2016","7","50","1570","46","10","54","51","1527","24","0","76","51","3464","33","2","67","","","","","","","","","","",
"CARPE DIEM SCHOOLS (015837)","Spring 2016","8","35","1605","54","6","46","35","1525","11","0","89","","","","","","37","3283","27","3","73","37","3322","22","0","78",
"CARPE DIEM SCHOOLS (015837)","May 2016","8","17","1586","53","0","47","31","1538","23","0","77","","","","","","","","","","","","","","","",
"CARRIZO SPRINGS CISD","Spring 2016","3","163","1372","60","8","40","165","1385","54","8","46","","","","","","","","","","","","","","","",
"CARRIZO SPRINGS CISD","Spring 2016","4","171","1438","53","7","47","169","1453","38","6","62","172","3455","43","2","57","","","","","","","","","","",
"CARRIZO SPRINGS CISD","Spring 2016","5","177","1479","51","11","49","176","1503","48","3","52","","","","","","176","3534","45","4","55","","","","","",
"CARRIZO SPRINGS CISD","Spring 2016","6","168","1507","43","7","57","168","1552","46","7","54","","","","","","","","","","","","","","","",
"CARRIZO SPRINGS CISD","Spring 2016","7","155","1605","65","12","35","154","1658","69","21","31","155","3661","63","5","37","","","","","","","","","","",
"CARRIZO SPRINGS CISD","Spring 2016","8","143","1638","73","9","27","102","1605","54","3","46","","","","","","137","3538","45","2","55","139","3629","55","11","45",
"CARRIZO SPRINGS CISD","May 2016","5","88","1390","27","0","73","95","1441","22","0","78","","","","","","","","","","","","","","","",
