"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"INSPIRED VISION ACADEMY","Spring 2016","3","69","1456","84","20","16","69","1510","90","33","10","","","","","","","","","","","","","","","",
"INSPIRED VISION ACADEMY","Spring 2016","4","67","1555","85","25","15","67","1609","93","25","7","68","4068","84","31","16","","","","","","","","","","",
"INSPIRED VISION ACADEMY","Spring 2016","5","67","1527","75","12","25","67","1632","87","16","13","","","","","","67","3799","78","4","22","","","","","",
"INSPIRED VISION ACADEMY","Spring 2016","6","66","1558","64","5","36","66","1593","67","2","33","","","","","","","","","","","","","","","",
"INSPIRED VISION ACADEMY","Spring 2016","7","64","1618","69","11","31","64","1609","64","2","36","65","3816","75","5","25","","","","","","","","","","",
"INSPIRED VISION ACADEMY","Spring 2016","8","97","1677","85","15","15","77","1678","78","5","22","","","","","","95","3858","80","7","20","95","3781","78","11","22",
"INSPIRED VISION ACADEMY","May 2016","5","17","1436","29","6","71","9","1509","67","0","33","","","","","","","","","","","","","","","",
"INSPIRED VISION ACADEMY","May 2016","8","14","1570","36","0","64","17","1583","35","0","65","","","","","","","","","","","","","","","",
"INTERNATIONAL LEADERSHIP OF TEXA","Spring 2016","3","424","1442","75","25","25","427","1458","75","19","25","","","","","","","","","","","","","","","",
"INTERNATIONAL LEADERSHIP OF TEXA","Spring 2016","4","429","1514","76","20","24","431","1543","68","22","32","432","3797","65","14","35","","","","","","","","","","",
"INTERNATIONAL LEADERSHIP OF TEXA","Spring 2016","5","435","1576","77","28","23","433","1612","77","22","23","","","","","","436","3854","73","15","27","","","","","",
"INTERNATIONAL LEADERSHIP OF TEXA","Spring 2016","6","431","1617","79","21","21","428","1672","84","23","16","","","","","","","","","","","","","","","",
"INTERNATIONAL LEADERSHIP OF TEXA","Spring 2016","7","431","1683","87","29","13","427","1713","86","27","14","430","4030","82","18","18","","","","","","","","","","",
"INTERNATIONAL LEADERSHIP OF TEXA","Spring 2016","8","331","1690","89","15","11","328","1660","72","5","28","","","","","","410","3988","77","22","23","410","3778","66","18","34",
"INTERNATIONAL LEADERSHIP OF TEXA","May 2016","5","102","1421","27","1","73","102","1450","26","0","74","","","","","","","","","","","","","","","",
"INTERNATIONAL LEADERSHIP OF TEXA","May 2016","8","36","1581","53","0","47","92","1589","47","0","53","","","","","","","","","","","","","","","",
"IOLA ISD","Spring 2016","3","31","1506","90","39","10","31","1492","87","23","13","","","","","","","","","","","","","","","",
"IOLA ISD","Spring 2016","4","23","1592","100","30","0","23","1618","96","26","4","23","4272","87","35","13","","","","","","","","","","",
"IOLA ISD","Spring 2016","5","29","1572","86","28","14","29","1595","79","10","21","","","","","","29","3709","72","3","28","","","","","",
"IOLA ISD","Spring 2016","6","29","1656","97","28","3","29","1785","97","52","3","","","","","","","","","","","","","","","",
"IOLA ISD","Spring 2016","7","31","1670","90","19","10","31","1696","90","26","10","31","4074","90","13","10","","","","","","","","","","",
"IOLA ISD","Spring 2016","8","31","1733","94","39","6","31","1717","94","3","6","","","","","","30","4114","97","23","3","31","3864","81","10","19",
"IOLA ISD","May 2016","5","4","-","-","-","-","6","1463","33","0","67","","","","","","","","","","","","","","","",
"IOLA ISD","May 2016","8","2","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"IOWA PARK CISD","Spring 2016","3","111","1499","91","34","9","112","1479","84","15","16","","","","","","","","","","","","","","","",
"IOWA PARK CISD","Spring 2016","4","116","1539","84","21","16","117","1551","74","15","26","121","3973","79","19","21","","","","","","","","","","",
"IOWA PARK CISD","Spring 2016","5","122","1589","89","25","11","123","1631","94","13","6","","","","","","124","3928","84","13","16","","","","","",
"IOWA PARK CISD","Spring 2016","6","133","1619","86","20","14","133","1633","75","12","25","","","","","","","","","","","","","","","",
"IOWA PARK CISD","Spring 2016","7","111","1653","76","23","24","111","1654","75","8","25","113","3912","81","12","19","","","","","","","","","","",
"IOWA PARK CISD","Spring 2016","8","124","1708","86","24","14","123","1696","80","11","20","","","","","","123","3930","79","22","21","123","3860","72","24","28",
"IOWA PARK CISD","May 2016","5","14","1478","57","0","43","8","1539","75","0","25","","","","","","","","","","","","","","","",
"IOWA PARK CISD","May 2016","8","17","1553","35","0","65","24","1596","54","0","46","","","","","","","","","","","","","","","",
"IRA ISD","Spring 2016","3","20","1520","95","40","5","20","1490","90","10","10","","","","","","","","","","","","","","","",
"IRA ISD","Spring 2016","4","17","1600","88","41","12","17","1664","100","53","0","17","4152","94","18","6","","","","","","","","","","",
"IRA ISD","Spring 2016","5","18","1565","78","22","22","18","1608","78","17","22","","","","","","18","3842","83","11","17","","","","","",
"IRA ISD","Spring 2016","6","18","1657","94","22","6","18","1673","89","22","11","","","","","","","","","","","","","","","",
"IRA ISD","Spring 2016","7","19","1642","74","21","26","20","1620","55","5","45","20","3768","75","0","25","","","","","","","","","","",
"IRA ISD","Spring 2016","8","30","1686","83","20","17","31","1670","77","10","23","","","","","","31","3673","61","3","39","31","3358","29","0","71",
"IRA ISD","May 2016","5","4","-","-","-","-","4","-","-","-","-","","","","","","","","","","","","","","","",
"IRA ISD","May 2016","8","5","1586","60","0","40","7","1596","71","0","29","","","","","","","","","","","","","","","",
"IRAAN-SHEFFIELD ISD","Spring 2016","3","32","1474","75","22","25","32","1477","91","13","9","","","","","","","","","","","","","","","",
"IRAAN-SHEFFIELD ISD","Spring 2016","4","32","1533","88","22","13","32","1575","97","9","3","31","3996","77","16","23","","","","","","","","","","",
"IRAAN-SHEFFIELD ISD","Spring 2016","5","18","1588","94","28","6","18","1650","94","22","6","","","","","","18","4191","100","28","0","","","","","",
"IRAAN-SHEFFIELD ISD","Spring 2016","6","30","1562","70","3","30","30","1630","90","17","10","","","","","","","","","","","","","","","",
"IRAAN-SHEFFIELD ISD","Spring 2016","7","16","1637","63","31","38","17","1633","71","6","29","16","3861","63","19","38","","","","","","","","","","",
"IRAAN-SHEFFIELD ISD","Spring 2016","8","28","1671","79","18","21","28","1718","75","25","25","","","","","","28","3848","79","21","21","28","3689","54","11","46",
"IRAAN-SHEFFIELD ISD","May 2016","5","1","-","-","-","-","1","-","-","-","-","","","","","","","","","","","","","","","",
"IRAAN-SHEFFIELD ISD","May 2016","8","6","1560","33","0","67","7","1602","43","0","57","","","","","","","","","","","","","","","",
"IREDELL ISD","Spring 2016","3","10","1429","70","10","30","10","1499","70","40","30","","","","","","","","","","","","","","","",
"IREDELL ISD","Spring 2016","4","9","1533","89","11","11","9","1563","89","22","11","9","3608","67","0","33","","","","","","","","","","",
"IREDELL ISD","Spring 2016","5","14","1609","86","43","14","14","1626","93","14","7","","","","","","14","3629","57","7","43","","","","","",
"IREDELL ISD","Spring 2016","6","4","-","-","-","-","4","-","-","-","-","","","","","","","","","","","","","","","",
"IREDELL ISD","Spring 2016","7","13","1699","85","54","15","13","1688","92","23","8","13","4465","92","46","8","","","","","","","","","","",
"IREDELL ISD","Spring 2016","8","6","1712","100","17","0","6","1643","67","0","33","","","","","","6","3681","67","0","33","6","4165","100","17","0",
"IREDELL ISD","May 2016","5","2","-","-","-","-","1","-","-","-","-","","","","","","","","","","","","","","","",
"IREDELL ISD","May 2016","8","","","","","","2","-","-","-","-","","","","","","","","","","","","","","","",
"IRION COUNTY ISD","Spring 2016","3","16","1555","94","63","6","16","1536","100","19","0","","","","","","","","","","","","","","","",
"IRION COUNTY ISD","Spring 2016","4","13","1576","92","31","8","13","1595","92","23","8","13","4225","77","31","23","","","","","","","","","","",
"IRION COUNTY ISD","Spring 2016","5","28","1632","82","43","18","28","1649","86","29","14","","","","","","27","4126","96","30","4","","","","","",
"IRION COUNTY ISD","Spring 2016","6","27","1664","81","37","19","27","1678","89","15","11","","","","","","","","","","","","","","","",
"IRION COUNTY ISD","Spring 2016","7","30","1629","73","17","27","31","1651","81","13","19","29","3954","79","10","21","","","","","","","","","","",
"IRION COUNTY ISD","Spring 2016","8","30","1673","87","10","13","22","1647","73","0","27","","","","","","31","3658","61","3","39","31","3554","48","6","52",
"IRION COUNTY ISD","May 2016","5","4","-","-","-","-","3","-","-","-","-","","","","","","","","","","","","","","","",
"IRION COUNTY ISD","May 2016","8","5","1518","20","0","80","6","1593","67","0","33","","","","","","","","","","","","","","","",
"IRVING ISD","Spring 2016","3","2583","1398","64","15","36","2599","1441","72","14","28","","","","","","","","","","","","","","","",
"IRVING ISD","Spring 2016","4","2424","1484","69","13","31","2452","1535","72","15","28","2407","3623","55","7","45","","","","","","","","","","",
"IRVING ISD","Spring 2016","5","2410","1512","63","14","37","2419","1577","73","14","27","","","","","","2419","3707","68","5","32","","","","","",
"IRVING ISD","Spring 2016","6","2444","1531","53","9","47","2038","1575","61","5","39","","","","","","","","","","","","","","","",
"IRVING ISD","Spring 2016","7","2527","1583","55","10","45","2478","1632","65","12","35","2530","3626","54","6","46","","","","","","","","","","",
"IRVING ISD","Spring 2016","8","2028","1619","64","6","36","1612","1629","60","4","40","","","","","","2187","3761","69","10","31","2157","3623","55","9","45",
"IRVING ISD","May 2016","5","892","1399","24","0","76","670","1462","35","0","65","","","","","","","","","","","","","","","",
"IRVING ISD","May 2016","8","731","1537","30","1","70","660","1576","41","0","59","","","","","","","","","","","","","","","",
"ITALY ISD","Spring 2016","3","37","1393","65","16","35","37","1415","65","8","35","","","","","","","","","","","","","","","",
"ITALY ISD","Spring 2016","4","38","1511","84","11","16","37","1487","54","5","46","38","3694","61","5","39","","","","","","","","","","",
"ITALY ISD","Spring 2016","5","31","1568","77","26","23","31","1587","81","13","19","","","","","","31","3787","74","10","26","","","","","",
"ITALY ISD","Spring 2016","6","42","1632","90","19","10","41","1676","83","20","17","","","","","","","","","","","","","","","",
"ITALY ISD","Spring 2016","7","24","1716","96","38","4","25","1731","96","24","4","26","3958","77","15","23","","","","","","","","","","",
"ITALY ISD","Spring 2016","8","39","1673","85","15","15","40","1622","53","3","48","","","","","","40","3633","53","5","48","40","3376","30","0","70",
"ITALY ISD","May 2016","5","7","1480","43","0","57","6","1577","100","0","0","","","","","","","","","","","","","","","",
"ITALY ISD","May 2016","8","6","1556","50","0","50","18","1572","33","0","67","","","","","","","","","","","","","","","",
"ITASCA ISD","Spring 2016","3","44","1432","80","9","20","44","1440","66","16","34","","","","","","","","","","","","","","","",
"ITASCA ISD","Spring 2016","4","44","1507","86","9","14","44","1557","84","18","16","43","3849","77","9","23","","","","","","","","","","",
"ITASCA ISD","Spring 2016","5","53","1543","68","21","32","52","1599","81","17","19","","","","","","53","3842","75","11","25","","","","","",
"ITASCA ISD","Spring 2016","6","36","1590","75","17","25","35","1583","69","0","31","","","","","","","","","","","","","","","",
"ITASCA ISD","Spring 2016","7","46","1686","87","30","13","46","1625","76","2","24","46","3908","76","13","24","","","","","","","","","","",
"ITASCA ISD","Spring 2016","8","40","1714","88","23","13","38","1621","61","5","39","","","","","","40","4038","85","15","15","40","3793","68","15","33",
"ITASCA ISD","May 2016","5","17","1424","29","0","71","10","1441","20","0","80","","","","","","","","","","","","","","","",
"ITASCA ISD","May 2016","8","6","1592","50","17","50","16","1589","50","0","50","","","","","","","","","","","","","","","",
"JACKSBORO ISD","Spring 2016","3","81","1407","60","20","40","81","1435","69","15","31","","","","","","","","","","","","","","","",
"JACKSBORO ISD","Spring 2016","4","75","1503","69","19","31","75","1507","61","8","39","76","3735","63","11","37","","","","","","","","","","",
"JACKSBORO ISD","Spring 2016","5","70","1518","67","17","33","71","1554","68","8","32","","","","","","69","3676","62","6","38","","","","","",
"JACKSBORO ISD","Spring 2016","6","67","1565","66","10","34","65","1564","57","3","43","","","","","","","","","","","","","","","",
