"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"SPRING HILL ISD","Spring 2016","3","137","1450","83","21","17","137","1437","74","9","26","","","","","","","","","","","","","","","",
"SPRING HILL ISD","Spring 2016","4","151","1531","86","18","14","152","1564","82","21","18","156","3936","79","18","21","","","","","","","","","","",
"SPRING HILL ISD","Spring 2016","5","149","1592","85","30","15","149","1622","81","21","19","","","","","","145","3787","79","6","21","","","","","",
"SPRING HILL ISD","Spring 2016","6","131","1615","81","24","19","130","1640","74","22","26","","","","","","","","","","","","","","","",
"SPRING HILL ISD","Spring 2016","7","126","1687","86","38","14","123","1750","88","38","12","125","4123","83","22","17","","","","","","","","","","",
"SPRING HILL ISD","Spring 2016","8","156","1704","89","23","11","104","1645","71","1","29","","","","","","154","3987","86","19","14","153","3873","78","18","22",
"SPRING HILL ISD","May 2016","5","18","1458","50","0","50","26","1501","54","4","46","","","","","","","","","","","","","","","",
"SPRING HILL ISD","May 2016","8","17","1574","35","0","65","30","1585","50","0","50","","","","","","","","","","","","","","","",
"SPRING ISD","Spring 2016","3","2298","1389","60","14","40","2368","1400","59","9","41","","","","","","","","","","","","","","","",
"SPRING ISD","Spring 2016","4","2415","1483","67","13","33","2583","1501","61","12","39","2357","3676","59","8","41","","","","","","","","","","",
"SPRING ISD","Spring 2016","5","2622","1519","65","15","35","2643","1562","68","12","32","","","","","","2622","3655","62","5","38","","","","","",
"SPRING ISD","Spring 2016","6","2504","1548","60","11","40","2452","1587","63","9","37","","","","","","","","","","","","","","","",
"SPRING ISD","Spring 2016","7","2576","1602","61","12","39","2524","1612","60","8","40","2575","3642","55","6","45","","","","","","","","","","",
"SPRING ISD","Spring 2016","8","2175","1640","73","7","27","2129","1632","63","2","37","","","","","","2363","3765","68","11","32","2349","3574","50","8","50",
"SPRING ISD","May 2016","5","927","1403","26","0","74","844","1451","31","0","69","","","","","","","","","","","","","","","",
"SPRING ISD","May 2016","8","596","1544","32","1","68","781","1579","44","0","56","","","","","","","","","","","","","","","",
"SPRINGLAKE-EARTH ISD","Spring 2016","3","31","1463","77","39","23","30","1490","73","37","27","","","","","","","","","","","","","","","",
"SPRINGLAKE-EARTH ISD","Spring 2016","4","35","1498","69","17","31","35","1545","74","26","26","35","3810","80","3","20","","","","","","","","","","",
"SPRINGLAKE-EARTH ISD","Spring 2016","5","25","1547","72","20","28","24","1540","75","0","25","","","","","","24","3773","75","4","25","","","","","",
"SPRINGLAKE-EARTH ISD","Spring 2016","6","29","1573","76","7","24","29","1553","55","3","45","","","","","","","","","","","","","","","",
"SPRINGLAKE-EARTH ISD","Spring 2016","7","20","1665","80","35","20","21","1614","57","0","43","20","3997","80","15","20","","","","","","","","","","",
"SPRINGLAKE-EARTH ISD","Spring 2016","8","18","1692","89","11","11","17","1642","59","6","41","","","","","","18","3755","72","6","28","18","3575","56","6","44",
"SPRINGLAKE-EARTH ISD","May 2016","5","7","1441","43","0","57","6","1462","17","0","83","","","","","","","","","","","","","","","",
"SPRINGLAKE-EARTH ISD","May 2016","8","2","-","-","-","-","7","1600","57","0","43","","","","","","","","","","","","","","","",
"SPRINGTOWN ISD","Spring 2016","3","253","1433","74","25","26","257","1459","77","15","23","","","","","","","","","","","","","","","",
"SPRINGTOWN ISD","Spring 2016","4","240","1487","74","11","26","242","1554","73","22","27","234","3714","66","8","34","","","","","","","","","","",
"SPRINGTOWN ISD","Spring 2016","5","229","1532","69","15","31","232","1614","82","22","18","","","","","","234","3656","66","5","34","","","","","",
"SPRINGTOWN ISD","Spring 2016","6","247","1576","65","14","35","245","1614","75","14","25","","","","","","","","","","","","","","","",
"SPRINGTOWN ISD","Spring 2016","7","241","1635","73","16","27","240","1642","73","6","28","240","3830","78","5","23","","","","","","","","","","",
"SPRINGTOWN ISD","Spring 2016","8","233","1677","86","15","14","193","1690","83","7","17","","","","","","236","3773","70","12","30","238","3804","69","19","31",
"SPRINGTOWN ISD","May 2016","5","73","1394","22","0","78","44","1482","45","0","55","","","","","","","","","","","","","","","",
"SPRINGTOWN ISD","May 2016","8","32","1565","44","0","56","35","1578","34","0","66","","","","","","","","","","","","","","","",
"SPUR ISD","Spring 2016","3","13","1418","85","8","15","13","1459","85","8","15","","","","","","","","","","","","","","","",
"SPUR ISD","Spring 2016","4","19","1536","100","11","0","19","1593","84","26","16","17","3794","76","6","24","","","","","","","","","","",
"SPUR ISD","Spring 2016","5","22","1537","68","9","32","22","1614","82","18","18","","","","","","21","3569","62","5","38","","","","","",
"SPUR ISD","Spring 2016","6","21","1619","86","24","14","20","1616","80","10","20","","","","","","","","","","","","","","","",
"SPUR ISD","Spring 2016","7","16","1617","63","25","38","16","1626","56","6","44","17","3807","82","0","18","","","","","","","","","","",
"SPUR ISD","Spring 2016","8","19","1641","74","5","26","14","1570","29","0","71","","","","","","19","3682","63","16","37","19","3378","37","0","63",
"SPUR ISD","May 2016","5","7","1427","29","0","71","3","-","-","-","-","","","","","","","","","","","","","","","",
