"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"GATEWAY CHARTER ACADEMY","Spring 2016","3","41","1361","54","5","46","41","1357","51","2","49","","","","","","","","","","","","","","","",
"GATEWAY CHARTER ACADEMY","Spring 2016","4","56","1458","61","4","39","56","1437","39","0","61","56","3733","66","5","34","","","","","","","","","","",
"GATEWAY CHARTER ACADEMY","Spring 2016","5","37","1499","59","11","41","37","1534","62","5","38","","","","","","36","3530","44","0","56","","","","","",
"GATEWAY CHARTER ACADEMY","Spring 2016","6","43","1536","63","5","37","41","1543","46","0","54","","","","","","","","","","","","","","","",
"GATEWAY CHARTER ACADEMY","Spring 2016","7","47","1598","64","6","36","48","1573","40","2","60","49","3671","57","0","43","","","","","","","","","","",
"GATEWAY CHARTER ACADEMY","Spring 2016","8","42","1620","69","2","31","42","1526","14","0","86","","","","","","42","3348","33","0","67","40","3346","25","3","75",
"GATEWAY CHARTER ACADEMY","May 2016","5","14","1459","50","0","50","13","1501","54","0","46","","","","","","","","","","","","","","","",
"GATEWAY CHARTER ACADEMY","May 2016","8","13","1568","23","0","77","34","1570","26","0","74","","","","","","","","","","","","","","","",
"GAUSE ISD","Spring 2016","3","19","1458","100","21","0","19","1487","89","21","11","","","","","","","","","","","","","","","",
"GAUSE ISD","Spring 2016","4","18","1486","67","22","33","18","1546","67","28","33","17","3732","59","0","41","","","","","","","","","","",
"GAUSE ISD","Spring 2016","5","12","1589","92","17","8","11","1614","82","18","18","","","","","","11","4225","100","36","0","","","","","",
"GAUSE ISD","Spring 2016","6","11","1580","91","9","9","11","1632","73","9","27","","","","","","","","","","","","","","","",
"GAUSE ISD","Spring 2016","7","14","1706","86","36","14","14","1812","93","57","7","14","4052","86","21","14","","","","","","","","","","",
"GAUSE ISD","Spring 2016","8","12","1754","100","42","0","12","1824","100","42","0","","","","","","12","4695","100","67","0","12","4187","83","33","17",
"GAUSE ISD","May 2016","5","1","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"GEORGE GERVIN ACADEMY (015802)","Spring 2016","3","30","1409","77","3","23","31","1405","65","0","35","","","","","","","","","","","","","","","",
"GEORGE GERVIN ACADEMY (015802)","Spring 2016","4","19","1475","74","11","26","19","1495","58","0","42","20","3751","75","5","25","","","","","","","","","","",
"GEORGE GERVIN ACADEMY (015802)","Spring 2016","5","16","1574","94","25","6","25","1709","88","52","12","","","","","","25","4111","92","16","8","","","","","",
"GEORGE GERVIN ACADEMY (015802)","Spring 2016","6","19","1499","42","0","58","19","1585","58","5","42","","","","","","","","","","","","","","","",
"GEORGE GERVIN ACADEMY (015802)","Spring 2016","7","20","1566","50","0","50","21","1573","52","5","48","21","3415","29","0","71","","","","","","","","","","",
"GEORGE GERVIN ACADEMY (015802)","Spring 2016","8","23","1620","65","4","35","12","1546","25","0","75","","","","","","23","3786","70","4","30","23","3436","35","0","65",
"GEORGE GERVIN ACADEMY (015802)","May 2016","5","1","-","-","-","-","3","-","-","-","-","","","","","","","","","","","","","","","",
"GEORGE GERVIN ACADEMY (015802)","May 2016","8","8","1555","38","0","63","9","1593","56","0","44","","","","","","","","","","","","","","","",
"GEORGE I SANCHEZ CHARTER","Spring 2016","6","85","1500","45","4","55","78","1505","29","0","71","","","","","","","","","","","","","","","",
"GEORGE I SANCHEZ CHARTER","Spring 2016","7","67","1539","39","1","61","59","1553","37","3","63","68","3357","32","0","68","","","","","","","","","","",
"GEORGE I SANCHEZ CHARTER","Spring 2016","8","83","1580","49","1","51","76","1541","20","0","80","","","","","","73","3639","55","5","45","72","3159","6","0","94",
"GEORGE I SANCHEZ CHARTER","May 2016","8","39","1541","21","0","79","58","1549","21","0","79","","","","","","","","","","","","","","","",
"GEORGE WEST ISD","Spring 2016","3","74","1473","89","27","11","75","1481","93","9","7","","","","","","","","","","","","","","","",
"GEORGE WEST ISD","Spring 2016","4","52","1558","92","27","8","52","1590","92","23","8","55","4014","80","24","20","","","","","","","","","","",
"GEORGE WEST ISD","Spring 2016","5","83","1599","83","30","17","83","1646","92","20","8","","","","","","83","3829","77","13","23","","","","","",
"GEORGE WEST ISD","Spring 2016","6","65","1667","98","31","2","66","1685","85","23","15","","","","","","","","","","","","","","","",
"GEORGE WEST ISD","Spring 2016","7","79","1671","84","24","16","79","1708","94","19","6","81","3963","85","9","15","","","","","","","","","","",
"GEORGE WEST ISD","Spring 2016","8","99","1703","86","25","14","87","1677","78","6","22","","","","","","98","3887","76","14","24","98","3694","69","9","31",
"GEORGE WEST ISD","May 2016","5","15","1439","33","0","67","7","1511","57","0","43","","","","","","","","","","","","","","","",
"GEORGE WEST ISD","May 2016","8","15","1604","60","0","40","18","1602","50","0","50","","","","","","","","","","","","","","","",
"GEORGETOWN ISD","Spring 2016","3","787","1449","75","27","25","786","1459","75","17","25","","","","","","","","","","","","","","","",
