"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"SEMINOLE ISD","Spring 2016","3","194","1417","67","20","33","167","1482","82","21","18","","","","","","","","","","","","","","","",
"SEMINOLE ISD","Spring 2016","4","206","1482","66","14","34","204","1513","60","16","40","207","3744","63","11","37","","","","","","","","","","",
"SEMINOLE ISD","Spring 2016","5","199","1541","72","20","28","194","1607","75","22","25","","","","","","197","3851","75","14","25","","","","","",
"SEMINOLE ISD","Spring 2016","6","215","1566","64","14","36","206","1615","67","13","33","","","","","","","","","","","","","","","",
"SEMINOLE ISD","Spring 2016","7","229","1618","68","19","32","220","1639","66","13","34","212","3766","64","8","36","","","","","","","","","","",
"SEMINOLE ISD","Spring 2016","8","177","1690","85","21","15","172","1695","74","13","26","","","","","","182","3910","76","17","24","180","3829","69","19","31",
"SEMINOLE ISD","May 2016","5","59","1393","22","0","78","51","1489","53","0","47","","","","","","","","","","","","","","","",
"SEMINOLE ISD","May 2016","8","34","1504","12","0","88","52","1581","46","0","54","","","","","","","","","","","","","","","",
"SER-NINOS CHARTER SCHOOL","Spring 2016","3","59","1384","61","15","39","59","1405","61","10","39","","","","","","","","","","","","","","","",
"SER-NINOS CHARTER SCHOOL","Spring 2016","4","43","1490","72","12","28","44","1515","68","9","32","43","3610","56","7","44","","","","","","","","","","",
"SER-NINOS CHARTER SCHOOL","Spring 2016","5","71","1542","77","11","23","71","1635","97","15","3","","","","","","87","3608","57","1","43","","","","","",
"SER-NINOS CHARTER SCHOOL","Spring 2016","6","74","1581","66","11","34","74","1657","81","26","19","","","","","","","","","","","","","","","",
"SER-NINOS CHARTER SCHOOL","Spring 2016","7","63","1633","73","10","27","63","1731","90","30","10","63","3856","75","11","25","","","","","","","","","","",
"SER-NINOS CHARTER SCHOOL","Spring 2016","8","45","1712","93","24","7","22","1741","86","5","14","","","","","","45","4256","91","33","9","45","3975","78","29","22",
