"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"VANGUARD ACADEMY","Spring 2016","3","225","1440","75","24","25","225","1488","83","20","17","","","","","","","","","","","","","","","",
"VANGUARD ACADEMY","Spring 2016","4","206","1531","83","24","17","206","1555","77","17","23","207","3904","73","15","27","","","","","","","","","","",
"VANGUARD ACADEMY","Spring 2016","5","205","1586","84","29","16","206","1628","89","24","11","","","","","","207","3918","85","14","15","","","","","",
"VANGUARD ACADEMY","Spring 2016","6","216","1591","77","15","23","218","1605","75","6","25","","","","","","","","","","","","","","","",
"VANGUARD ACADEMY","Spring 2016","7","191","1662","82","24","18","192","1661","76","13","24","191","3953","86","8","14","","","","","","","","","","",
"VANGUARD ACADEMY","Spring 2016","8","145","1739","98","30","2","112","1708","90","9","10","","","","","","144","4047","90","19","10","144","3976","85","23","15",
"VANGUARD ACADEMY","May 2016","5","32","1447","53","0","47","22","1492","41","0","59","","","","","","","","","","","","","","","",
"VANGUARD ACADEMY","May 2016","8","3","-","-","-","-","11","1646","82","0","18","","","","","","","","","","","","","","","",
"VEGA ISD","Spring 2016","3","19","1501","95","32","5","18","1540","100","33","0","","","","","","","","","","","","","","","",
"VEGA ISD","Spring 2016","4","23","1573","96","39","4","23","1626","96","35","4","23","4155","96","13","4","","","","","","","","","","",
"VEGA ISD","Spring 2016","5","24","1623","88","29","13","24","1687","96","38","4","","","","","","21","3874","71","5","29","","","","","",
"VEGA ISD","Spring 2016","6","27","1715","89","56","11","27","1760","89","52","11","","","","","","","","","","","","","","","",
"VEGA ISD","Spring 2016","7","33","1686","82","39","18","31","1693","77","26","23","32","4031","84","22","16","","","","","","","","","","",
"VEGA ISD","Spring 2016","8","46","1716","96","22","4","44","1697","75","14","25","","","","","","45","3935","84","13","16","45","3840","87","13","13",
"VEGA ISD","May 2016","5","","","","","","1","-","-","-","-","","","","","","","","","","","","","","","",
"VEGA ISD","May 2016","8","2","-","-","-","-","11","1621","73","0","27","","","","","","","","","","","","","","","",
"VENUS ISD","Spring 2016","3","168","1416","69","17","31","173","1454","77","13","23","","","","","","","","","","","","","","","",
"VENUS ISD","Spring 2016","4","146","1459","62","8","38","146","1516","62","13","38","149","3567","55","5","45","","","","","","","","","","",
"VENUS ISD","Spring 2016","5","166","1542","71","20","29","168","1607","86","17","14","","","","","","170","3775","74","6","26","","","","","",
"VENUS ISD","Spring 2016","6","163","1561","58","16","42","163","1583","61","7","39","","","","","","","","","","","","","","","",
"VENUS ISD","Spring 2016","7","160","1611","64","11","36","160","1632","65","10","35","160","3800","68","8","33","","","","","","","","","","",
"VENUS ISD","Spring 2016","8","118","1667","80","12","20","116","1652","73","3","27","","","","","","117","3948","84","16","16","115","3740","69","9","31",
"VENUS ISD","May 2016","5","49","1432","35","0","65","25","1479","48","0","52","","","","","","","","","","","","","","","",
"VENUS ISD","May 2016","8","24","1545","33","0","67","33","1590","58","0","42","","","","","","","","","","","","","","","",
"VERIBEST ISD","Spring 2016","3","12","1437","83","17","17","12","1438","92","0","8","","","","","","","","","","","","","","","",
"VERIBEST ISD","Spring 2016","4","17","1525","76","24","24","18","1505","56","6","44","18","3800","72","6","28","","","","","","","","","","",
"VERIBEST ISD","Spring 2016","5","17","1588","82","41","18","17","1576","76","12","24","","","","","","17","3933","71","29","29","","","","","",
"VERIBEST ISD","Spring 2016","6","16","1593","81","19","19","15","1630","93","7","7","","","","","","","","","","","","","","","",
"VERIBEST ISD","Spring 2016","7","17","1644","76","24","24","17","1630","71","6","29","17","3874","76","0","24","","","","","","","","","","",
