"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"FRANKSTON ISD","Spring 2016","3","53","1442","85","21","15","53","1437","74","13","26","","","","","","","","","","","","","","","",
"FRANKSTON ISD","Spring 2016","4","64","1501","77","9","23","64","1534","69","16","31","64","3896","75","20","25","","","","","","","","","","",
"FRANKSTON ISD","Spring 2016","5","71","1621","87","41","13","71","1636","85","30","15","","","","","","70","3864","81","11","19","","","","","",
"FRANKSTON ISD","Spring 2016","6","57","1636","82","30","18","62","1660","81","23","19","","","","","","","","","","","","","","","",
"FRANKSTON ISD","Spring 2016","7","47","1688","89","26","11","49","1654","78","10","22","47","4030","91","15","9","","","","","","","","","","",
"FRANKSTON ISD","Spring 2016","8","49","1695","88","16","12","54","1658","72","4","28","","","","","","55","3909","80","7","20","55","3890","82","22","18",
"FRANKSTON ISD","May 2016","5","9","1423","33","0","67","10","1430","40","0","60","","","","","","","","","","","","","","","",
"FRANKSTON ISD","May 2016","8","6","1554","17","0","83","15","1609","60","0","40","","","","","","","","","","","","","","","",
"FREDERICKSBURG ISD","Spring 2016","3","215","1459","78","30","22","213","1478","77","22","23","","","","","","","","","","","","","","","",
"FREDERICKSBURG ISD","Spring 2016","4","199","1549","84","28","16","196","1573","78","30","22","198","3982","74","20","26","","","","","","","","","","",
"FREDERICKSBURG ISD","Spring 2016","5","209","1582","77","31","23","208","1614","78","23","22","","","","","","211","3815","73","12","27","","","","","",
"FREDERICKSBURG ISD","Spring 2016","6","205","1596","70","24","30","201","1661","81","20","19","","","","","","","","","","","","","","","",
"FREDERICKSBURG ISD","Spring 2016","7","213","1656","76","24","24","215","1720","84","33","16","212","4093","82","23","18","","","","","","","","","","",
"FREDERICKSBURG ISD","Spring 2016","8","195","1729","92","30","8","125","1667","77","7","23","","","","","","191","4264","91","36","9","192","3836","77","17","23",
"FREDERICKSBURG ISD","May 2016","5","51","1437","43","0","57","46","1485","39","0","61","","","","","","","","","","","","","","","",
"FREDERICKSBURG ISD","May 2016","8","16","1550","19","0","81","30","1609","50","3","50","","","","","","","","","","","","","","","",
"FREER ISD","Spring 2016","3","60","1402","72","12","28","57","1365","39","7","61","","","","","","","","","","","","","","","",
"FREER ISD","Spring 2016","4","52","1452","58","10","42","52","1462","50","6","50","52","3582","56","2","44","","","","","","","","","","",
"FREER ISD","Spring 2016","5","49","1483","41","12","59","48","1559","65","13","35","","","","","","47","3608","60","2","40","","","","","",
"FREER ISD","Spring 2016","6","61","1545","61","10","39","61","1626","77","11","23","","","","","","","","","","","","","","","",
"FREER ISD","Spring 2016","7","47","1616","64","11","36","47","1672","77","21","23","47","3657","60","4","40","","","","","","","","","","",
"FREER ISD","Spring 2016","8","39","1664","82","10","18","27","1628","59","0","41","","","","","","40","3710","70","13","30","40","3331","28","3","73",
"FREER ISD","May 2016","5","27","1408","30","0","70","17","1449","24","0","76","","","","","","","","","","","","","","","",
"FREER ISD","May 2016","8","8","1568","63","0","38","11","1592","45","0","55","","","","","","","","","","","","","","","",
"FRENSHIP ISD","Spring 2016","3","699","1470","84","28","16","713","1493","85","23","15","","","","","","","","","","","","","","","",
"FRENSHIP ISD","Spring 2016","4","565","1558","88","27","12","572","1595","83","33","17","579","3996","80","21","20","","","","","","","","","","",
"FRENSHIP ISD","Spring 2016","5","597","1600","87","34","13","609","1633","87","24","13","","","","","","599","3979","87","15","13","","","","","",
"FRENSHIP ISD","Spring 2016","6","648","1630","85","25","15","653","1669","88","19","12","","","","","","","","","","","","","","","",
"FRENSHIP ISD","Spring 2016","7","646","1680","85","30","15","650","1696","81","25","19","648","4086","83","22","17","","","","","","","","","","",
"FRENSHIP ISD","Spring 2016","8","628","1712","90","27","10","460","1660","76","3","24","","","","","","620","4059","85","24","15","619","3801","71","17","29",
"FRENSHIP ISD","May 2016","5","82","1470","55","5","45","88","1486","43","1","57","","","","","","","","","","","","","","","",
"FRENSHIP ISD","May 2016","8","65","1569","43","0","57","108","1596","53","0","47","","","","","","","","","","","","","","","",
"FRIENDSWOOD ISD","Spring 2016","3","362","1523","92","47","8","357","1566","94","44","6","","","","","","","","","","","","","","","",
"FRIENDSWOOD ISD","Spring 2016","4","363","1590","93","41","7","360","1677","94","54","6","362","4257","89","35","11","","","","","","","","","","",
"FRIENDSWOOD ISD","Spring 2016","5","403","1650","95","46","5","406","1743","98","55","2","","","","","","405","4135","92","28","8","","","","","",
"FRIENDSWOOD ISD","Spring 2016","6","445","1704","95","46","5","212","1669","93","13","7","","","","","","","","","","","","","","","",
"FRIENDSWOOD ISD","Spring 2016","7","460","1711","91","39","9","489","1768","94","39","6","454","4138","88","25","12","","","","","","","","","","",
"FRIENDSWOOD ISD","Spring 2016","8","463","1763","96","41","4","516","1776","98","25","2","","","","","","465","4316","94","37","6","464","4076","88","32","12",
"FRIENDSWOOD ISD","May 2016","5","26","1479","50","8","50","12","1496","33","0","67","","","","","","","","","","","","","","","",
"FRIENDSWOOD ISD","May 2016","8","22","1595","50","0","50","12","1602","50","0","50","","","","","","","","","","","","","","","",
"FRIONA ISD","Spring 2016","3","76","1419","70","17","30","76","1452","86","5","14","","","","","","","","","","","","","","","",
"FRIONA ISD","Spring 2016","4","78","1520","85","18","15","78","1509","60","12","40","78","3840","69","15","31","","","","","","","","","","",
"FRIONA ISD","Spring 2016","5","72","1538","72","11","28","72","1602","86","14","14","","","","","","73","3619","56","4","44","","","","","",
"FRIONA ISD","Spring 2016","6","75","1562","69","8","31","72","1627","81","10","19","","","","","","","","","","","","","","","",
"FRIONA ISD","Spring 2016","7","72","1580","54","4","46","68","1625","63","7","37","74","3661","62","5","38","","","","","","","","","","",
"FRIONA ISD","Spring 2016","8","90","1645","76","10","24","76","1593","51","0","49","","","","","","87","3536","49","2","51","87","3433","41","5","59",
"FRIONA ISD","May 2016","5","21","1429","29","0","71","11","1486","64","0","36","","","","","","","","","","","","","","","",
"FRIONA ISD","May 2016","8","22","1553","36","0","64","38","1574","34","0","66","","","","","","","","","","","","","","","",
"FRISCO ISD","Spring 2016","3","4329","1516","89","45","11","4270","1538","90","37","10","","","","","","","","","","","","","","","",
"FRISCO ISD","Spring 2016","4","4312","1573","89","34","11","4308","1626","87","39","13","4290","4195","85","33","15","","","","","","","","","","",
"FRISCO ISD","Spring 2016","5","4295","1645","91","45","9","4291","1694","91","42","9","","","","","","4252","4060","90","22","10","","","","","",
"FRISCO ISD","Spring 2016","6","4451","1685","91","42","9","4328","1751","93","43","7","","","","","","","","","","","","","","","",
"FRISCO ISD","Spring 2016","7","4245","1732","92","47","8","4141","1799","93","51","7","4243","4393","91","41","9","","","","","","","","","","",
"FRISCO ISD","Spring 2016","8","3977","1763","96","41","4","2471","1762","93","21","7","","","","","","3956","4343","93","44","7","3946","4133","89","39","11",
"FRISCO ISD","May 2016","5","360","1447","41","4","59","354","1488","48","1","52","","","","","","","","","","","","","","","",
"FRISCO ISD","May 2016","8","166","1586","51","2","49","166","1600","50","0","50","","","","","","","","","","","","","","","",
"FROST ISD","Spring 2016","3","40","1384","70","5","30","40","1426","80","5","20","","","","","","","","","","","","","","","",
"FROST ISD","Spring 2016","4","25","1440","52","0","48","25","1510","72","12","28","26","3493","38","4","62","","","","","","","","","","",
"FROST ISD","Spring 2016","5","29","1509","69","3","31","29","1538","66","3","34","","","","","","29","3532","48","0","52","","","","","",
"FROST ISD","Spring 2016","6","36","1560","67","8","33","36","1550","47","6","53","","","","","","","","","","","","","","","",
"FROST ISD","Spring 2016","7","25","1678","88","32","12","25","1661","72","16","28","26","3887","85","4","15","","","","","","","","","","",
