"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"WINNSBORO ISD","Spring 2016","3","107","1427","79","19","21","107","1434","78","8","22","","","","","","","","","","","","","","","",
"WINNSBORO ISD","Spring 2016","4","96","1569","94","32","6","97","1619","93","28","7","99","4111","90","28","10","","","","","","","","","","",
"WINNSBORO ISD","Spring 2016","5","105","1563","74","30","26","108","1600","81","18","19","","","","","","107","3905","81","15","19","","","","","",
"WINNSBORO ISD","Spring 2016","6","119","1606","75","21","25","119","1603","69","9","31","","","","","","","","","","","","","","","",
"WINNSBORO ISD","Spring 2016","7","103","1655","82","21","18","104","1681","83","15","17","105","3867","77","12","23","","","","","","","","","","",
"WINNSBORO ISD","Spring 2016","8","102","1701","88","24","12","100","1699","86","12","14","","","","","","101","3869","80","9","20","101","3680","61","8","39",
"WINNSBORO ISD","May 2016","5","30","1424","40","0","60","21","1472","48","0","52","","","","","","","","","","","","","","","",
"WINNSBORO ISD","May 2016","8","12","1574","67","0","33","14","1611","57","0","43","","","","","","","","","","","","","","","",
"WINONA ISD","Spring 2016","3","86","1366","56","9","44","87","1386","57","6","43","","","","","","","","","","","","","","","",
"WINONA ISD","Spring 2016","4","83","1454","61","7","39","83","1495","58","11","42","83","3498","47","2","53","","","","","","","","","","",
"WINONA ISD","Spring 2016","5","72","1507","71","13","29","72","1540","65","0","35","","","","","","72","3621","60","1","40","","","","","",
"WINONA ISD","Spring 2016","6","69","1583","75","13","25","69","1631","83","13","17","","","","","","","","","","","","","","","",
"WINONA ISD","Spring 2016","7","77","1634","73","18","27","77","1622","65","3","35","83","3636","60","4","40","","","","","","","","","","",
"WINONA ISD","Spring 2016","8","76","1680","83","13","17","63","1625","63","2","37","","","","","","78","3614","58","6","42","77","3643","66","5","34",
"WINONA ISD","May 2016","5","21","1400","19","0","81","25","1453","28","0","72","","","","","","","","","","","","","","","",
"WINONA ISD","May 2016","8","14","1601","57","7","43","24","1569","42","0","58","","","","","","","","","","","","","","","",
"WINTERS ISD","Spring 2016","3","35","1388","63","11","37","35","1420","66","14","34","","","","","","","","","","","","","","","",
"WINTERS ISD","Spring 2016","4","45","1452","56","9","44","45","1542","67","18","33","46","3768","67","7","33","","","","","","","","","","",
"WINTERS ISD","Spring 2016","5","42","1482","55","10","45","42","1509","55","5","45","","","","","","43","3642","65","2","35","","","","","",
"WINTERS ISD","Spring 2016","6","48","1501","35","6","65","48","1515","35","0","65","","","","","","","","","","","","","","","",
"WINTERS ISD","Spring 2016","7","42","1603","60","14","40","42","1588","55","2","45","43","3665","65","7","35","","","","","","","","","","",
"WINTERS ISD","Spring 2016","8","50","1677","74","20","26","43","1589","47","0","53","","","","","","50","3655","56","14","44","50","3546","50","4","50",
"WINTERS ISD","May 2016","5","19","1360","5","0","95","20","1438","30","0","70","","","","","","","","","","","","","","","",
"WINTERS ISD","May 2016","8","13","1538","15","0","85","23","1565","35","0","65","","","","","","","","","","","","","","","",
"WODEN ISD","Spring 2016","3","48","1480","83","42","17","48","1528","90","31","10","","","","","","","","","","","","","","","",
"WODEN ISD","Spring 2016","4","60","1555","90","25","10","60","1591","87","28","13","61","3985","84","18","16","","","","","","","","","","",
"WODEN ISD","Spring 2016","5","55","1601","87","27","13","55","1602","80","15","20","","","","","","55","4039","95","24","5","","","","","",
"WODEN ISD","Spring 2016","6","47","1607","81","21","19","34","1623","85","9","15","","","","","","","","","","","","","","","",
"WODEN ISD","Spring 2016","7","50","1646","74","18","26","48","1719","94","27","6","49","3887","76","8","24","","","","","","","","","","",
"WODEN ISD","Spring 2016","8","63","1692","94","13","6","54","1708","93","4","7","","","","","","63","3990","83","24","17","63","4009","89","25","11",
"WODEN ISD","May 2016","5","7","1475","71","0","29","11","1492","64","0","36","","","","","","","","","","","","","","","",
"WODEN ISD","May 2016","8","4","-","-","-","-","4","-","-","-","-","","","","","","","","","","","","","","","",
"WOLFE CITY ISD","Spring 2016","3","50","1406","76","4","24","50","1472","88","8","12","","","","","","","","","","","","","","","",
"WOLFE CITY ISD","Spring 2016","4","38","1468","76","11","24","37","1445","59","0","41","38","3706","66","5","34","","","","","","","","","","",
"WOLFE CITY ISD","Spring 2016","5","54","1588","81","26","19","54","1619","89","17","11","","","","","","54","3797","85","4","15","","","","","",
"WOLFE CITY ISD","Spring 2016","6","49","1600","82","18","18","48","1582","67","2","33","","","","","","","","","","","","","","","",
"WOLFE CITY ISD","Spring 2016","7","46","1663","76","24","24","45","1649","80","11","20","47","3915","72","17","28","","","","","","","","","","",
"WOLFE CITY ISD","Spring 2016","8","42","1663","86","7","14","43","1625","60","0","40","","","","","","42","3751","81","5","19","42","3489","45","0","55",
"WOLFE CITY ISD","May 2016","5","10","1441","40","0","60","6","1504","50","0","50","","","","","","","","","","","","","","","",
"WOLFE CITY ISD","May 2016","8","6","1600","50","0","50","17","1619","71","0","29","","","","","","","","","","","","","","","",
"WOODSBORO ISD","Spring 2016","3","31","1387","61","6","39","31","1422","71","13","29","","","","","","","","","","","","","","","",
