"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"KERMIT ISD","Spring 2016","3","114","1400","65","14","35","114","1391","55","6","45","","","","","","","","","","","","","","","",
"KERMIT ISD","Spring 2016","4","89","1453","57","8","43","89","1477","53","6","47","91","3488","42","3","58","","","","","","","","","","",
"KERMIT ISD","Spring 2016","5","105","1435","39","5","61","99","1516","52","7","48","","","","","","99","3431","32","2","68","","","","","",
"KERMIT ISD","Spring 2016","6","96","1534","50","8","50","94","1569","52","9","48","","","","","","","","","","","","","","","",
"KERMIT ISD","Spring 2016","7","96","1577","48","9","52","94","1583","50","2","50","96","3602","53","4","47","","","","","","","","","","",
"KERMIT ISD","Spring 2016","8","88","1607","55","5","45","72","1543","18","0","82","","","","","","81","3397","33","1","67","80","3422","34","3","66",
"KERMIT ISD","May 2016","5","64","1365","9","0","91","48","1442","25","0","75","","","","","","","","","","","","","","","",
"KERMIT ISD","May 2016","8","40","1528","20","0","80","58","1572","36","0","64","","","","","","","","","","","","","","","",
"KERRVILLE ISD","Spring 2016","3","338","1463","84","27","16","337","1501","87","23","13","","","","","","","","","","","","","","","",
"KERRVILLE ISD","Spring 2016","4","351","1533","81","22","19","354","1586","86","30","14","351","3909","79","17","21","","","","","","","","","","",
"KERRVILLE ISD","Spring 2016","5","368","1573","81","23","19","375","1619","83","23","17","","","","","","370","3855","79","11","21","","","","","",
"KERRVILLE ISD","Spring 2016","6","313","1630","82","27","18","310","1671","85","23","15","","","","","","","","","","","","","","","",
"KERRVILLE ISD","Spring 2016","7","306","1685","83","32","17","305","1708","82","27","18","306","4029","86","18","14","","","","","","","","","","",
"KERRVILLE ISD","Spring 2016","8","319","1703","85","25","15","315","1727","83","21","17","","","","","","322","4044","80","27","20","319","3724","60","16","40",
"KERRVILLE ISD","May 2016","5","75","1423","32","0","68","63","1477","41","0","59","","","","","","","","","","","","","","","",
"KERRVILLE ISD","May 2016","8","51","1563","39","0","61","57","1583","47","2","53","","","","","","","","","","","","","","","",
"KI CHARTER ACADEMY (105803)","Spring 2016","3","6","1270","0","0","100","6","1276","17","0","83","","","","","","","","","","","","","","","",
"KI CHARTER ACADEMY (105803)","Spring 2016","4","6","1318","0","0","100","6","1372","0","0","100","8","3206","25","0","75","","","","","","","","","","",
"KI CHARTER ACADEMY (105803)","Spring 2016","5","7","1404","43","0","57","7","1426","14","0","86","","","","","","9","3207","22","0","78","","","","","",
"KI CHARTER ACADEMY (105803)","Spring 2016","6","9","1367","0","0","100","9","1452","11","0","89","","","","","","","","","","","","","","","",
"KI CHARTER ACADEMY (105803)","Spring 2016","7","13","1600","54","15","46","13","1536","31","0","69","12","3208","25","0","75","","","","","","","","","","",
"KI CHARTER ACADEMY (105803)","Spring 2016","8","22","1536","41","0","59","21","1542","24","0","76","","","","","","18","3314","28","0","72","18","3355","28","0","72",
"KILGORE ISD","Spring 2016","3","305","1408","65","16","35","293","1429","67","14","33","","","","","","","","","","","","","","","",
"KILGORE ISD","Spring 2016","4","274","1490","72","14","28","272","1535","69","15","31","278","3666","59","6","41","","","","","","","","","","",
"KILGORE ISD","Spring 2016","5","254","1516","65","15","35","249","1572","69","13","31","","","","","","254","3759","66","7","34","","","","","",
"KILGORE ISD","Spring 2016","6","282","1576","66","14","34","277","1580","62","7","38","","","","","","","","","","","","","","","",
"KILGORE ISD","Spring 2016","7","277","1634","70","19","30","277","1637","71","10","29","277","3894","78","10","22","","","","","","","","","","",
"KILGORE ISD","Spring 2016","8","262","1681","82","19","18","239","1643","68","0","32","","","","","","259","3820","69","13","31","259","3623","56","9","44",
"KILGORE ISD","May 2016","5","93","1424","31","0","69","80","1474","36","0","64","","","","","","","","","","","","","","","",
"KILGORE ISD","May 2016","8","49","1557","31","4","69","78","1588","50","0","50","","","","","","","","","","","","","","","",
"KILLEEN ISD","Spring 2016","3","3297","1425","73","19","27","3285","1473","80","19","20","","","","","","","","","","","","","","","",
"KILLEEN ISD","Spring 2016","4","3045","1503","76","15","24","3043","1554","76","19","24","3062","3756","66","10","34","","","","","","","","","","",
"KILLEEN ISD","Spring 2016","5","2840","1559","77","22","23","2845","1615","82","20","18","","","","","","2861","3754","71","7","29","","","","","",
"KILLEEN ISD","Spring 2016","6","2669","1575","69","14","31","2656","1631","75","16","25","","","","","","","","","","","","","","","",
"KILLEEN ISD","Spring 2016","7","2757","1622","68","16","32","2749","1653","69","15","31","2760","3717","63","7","37","","","","","","","","","","",
"KILLEEN ISD","Spring 2016","8","2656","1676","83","14","17","2191","1666","73","6","27","","","","","","2669","3813","70","13","30","2658","3703","62","12","38",
"KILLEEN ISD","May 2016","5","672","1434","37","2","63","543","1494","52","1","48","","","","","","","","","","","","","","","",
"KILLEEN ISD","May 2016","8","494","1562","41","2","59","609","1578","42","0","58","","","","","","","","","","","","","","","",
"KINGSVILLE ISD","Spring 2016","3","254","1395","57","16","43","254","1431","67","12","33","","","","","","","","","","","","","","","",
"KINGSVILLE ISD","Spring 2016","4","230","1492","71","15","29","230","1525","65","16","35","231","3779","69","12","31","","","","","","","","","","",
"KINGSVILLE ISD","Spring 2016","5","206","1488","53","12","47","207","1538","58","9","42","","","","","","207","3523","49","3","51","","","","","",
"KINGSVILLE ISD","Spring 2016","6","204","1509","46","6","54","204","1545","43","5","57","","","","","","","","","","","","","","","",
"KINGSVILLE ISD","Spring 2016","7","186","1562","48","6","52","185","1562","40","2","60","187","3521","55","2","45","","","","","","","","","","",
"KINGSVILLE ISD","Spring 2016","8","205","1604","57","4","43","182","1579","43","1","57","","","","","","205","3492","51","2","49","204","3362","32","1","68",
"KINGSVILLE ISD","May 2016","5","97","1416","35","1","65","84","1462","32","1","68","","","","","","","","","","","","","","","",
"KINGSVILLE ISD","May 2016","8","90","1523","24","0","76","104","1543","18","0","82","","","","","","","","","","","","","","","",
"KIPP AUSTIN PUBLIC SCHOOLS INC","Spring 2016","3","216","1416","70","16","30","420","1460","77","18","23","","","","","","","","","","","","","","","",
"KIPP AUSTIN PUBLIC SCHOOLS INC","Spring 2016","4","84","1526","81","24","19","194","1563","77","20","23","84","3834","69","15","31","","","","","","","","","","",
"KIPP AUSTIN PUBLIC SCHOOLS INC","Spring 2016","5","415","1528","63","20","37","408","1576","73","12","27","","","","","","409","3754","71","8","29","","","","","",
"KIPP AUSTIN PUBLIC SCHOOLS INC","Spring 2016","6","400","1563","68","11","32","398","1615","71","12","29","","","","","","","","","","","","","","","",
