"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"COMMUNITY ISD","Spring 2016","3","110","1462","81","27","19","115","1483","89","16","11","","","","","","","","","","","","","","","",
"COMMUNITY ISD","Spring 2016","4","116","1503","75","19","25","136","1538","69","16","31","105","3750","66","11","34","","","","","","","","","","",
"COMMUNITY ISD","Spring 2016","5","128","1576","81","22","19","128","1634","85","23","15","","","","","","135","3830","79","7","21","","","","","",
"COMMUNITY ISD","Spring 2016","6","118","1584","74","13","26","114","1638","77","13","23","","","","","","","","","","","","","","","",
"COMMUNITY ISD","Spring 2016","7","139","1642","79","16","21","136","1661","75","12","25","134","3938","78","10","22","","","","","","","","","","",
"COMMUNITY ISD","Spring 2016","8","130","1696","88","17","12","96","1659","76","0","24","","","","","","125","3974","82","19","18","126","3679","61","9","39",
"COMMUNITY ISD","May 2016","5","27","1421","41","0","59","21","1518","62","0","38","","","","","","","","","","","","","","","",
"COMMUNITY ISD","May 2016","8","16","1609","69","0","31","22","1605","59","0","41","","","","","","","","","","","","","","","",
"COMO-PICKTON CISD","Spring 2016","3","59","1396","61","15","39","59","1425","68","14","32","","","","","","","","","","","","","","","",
"COMO-PICKTON CISD","Spring 2016","4","53","1467","55","13","45","53","1458","42","6","58","51","3557","49","8","51","","","","","","","","","","",
"COMO-PICKTON CISD","Spring 2016","5","54","1510","54","19","46","54","1523","43","9","57","","","","","","55","3554","53","2","47","","","","","",
"COMO-PICKTON CISD","Spring 2016","6","51","1562","61","14","39","50","1557","54","6","46","","","","","","","","","","","","","","","",
"COMO-PICKTON CISD","Spring 2016","7","61","1620","64","18","36","60","1582","48","5","52","61","3809","72","11","28","","","","","","","","","","",
"COMO-PICKTON CISD","Spring 2016","8","53","1688","81","19","19","53","1640","72","0","28","","","","","","55","3496","40","0","60","55","3612","49","9","51",
"COMO-PICKTON CISD","May 2016","5","26","1416","35","0","65","32","1450","22","0","78","","","","","","","","","","","","","","","",
"COMO-PICKTON CISD","May 2016","8","12","1573","33","8","67","17","1583","41","0","59","","","","","","","","","","","","","","","",
"COMPASS ACADEMY CHARTER SCHOOL (068802)","Spring 2016","3","97","1476","85","29","15","96","1474","82","19","18","","","","","","","","","","","","","","","",
"COMPASS ACADEMY CHARTER SCHOOL (068802)","Spring 2016","4","91","1543","92","21","8","91","1553","76","16","24","87","4147","82","26","18","","","","","","","","","","",
