"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"ROBSTOWN ISD","Spring 2016","3","228","1411","71","14","29","228","1457","76","17","24","","","","","","","","","","","","","","","",
"ROBSTOWN ISD","Spring 2016","4","206","1466","65","6","35","206","1491","61","5","39","208","3552","50","4","50","","","","","","","","","","",
"ROBSTOWN ISD","Spring 2016","5","187","1503","58","10","42","187","1552","70","9","30","","","","","","189","3637","58","6","42","","","","","",
"ROBSTOWN ISD","Spring 2016","6","157","1534","54","8","46","158","1558","55","2","45","","","","","","","","","","","","","","","",
"ROBSTOWN ISD","Spring 2016","7","164","1610","64","13","36","163","1612","60","7","40","161","3677","59","3","41","","","","","","","","","","",
"ROBSTOWN ISD","Spring 2016","8","156","1628","70","6","30","155","1605","55","0","45","","","","","","149","3495","50","1","50","151","3407","32","0","68",
"ROBSTOWN ISD","May 2016","5","78","1398","19","1","81","59","1465","42","2","58","","","","","","","","","","","","","","","",
"ROBSTOWN ISD","May 2016","8","47","1541","32","0","68","68","1586","47","0","53","","","","","","","","","","","","","","","",
"ROBY CISD","Spring 2016","3","21","1351","57","5","43","21","1329","43","0","57","","","","","","","","","","","","","","","",
"ROBY CISD","Spring 2016","4","21","1501","71","24","29","21","1489","57","10","43","21","3541","48","5","52","","","","","","","","","","",
