"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"MALTA ISD","Spring 2016","3","12","1458","92","17","8","12","1523","100","8","0","","","","","","","","","","","","","","","",
"MALTA ISD","Spring 2016","4","10","1528","80","20","20","10","1614","90","50","10","10","3818","80","10","20","","","","","","","","","","",
"MALTA ISD","Spring 2016","5","12","1671","92","58","8","12","1702","92","42","8","","","","","","12","4202","92","42","8","","","","","",
"MALTA ISD","Spring 2016","6","4","-","-","-","-","4","-","-","-","-","","","","","","","","","","","","","","","",
"MALTA ISD","May 2016","5","1","-","-","-","-","1","-","-","-","-","","","","","","","","","","","","","","","",
"MANARA ACADEMY (057844)","Spring 2016","3","96","1428","67","25","33","86","1429","55","20","45","","","","","","","","","","","","","","","",
"MANARA ACADEMY (057844)","Spring 2016","4","104","1540","87","25","13","98","1573","74","31","26","106","3792","71","13","29","","","","","","","","","","",
"MANARA ACADEMY (057844)","Spring 2016","5","78","1580","74","29","26","78","1622","78","23","22","","","","","","75","3791","75","12","25","","","","","",
"MANARA ACADEMY (057844)","Spring 2016","6","66","1608","85","14","15","65","1608","68","12","32","","","","","","","","","","","","","","","",
"MANARA ACADEMY (057844)","Spring 2016","7","46","1685","80","30","20","45","1662","76","13","24","46","3866","83","7","17","","","","","","","","","","",
"MANARA ACADEMY (057844)","Spring 2016","8","37","1645","78","8","22","34","1586","41","0","59","","","","","","32","3515","47","3","53","32","3434","41","0","59",
"MANARA ACADEMY (057844)","May 2016","5","19","1447","47","0","53","16","1494","31","0","69","","","","","","","","","","","","","","","",
