"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"ACADEMY FOR ACADEMIC EXCELLENCE","Spring 2016","6","20","1373","25","0","75","21","1460","10","0","90","","","","","","","","","","","","","","","",
"ACADEMY FOR ACADEMIC EXCELLENCE","Spring 2016","7","37","1418","16","0","84","38","1421","8","0","92","43","2910","7","0","93","","","","","","","","","","",
"ACADEMY FOR ACADEMIC EXCELLENCE","Spring 2016","8","79","1482","29","1","71","79","1473","8","0","92","","","","","","79","2786","13","1","87","80","2905","11","0","89",
"ACADEMY FOR ACADEMIC EXCELLENCE","May 2016","5","4","-","-","-","-","4","-","-","-","-","","","","","","","","","","","","","","","",
"ACADEMY FOR ACADEMIC EXCELLENCE","May 2016","8","60","1454","22","0","78","76","1456","4","0","96","","","","","","","","","","","","","","","",
"ACADEMY ISD","Spring 2016","3","87","1480","84","33","16","87","1508","87","26","13","","","","","","","","","","","","","","","",
"ACADEMY ISD","Spring 2016","4","111","1513","70","23","30","111","1550","68","28","32","109","3942","76","17","24","","","","","","","","","","",
"ACADEMY ISD","Spring 2016","5","100","1569","79","27","21","100","1647","90","25","10","","","","","","101","3976","86","16","14","","","","","",
"ACADEMY ISD","Spring 2016","6","93","1616","76","25","24","93","1651","78","19","22","","","","","","","","","","","","","","","",
"ACADEMY ISD","Spring 2016","7","105","1660","77","26","23","104","1694","87","18","13","104","3898","82","10","18","","","","","","","","","","",
"ACADEMY ISD","Spring 2016","8","125","1676","81","15","19","98","1649","71","2","29","","","","","","130","4039","83","25","17","130","3689","65","11","35",
"ACADEMY ISD","May 2016","5","21","1422","29","0","71","10","1505","50","0","50","","","","","","","","","","","","","","","",
"ACADEMY ISD","May 2016","8","28","1582","46","4","54","31","1573","42","0","58","","","","","","","","","","","","","","","",
"ACADEMY OF ACCELERATED LEARNING (101810)","Spring 2016","3","83","1387","57","12","43","83","1430","65","16","35","","","","","","","","","","","","","","","",
"ACADEMY OF ACCELERATED LEARNING (101810)","Spring 2016","4","57","1451","56","9","44","57","1509","67","7","33","57","3556","51","9","49","","","","","","","","","","",
"ACADEMY OF ACCELERATED LEARNING (101810)","Spring 2016","5","46","1554","74","26","26","46","1627","78","20","22","","","","","","46","3829","85","4","15","","","","","",
"ACADEMY OF ACCELERATED LEARNING (101810)","May 2016","5","12","1421","25","0","75","10","1503","70","0","30","","","","","","","","","","","","","","","",
"ACADEMY OF DALLAS (057810)","Spring 2016","3","28","1325","29","4","71","28","1359","43","4","57","","","","","","","","","","","","","","","",
"ACADEMY OF DALLAS (057810)","Spring 2016","4","27","1476","70","4","30","27","1486","59","0","41","27","3727","67","7","33","","","","","","","","","","",
"ACADEMY OF DALLAS (057810)","Spring 2016","5","23","1503","74","4","26","23","1462","30","0","70","","","","","","22","3367","36","0","64","","","","","",
"ACADEMY OF DALLAS (057810)","Spring 2016","6","48","1495","29","6","71","48","1541","48","0","52","","","","","","","","","","","","","","","",
"ACADEMY OF DALLAS (057810)","Spring 2016","7","40","1561","50","3","50","39","1530","23","0","77","40","3627","58","0","43","","","","","","","","","","",
"ACADEMY OF DALLAS (057810)","Spring 2016","8","35","1671","77","20","23","35","1621","51","3","49","","","","","","35","3717","60","9","40","35","3511","46","0","54",
"ACADEMY OF DALLAS (057810)","May 2016","5","5","1592","100","40","0","15","1501","53","0","47","","","","","","","","","","","","","","","",
"ACADEMY OF DALLAS (057810)","May 2016","8","8","1556","38","0","63","17","1629","82","0","18","","","","","","","","","","","","","","","",
"ACCELERATED INTERMEDIATE ACADEMY","Spring 2016","3","39","1418","62","28","38","39","1429","74","8","26","","","","","","","","","","","","","","","",
"ACCELERATED INTERMEDIATE ACADEMY","Spring 2016","4","31","1542","90","23","10","31","1613","97","32","3","31","3925","87","16","13","","","","","","","","","","",
"ACCELERATED INTERMEDIATE ACADEMY","Spring 2016","5","26","1613","96","27","4","26","1659","100","19","0","","","","","","26","3847","92","8","8","","","","","",
"ACCELERATED INTERMEDIATE ACADEMY","Spring 2016","6","19","1628","89","16","11","18","1703","89","22","11","","","","","","","","","","","","","","","",
"ACCELERATED INTERMEDIATE ACADEMY","May 2016","5","1","-","-","-","-","","","","","","","","","","","","","","","","","","","","",
"ADRIAN ISD","Spring 2016","3","7","1361","57","0","43","7","1408","86","0","14","","","","","","","","","","","","","","","",
"ADRIAN ISD","Spring 2016","4","7","1415","43","0","57","7","1375","0","0","100","7","3082","0","0","100","","","","","","","","","","",
"ADRIAN ISD","Spring 2016","5","9","1502","44","11","56","9","1431","11","0","89","","","","","","9","3410","22","0","78","","","","","",
"ADRIAN ISD","Spring 2016","6","8","1520","50","0","50","8","1553","63","0","38","","","","","","","","","","","","","","","",
"ADRIAN ISD","Spring 2016","7","10","1611","70","20","30","10","1611","60","0","40","9","3647","78","0","22","","","","","","","","","","",
"ADRIAN ISD","Spring 2016","8","13","1683","69","31","31","13","1624","54","0","46","","","","","","13","3534","46","8","54","13","3496","46","8","54",
"ADRIAN ISD","May 2016","5","5","1422","20","0","80","8","1425","0","0","100","","","","","","","","","","","","","","","",
"ADRIAN ISD","May 2016","8","4","-","-","-","-","6","1575","33","0","67","","","","","","","","","","","","","","","",
"ADVANTAGE ACADEMY (057806)","Spring 2016","3","203","1365","50","11","50","204","1377","48","7","52","","","","","","","","","","","","","","","",
"ADVANTAGE ACADEMY (057806)","Spring 2016","4","150","1429","48","4","52","150","1442","39","7","61","151","3426","42","3","58","","","","","","","","","","",
"ADVANTAGE ACADEMY (057806)","Spring 2016","5","165","1504","55","13","45","164","1539","62","11","38","","","","","","164","3553","48","3","52","","","","","",
"ADVANTAGE ACADEMY (057806)","Spring 2016","6","184","1546","64","8","36","180","1587","63","10","37","","","","","","","","","","","","","","","",
"ADVANTAGE ACADEMY (057806)","Spring 2016","7","145","1585","54","11","46","143","1587","48","7","52","145","3597","55","4","45","","","","","","","","","","",
"ADVANTAGE ACADEMY (057806)","Spring 2016","8","129","1648","76","9","24","125","1647","63","9","37","","","","","","127","3594","53","6","47","127","3475","37","7","63",
"ADVANTAGE ACADEMY (057806)","May 2016","5","74","1397","22","0","78","64","1421","13","0","88","","","","","","","","","","","","","","","",
"ADVANTAGE ACADEMY (057806)","May 2016","8","30","1546","33","0","67","47","1557","23","0","77","","","","","","","","","","","","","","","",
"AGUA DULCE ISD","Spring 2016","3","20","1465","85","30","15","20","1482","80","20","20","","","","","","","","","","","","","","","",
"AGUA DULCE ISD","Spring 2016","4","22","1490","77","18","23","22","1461","45","5","55","22","3521","36","5","64","","","","","","","","","","",
"AGUA DULCE ISD","Spring 2016","5","26","1545","73","12","27","26","1592","85","15","15","","","","","","26","3580","65","4","35","","","","","",
"AGUA DULCE ISD","Spring 2016","6","27","1620","85","19","15","27","1651","89","15","11","","","","","","","","","","","","","","","",
"AGUA DULCE ISD","Spring 2016","7","25","1654","80","20","20","25","1707","88","24","12","25","3720","64","4","36","","","","","","","","","","",
"AGUA DULCE ISD","Spring 2016","8","39","1652","79","13","21","26","1551","27","0","73","","","","","","39","3657","54","10","46","39","3272","23","0","77",
"AGUA DULCE ISD","May 2016","5","7","1379","14","0","86","4","-","-","-","-","","","","","","","","","","","","","","","",
"AGUA DULCE ISD","May 2016","8","8","1579","38","0","63","19","1584","42","0","58","","","","","","","","","","","","","","","",
"ALAMO HEIGHTS ISD","Spring 2016","3","305","1484","86","36","14","304","1494","83","24","17","","","","","","","","","","","","","","","",
"ALAMO HEIGHTS ISD","Spring 2016","4","294","1573","91","36","9","309","1607","88","33","12","302","4072","80","27","20","","","","","","","","","","",
"ALAMO HEIGHTS ISD","Spring 2016","5","319","1635","90","43","10","324","1669","89","35","11","","","","","","327","3937","84","16","16","","","","","",
"ALAMO HEIGHTS ISD","Spring 2016","6","352","1640","85","27","15","346","1671","84","24","16","","","","","","","","","","","","","","","",
"ALAMO HEIGHTS ISD","Spring 2016","7","358","1692","86","32","14","124","1626","74","1","26","359","4111","83","23","17","","","","","","","","","","",
"ALAMO HEIGHTS ISD","Spring 2016","8","377","1740","92","36","8","380","1716","86","15","14","","","","","","376","3993","81","21","19","373","3874","74","22","26",
"ALAMO HEIGHTS ISD","May 2016","5","40","1457","45","5","55","38","1489","47","0","53","","","","","","","","","","","","","","","",
"ALAMO HEIGHTS ISD","May 2016","8","33","1562","36","0","64","57","1599","60","0","40","","","","","","","","","","","","","","","",
"ALBA-GOLDEN ISD","Spring 2016","3","65","1433","69","25","31","64","1416","63","9","38","","","","","","","","","","","","","","","",
"ALBA-GOLDEN ISD","Spring 2016","4","60","1525","83","18","17","60","1505","62","5","38","59","3938","78","15","22","","","","","","","","","","",
"ALBA-GOLDEN ISD","Spring 2016","5","59","1590","85","41","15","59","1598","81","10","19","","","","","","62","3720","73","5","27","","","","","",
"ALBA-GOLDEN ISD","Spring 2016","6","63","1618","84","19","16","63","1661","90","17","10","","","","","","","","","","","","","","","",
"ALBA-GOLDEN ISD","Spring 2016","7","54","1653","80","22","20","53","1655","72","17","28","52","4049","88","25","12","","","","","","","","","","",
"ALBA-GOLDEN ISD","Spring 2016","8","54","1699","98","9","2","50","1713","90","12","10","","","","","","54","4049","91","15","9","54","3716","70","4","30",
"ALBA-GOLDEN ISD","May 2016","5","9","1395","0","0","100","11","1455","18","0","82","","","","","","","","","","","","","","","",
"ALBA-GOLDEN ISD","May 2016","8","1","-","-","-","-","5","1658","80","0","20","","","","","","","","","","","","","","","",
"ALBANY ISD","Spring 2016","3","41","1481","90","29","10","42","1483","88","21","12","","","","","","","","","","","","","","","",
"ALBANY ISD","Spring 2016","4","41","1570","88","32","12","42","1596","90","29","10","41","4493","95","51","5","","","","","","","","","","",
"ALBANY ISD","Spring 2016","5","32","1597","88","31","13","32","1622","97","13","3","","","","","","34","3748","82","6","18","","","","","",
"ALBANY ISD","Spring 2016","6","31","1622","90","23","10","31","1689","97","19","3","","","","","","","","","","","","","","","",
"ALBANY ISD","Spring 2016","7","35","1653","80","23","20","35","1665","83","14","17","35","3971","86","11","14","","","","","","","","","","",
"ALBANY ISD","Spring 2016","8","40","1686","88","15","13","40","1671","80","5","20","","","","","","40","3750","75","5","25","40","3640","65","5","35",
"ALBANY ISD","May 2016","5","5","1421","40","0","60","3","-","-","-","-","","","","","","","","","","","","","","","",
"ALBANY ISD","May 2016","8","5","1567","40","0","60","8","1555","38","0","63","","","","","","","","","","","","","","","",
"ALDINE ISD","Spring 2016","3","5146","1389","62","12","38","5431","1426","69","11","31","","","","","","","","","","","","","","","",
"ALDINE ISD","Spring 2016","4","4966","1484","70","11","30","5046","1525","70","13","30","4974","3634","58","7","42","","","","","","","","","","",
"ALDINE ISD","Spring 2016","5","4643","1500","60","11","40","4639","1559","70","9","30","","","","","","4655","3650","64","3","36","","","","","",
"ALDINE ISD","Spring 2016","6","4863","1543","60","8","40","4790","1589","64","8","36","","","","","","","","","","","","","","","",
"ALDINE ISD","Spring 2016","7","4754","1588","58","9","42","4242","1594","55","5","45","4751","3579","52","4","48","","","","","","","","","","",
"ALDINE ISD","Spring 2016","8","4539","1639","72","9","28","4755","1662","69","8","31","","","","","","4394","3742","67","10","33","4382","3574","52","6","48",
"ALDINE ISD","May 2016","5","1859","1399","22","0","78","1419","1466","38","0","62","","","","","","","","","","","","","","","",
"ALDINE ISD","May 2016","8","1290","1539","31","0","69","1437","1569","36","0","64","","","","","","","","","","","","","","","",
"ALEDO ISD","Spring 2016","3","401","1517","93","43","7","400","1550","91","39","9","","","","","","","","","","","","","","","",
"ALEDO ISD","Spring 2016","4","366","1583","92","36","8","363","1615","90","37","10","364","4248","88","36","12","","","","","","","","","","",
"ALEDO ISD","Spring 2016","5","382","1644","92","48","8","382","1698","95","41","5","","","","","","383","4089","92","22","8","","","","","",
"ALEDO ISD","Spring 2016","6","381","1668","90","35","10","379","1754","96","45","4","","","","","","","","","","","","","","","",
"ALEDO ISD","Spring 2016","7","405","1709","91","35","9","405","1761","95","39","5","407","4263","91","31","9","","","","","","","","","","",
"ALEDO ISD","Spring 2016","8","411","1743","94","36","6","410","1772","91","28","9","","","","","","408","4265","93","38","7","408","4046","84","33","16",
"ALEDO ISD","May 2016","5","32","1495","63","6","38","21","1523","76","5","24","","","","","","","","","","","","","","","",
"ALEDO ISD","May 2016","8","22","1577","55","0","45","35","1593","51","0","49","","","","","","","","","","","","","","","",
"ALICE ISD","Spring 2016","3","426","1395","63","15","37","425","1427","69","12","31","","","","","","","","","","","","","","","",
"ALICE ISD","Spring 2016","4","386","1516","76","21","24","386","1543","72","17","28","387","3754","67","11","33","","","","","","","","","","",
"ALICE ISD","Spring 2016","5","343","1495","58","10","42","342","1512","53","3","47","","","","","","358","3532","52","3","48","","","","","",
"ALICE ISD","Spring 2016","6","357","1549","61","9","39","356","1569","59","4","41","","","","","","","","","","","","","","","",
"ALICE ISD","Spring 2016","7","335","1578","53","11","47","335","1581","47","5","53","324","3636","56","5","44","","","","","","","","","","",
"ALICE ISD","Spring 2016","8","332","1631","65","12","35","317","1609","49","3","51","","","","","","322","3602","54","10","46","321","3415","33","4","67",
"ALICE ISD","May 2016","5","161","1391","23","0","77","180","1453","31","1","69","","","","","","","","","","","","","","","",
"ALICE ISD","May 2016","8","118","1537","30","0","70","154","1545","22","0","78","","","","","","","","","","","","","","","",
"ALIEF ISD (101903)","Spring 2016","3","3387","1398","63","15","37","3296","1432","68","13","32","","","","","","","","","","","","","","","",
"ALIEF ISD (101903)","Spring 2016","4","3243","1484","69","12","31","3215","1524","67","14","33","3240","3688","60","9","40","","","","","","","","","","",
"ALIEF ISD (101903)","Spring 2016","5","3155","1521","66","17","34","3012","1568","67","13","33","","","","","","3013","3683","66","5","34","","","","","",
"ALIEF ISD (101903)","Spring 2016","6","2909","1573","66","15","34","2691","1627","72","16","28","","","","","","","","","","","","","","","",
"ALIEF ISD (101903)","Spring 2016","7","2877","1609","64","15","36","2562","1653","70","16","30","2876","3668","59","7","41","","","","","","","","","","",
"ALIEF ISD (101903)","Spring 2016","8","2899","1652","74","13","26","2069","1654","70","5","30","","","","","","2719","3869","73","16","27","2702","3657","57","11","43",
"ALIEF ISD (101903)","May 2016","5","1098","1388","20","0","80","990","1459","34","0","66","","","","","","","","","","","","","","","",
"ALIEF ISD (101903)","May 2016","8","774","1543","34","0","66","608","1585","47","0","53","","","","","","","","","","","","","","",""
