"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"S AND S CISD","Spring 2016","3","62","1444","81","26","19","62","1444","69","18","31","","","","","","","","","","","","","","","",
"S AND S CISD","Spring 2016","4","65","1534","80","20","20","65","1552","68","23","32","64","3997","81","11","19","","","","","","","","","","",
"S AND S CISD","Spring 2016","5","52","1543","71","27","29","52","1512","58","2","42","","","","","","52","3741","63","6","37","","","","","",
"S AND S CISD","Spring 2016","6","60","1580","62","22","38","60","1601","62","12","38","","","","","","","","","","","","","","","",
"S AND S CISD","Spring 2016","7","59","1638","76","19","24","59","1624","63","10","37","58","3818","76","9","24","","","","","","","","","","",
"S AND S CISD","Spring 2016","8","62","1669","79","16","21","48","1686","83","2","17","","","","","","62","4067","89","24","11","62","3581","48","6","52",
"S AND S CISD","May 2016","5","11","1442","36","0","64","18","1470","33","0","67","","","","","","","","","","","","","","","",
"S AND S CISD","May 2016","8","8","1557","25","0","75","3","-","-","-","-","","","","","","","","","","","","","","","",
"SABINAL ISD","Spring 2016","3","32","1400","63","25","38","33","1380","64","3","36","","","","","","","","","","","","","","","",
"SABINAL ISD","Spring 2016","4","35","1474","71","6","29","35","1488","60","6","40","35","3419","34","3","66","","","","","","","","","","",
"SABINAL ISD","Spring 2016","5","35","1498","54","14","46","35","1526","60","6","40","","","","","","36","3489","50","0","50","","","","","",
"SABINAL ISD","Spring 2016","6","34","1537","47","12","53","34","1587","56","12","44","","","","","","","","","","","","","","","",
"SABINAL ISD","Spring 2016","7","39","1599","54","8","46","39","1669","74","23","26","41","3783","68","12","32","","","","","","","","","","",
"SABINAL ISD","Spring 2016","8","38","1653","79","11","21","38","1701","74","13","26","","","","","","39","3638","59","5","41","39","3473","38","5","62",
"SABINAL ISD","May 2016","5","16","1403","25","0","75","14","1453","21","0","79","","","","","","","","","","","","","","","",
