"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"ORANGEFIELD ISD","Spring 2016","3","121","1445","75","26","25","120","1471","74","18","26","","","","","","","","","","","","","","","",
"ORANGEFIELD ISD","Spring 2016","4","121","1537","85","21","15","120","1571","83","18","17","121","4032","88","17","12","","","","","","","","","","",
"ORANGEFIELD ISD","Spring 2016","5","112","1546","68","21","32","112","1555","65","10","35","","","","","","110","3603","63","1","37","","","","","",
"ORANGEFIELD ISD","Spring 2016","6","143","1593","73","20","27","143","1589","62","9","38","","","","","","","","","","","","","","","",
"ORANGEFIELD ISD","Spring 2016","7","120","1647","72","20","28","86","1585","51","2","49","123","3839","75","8","25","","","","","","","","","","",
"ORANGEFIELD ISD","Spring 2016","8","124","1686","85","17","15","120","1670","78","5","23","","","","","","121","4191","93","34","7","121","3829","72","21","28",
"ORANGEFIELD ISD","May 2016","5","33","1414","30","0","70","36","1470","39","0","61","","","","","","","","","","","","","","","",
"ORANGEFIELD ISD","May 2016","8","17","1568","47","0","53","24","1612","63","0","38","","","","","","","","","","","","","","","",
"ORE CITY ISD","Spring 2016","3","71","1414","65","14","35","71","1437","66","18","34","","","","","","","","","","","","","","","",
"ORE CITY ISD","Spring 2016","4","52","1500","81","13","19","53","1521","74","9","26","53","3694","66","4","34","","","","","","","","","","",
"ORE CITY ISD","Spring 2016","5","43","1557","74","23","26","43","1566","70","9","30","","","","","","45","3691","62","2","38","","","","","",
"ORE CITY ISD","Spring 2016","6","45","1569","69","11","31","45","1580","60","9","40","","","","","","","","","","","","","","","",
"ORE CITY ISD","Spring 2016","7","72","1628","67","11","33","72","1604","63","1","38","78","3662","59","3","41","","","","","","","","","","",
"ORE CITY ISD","Spring 2016","8","61","1691","89","13","11","48","1632","67","4","33","","","","","","59","3846","71","14","29","59","3662","58","10","42",
"ORE CITY ISD","May 2016","5","12","1459","42","0","58","15","1474","33","0","67","","","","","","","","","","","","","","","",
"ORE CITY ISD","May 2016","8","8","1505","13","0","88","17","1585","53","0","47","","","","","","","","","","","","","","","",
"ORENDA CHARTER SCHOOL","Spring 2016","3","100","1495","87","34","13","100","1503","90","23","10","","","","","","","","","","","","","","","",
"ORENDA CHARTER SCHOOL","Spring 2016","4","102","1554","82","35","18","101","1550","78","21","22","101","3936","79","21","21","","","","","","","","","","",
"ORENDA CHARTER SCHOOL","Spring 2016","5","88","1585","84","34","16","87","1643","86","28","14","","","","","","88","3833","80","10","20","","","","","",
"ORENDA CHARTER SCHOOL","Spring 2016","6","121","1636","81","36","19","119","1676","80","28","20","","","","","","","","","","","","","","","",
"ORENDA CHARTER SCHOOL","Spring 2016","7","124","1709","90","41","10","127","1755","92","40","8","121","3998","87","7","13","","","","","","","","","","",
"ORENDA CHARTER SCHOOL","Spring 2016","8","112","1748","96","38","4","111","1666","83","4","17","","","","","","112","4118","87","29","13","112","4106","90","36","10",
"ORENDA CHARTER SCHOOL","May 2016","5","15","1440","40","0","60","12","1487","50","0","50","","","","","","","","","","","","","","","",
"ORENDA CHARTER SCHOOL","May 2016","8","6","1626","67","0","33","2","-","-","-","-","","","","","","","","","","","","","","","",
"OVERTON ISD","Spring 2016","3","37","1435","73","14","27","37","1464","81","11","19","","","","","","","","","","","","","","","",
"OVERTON ISD","Spring 2016","4","34","1506","68","12","32","34","1503","65","9","35","34","3796","68","12","32","","","","","","","","","","",
"OVERTON ISD","Spring 2016","5","28","1599","89","36","11","27","1602","81","19","19","","","","","","29","3757","79","3","21","","","","","",
"OVERTON ISD","Spring 2016","6","36","1618","75","22","25","36","1629","86","8","14","","","","","","","","","","","","","","","",
"OVERTON ISD","Spring 2016","7","38","1599","55","8","45","37","1591","57","3","43","36","3651","61","3","39","","","","","","","","","","",
"OVERTON ISD","Spring 2016","8","33","1660","79","12","21","34","1625","62","3","38","","","","","","34","3654","53","3","47","34","3597","59","6","41",
"OVERTON ISD","May 2016","5","3","-","-","-","-","5","1459","40","0","60","","","","","","","","","","","","","","","",
"OVERTON ISD","May 2016","8","9","1546","11","0","89","15","1569","33","0","67","","","","","","","","","","","","","","","",
"PADUCAH ISD","Spring 2016","3","11","1366","55","9","45","11","1379","55","0","45","","","","","","","","","","","","","","","",
"PADUCAH ISD","Spring 2016","4","14","1423","50","7","50","14","1396","21","0","79","14","3129","14","0","86","","","","","","","","","","",
"PADUCAH ISD","Spring 2016","5","15","1564","87","20","13","15","1524","60","7","40","","","","","","16","3704","75","0","25","","","","","",
"PADUCAH ISD","Spring 2016","6","13","1550","69","0","31","13","1546","46","0","54","","","","","","","","","","","","","","","",
"PADUCAH ISD","Spring 2016","7","20","1621","60","20","40","20","1596","55","5","45","22","3673","55","0","45","","","","","","","","","","",
"PADUCAH ISD","Spring 2016","8","14","1665","79","21","21","14","1635","71","7","29","","","","","","17","3672","59","6","41","17","3309","29","0","71",
"PADUCAH ISD","May 2016","5","3","-","-","-","-","7","1445","43","0","57","","","","","","","","","","","","","","","",
"PADUCAH ISD","May 2016","8","4","-","-","-","-","5","1555","40","0","60","","","","","","","","","","","","","","","",
"PAINT CREEK ISD","Spring 2016","3","11","1456","82","18","18","11","1506","91","27","9","","","","","","","","","","","","","","","",
"PAINT CREEK ISD","Spring 2016","4","8","1477","88","0","13","8","1505","88","0","13","8","4148","100","25","0","","","","","","","","","","",
"PAINT CREEK ISD","Spring 2016","5","5","1550","80","20","20","5","1620","80","20","20","","","","","","5","3910","80","20","20","","","","","",
"PAINT CREEK ISD","Spring 2016","6","10","1616","90","10","10","10","1672","80","30","20","","","","","","","","","","","","","","","",
"PAINT CREEK ISD","Spring 2016","7","14","1658","86","14","14","14","1622","57","7","43","14","3793","79","7","21","","","","","","","","","","",
