"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"HEREFORD ISD","Spring 2016","3","312","1430","76","19","24","312","1460","78","16","22","","","","","","","","","","","","","","","",
"HEREFORD ISD","Spring 2016","4","279","1489","71","10","29","280","1543","75","15","25","279","3752","69","9","31","","","","","","","","","","",
"HEREFORD ISD","Spring 2016","5","280","1533","69","17","31","280","1595","80","17","20","","","","","","281","3784","71","10","29","","","","","",
"HEREFORD ISD","Spring 2016","6","268","1546","62","7","38","261","1589","65","6","35","","","","","","","","","","","","","","","",
"HEREFORD ISD","Spring 2016","7","284","1624","69","17","31","282","1666","75","14","25","290","3861","72","10","28","","","","","","","","","","",
"HEREFORD ISD","Spring 2016","8","288","1627","67","7","33","231","1588","41","0","59","","","","","","280","3613","55","5","45","280","3448","37","3","63",
"HEREFORD ISD","May 2016","5","87","1426","39","0","61","58","1480","45","0","55","","","","","","","","","","","","","","","",
"HEREFORD ISD","May 2016","8","96","1537","31","0","69","135","1577","36","0","64","","","","","","","","","","","","","","","",
"HERITAGE ACADEMY (015815)","Spring 2016","3","12","1415","75","8","25","12","1433","67","17","33","","","","","","","","","","","","","","","",
"HERITAGE ACADEMY (015815)","Spring 2016","4","14","1450","57","7","43","14","1474","50","14","50","14","3493","57","0","43","","","","","","","","","","",
"HERITAGE ACADEMY (015815)","Spring 2016","5","8","1399","13","0","88","8","1455","0","0","100","","","","","","8","3376","38","0","63","","","","","",
"HERITAGE ACADEMY (015815)","Spring 2016","6","62","1527","50","8","50","51","1541","51","2","49","","","","","","","","","","","","","","","",
"HERITAGE ACADEMY (015815)","Spring 2016","7","73","1573","53","8","47","49","1588","59","6","41","73","3647","55","5","45","","","","","","","","","","",
"HERITAGE ACADEMY (015815)","Spring 2016","8","55","1609","62","13","38","41","1637","61","7","39","","","","","","40","3578","48","10","53","40","3439","38","0","63",
"HERITAGE ACADEMY (015815)","May 2016","5","7","1442","29","0","71","8","1525","63","0","38","","","","","","","","","","","","","","","",
"HERITAGE ACADEMY (015815)","May 2016","8","20","1487","10","0","90","17","1567","35","0","65","","","","","","","","","","","","","","","",
"HERMLEIGH ISD","Spring 2016","3","18","1444","72","28","28","18","1424","72","0","28","","","","","","","","","","","","","","","",
"HERMLEIGH ISD","Spring 2016","4","14","1401","29","0","71","14","1413","21","0","79","14","3433","43","7","57","","","","","","","","","","",
"HERMLEIGH ISD","Spring 2016","5","16","1574","81","25","19","16","1594","94","6","6","","","","","","16","3888","94","0","6","","","","","",
"HERMLEIGH ISD","Spring 2016","6","15","1532","53","7","47","15","1532","40","0","60","","","","","","","","","","","","","","","",
"HERMLEIGH ISD","Spring 2016","7","16","1597","56","6","44","16","1544","31","0","69","16","3685","69","6","31","","","","","","","","","","",
"HERMLEIGH ISD","Spring 2016","8","16","1637","69","13","31","16","1617","38","6","63","","","","","","16","3598","69","0","31","16","3523","44","6","56",
"HERMLEIGH ISD","May 2016","5","3","-","-","-","-","1","-","-","-","-","","","","","","","","","","","","","","","",
"HERMLEIGH ISD","May 2016","8","5","1530","20","0","80","10","1587","40","0","60","","","","","","","","","","","","","","","",
"HICO ISD","Spring 2016","3","35","1449","83","26","17","35","1484","91","11","9","","","","","","","","","","","","","","","",
"HICO ISD","Spring 2016","4","42","1525","83","21","17","42","1677","95","64","5","41","3937","83","15","17","","","","","","","","","","",
"HICO ISD","Spring 2016","5","29","1581","86","21","14","30","1635","93","20","7","","","","","","27","3950","93","7","7","","","","","",
"HICO ISD","Spring 2016","6","31","1590","81","16","19","31","1581","61","3","39","","","","","","","","","","","","","","","",
"HICO ISD","Spring 2016","7","31","1645","81","19","19","31","1645","77","6","23","32","3919","81","9","19","","","","","","","","","","",
"HICO ISD","Spring 2016","8","34","1721","97","21","3","34","1704","97","3","3","","","","","","34","4093","100","18","0","33","3859","94","12","6",
"HICO ISD","May 2016","5","4","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"HICO ISD","May 2016","8","2","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"HIDALGO ISD","Spring 2016","3","149","1423","68","19","32","187","1464","80","17","20","","","","","","","","","","","","","","","",
"HIDALGO ISD","Spring 2016","4","150","1500","75","14","25","171","1541","76","13","24","150","3814","73","13","27","","","","","","","","","","",
"HIDALGO ISD","Spring 2016","5","154","1542","69","25","31","160","1588","75","13","25","","","","","","164","3898","84","12","16","","","","","",
"HIDALGO ISD","Spring 2016","6","201","1528","51","8","49","181","1604","71","7","29","","","","","","","","","","","","","","","",
"HIDALGO ISD","Spring 2016","7","230","1580","54","10","46","211","1618","62","10","38","232","3717","59","10","41","","","","","","","","","","",
"HIDALGO ISD","Spring 2016","8","207","1658","71","17","29","123","1627","63","2","37","","","","","","187","3911","78","17","22","186","3681","63","10","37",
"HIDALGO ISD","May 2016","5","49","1389","18","0","82","41","1475","41","0","59","","","","","","","","","","","","","","","",
"HIDALGO ISD","May 2016","8","60","1536","30","0","70","46","1577","37","2","63","","","","","","","","","","","","","","","",
"HIGGINS ISD","Spring 2016","3","10","1376","60","10","40","10","1459","70","20","30","","","","","","","","","","","","","","","",
"HIGGINS ISD","Spring 2016","4","9","1498","67","11","33","9","1454","44","11","56","9","3551","44","11","56","","","","","","","","","","",
"HIGGINS ISD","Spring 2016","5","11","1541","100","9","0","11","1497","45","0","55","","","","","","10","3860","80","10","20","","","","","",
"HIGGINS ISD","Spring 2016","6","12","1586","75","17","25","12","1563","67","0","33","","","","","","","","","","","","","","","",
"HIGGINS ISD","Spring 2016","7","9","1617","67","0","33","9","1575","56","0","44","8","3691","75","0","25","","","","","","","","","","",
"HIGGINS ISD","Spring 2016","8","13","1690","85","23","15","13","1628","54","8","46","","","","","","13","3596","46","8","54","13","3369","23","0","77",
"HIGGINS ISD","May 2016","5","","","","","","6","1486","50","0","50","","","","","","","","","","","","","","","",
"HIGGINS ISD","May 2016","8","2","-","-","-","-","6","1554","0","0","100","","","","","","","","","","","","","","","",
"HIGH ISLAND ISD","Spring 2016","3","6","1341","33","0","67","6","1375","50","0","50","","","","","","","","","","","","","","","",
"HIGH ISLAND ISD","Spring 2016","4","12","1465","67","0","33","12","1514","75","0","25","11","3354","27","0","73","","","","","","","","","","",
"HIGH ISLAND ISD","Spring 2016","5","3","-","-","-","-","3","-","-","-","-","","","","","","4","-","-","-","-","","","","","",
"HIGH ISLAND ISD","Spring 2016","6","12","1493","42","0","58","12","1510","25","0","75","","","","","","","","","","","","","","","",
"HIGH ISLAND ISD","Spring 2016","7","7","1580","57","0","43","7","1565","43","0","57","8","3556","63","0","38","","","","","","","","","","",
"HIGH ISLAND ISD","Spring 2016","8","12","1709","100","17","0","12","1621","58","0","42","","","","","","","","","","","12","3603","58","17","42",
"HIGH ISLAND ISD","May 2016","5","1","-","-","-","-","1","-","-","-","-","","","","","","","","","","","","","","","",
"HIGH ISLAND ISD","May 2016","8","","","","","","5","1564","20","0","80","","","","","","","","","","","","","","","",
"HIGH POINT ACADEMY (220819)","Spring 2016","3","47","1465","81","34","19","47","1470","79","19","21","","","","","","","","","","","","","","","",
"HIGH POINT ACADEMY (220819)","Spring 2016","4","45","1476","67","11","33","46","1463","43","7","57","46","3557","52","4","48","","","","","","","","","","",
"HIGH POINT ACADEMY (220819)","Spring 2016","5","48","1555","77","21","23","49","1511","53","0","47","","","","","","49","3601","61","0","39","","","","","",
"HIGH POINT ACADEMY (220819)","Spring 2016","6","65","1610","75","20","25","65","1569","54","6","46","","","","","","","","","","","","","","","",
"HIGH POINT ACADEMY (220819)","Spring 2016","7","43","1653","77","26","23","43","1623","72","7","28","44","3849","75","11","25","","","","","","","","","","",
"HIGH POINT ACADEMY (220819)","Spring 2016","8","21","1713","90","24","10","13","1565","31","0","69","","","","","","20","3677","60","5","40","20","3666","55","10","45",
"HIGH POINT ACADEMY (220819)","May 2016","5","12","1408","25","0","75","23","1444","22","0","78","","","","","","","","","","","","","","","",
"HIGH POINT ACADEMY (220819)","May 2016","8","2","-","-","-","-","9","1580","33","0","67","","","","","","","","","","","","","","","",
"HIGHLAND ISD","Spring 2016","3","18","1573","100","67","0","18","1608","100","56","0","","","","","","","","","","","","","","","",
"HIGHLAND ISD","Spring 2016","4","13","1597","100","38","0","13","1700","100","46","0","13","4661","100","62","0","","","","","","","","","","",
"HIGHLAND ISD","Spring 2016","5","19","1626","95","32","5","19","1735","100","53","0","","","","","","19","4005","84","26","16","","","","","",
"HIGHLAND ISD","Spring 2016","6","17","1656","94","35","6","17","1755","100","47","0","","","","","","","","","","","","","","","",
"HIGHLAND ISD","Spring 2016","7","17","1659","82","24","18","17","1747","100","29","0","17","4000","82","12","18","","","","","","","","","","",
"HIGHLAND ISD","Spring 2016","8","18","1746","100","50","0","18","1768","100","17","0","","","","","","18","3814","89","6","11","18","3782","72","11","28",
"HIGHLAND ISD","May 2016","5","1","-","-","-","-","","","","","","","","","","","","","","","","","","","","",
"HIGHLAND PARK ISD (057911)","Spring 2016","3","545","1586","99","66","1","545","1611","99","56","1","","","","","","","","","","","","","","","",
