"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"BRENHAM ISD","Spring 2016","3","363","1423","74","18","26","362","1451","77","14","23","","","","","","","","","","","","","","","",
"BRENHAM ISD","Spring 2016","4","305","1505","74","17","26","305","1563","76","23","24","308","3680","59","11","41","","","","","","","","","","",
"BRENHAM ISD","Spring 2016","5","341","1538","70","20","30","340","1613","80","22","20","","","","","","334","3799","75","9","25","","","","","",
"BRENHAM ISD","Spring 2016","6","330","1570","65","15","35","331","1607","70","9","30","","","","","","","","","","","","","","","",
"BRENHAM ISD","Spring 2016","7","343","1629","71","19","29","344","1646","69","13","31","344","3827","69","11","31","","","","","","","","","","",
"BRENHAM ISD","Spring 2016","8","335","1656","71","15","29","298","1647","71","3","29","","","","","","336","3706","62","9","38","335","3634","53","12","47",
"BRENHAM ISD","May 2016","5","102","1398","24","1","76","65","1465","34","0","66","","","","","","","","","","","","","","","",
"BRENHAM ISD","May 2016","8","83","1572","41","1","59","77","1579","44","0","56","","","","","","","","","","","","","","","",
"BRIDGE CITY ISD","Spring 2016","3","220","1471","85","29","15","222","1494","86","23","14","","","","","","","","","","","","","","","",
"BRIDGE CITY ISD","Spring 2016","4","229","1525","82","19","18","227","1558","79","17","21","231","3952","77","16","23","","","","","","","","","","",
"BRIDGE CITY ISD","Spring 2016","5","192","1596","89","30","11","194","1595","82","13","18","","","","","","191","3974","87","12","13","","","","","",
"BRIDGE CITY ISD","Spring 2016","6","194","1612","84","18","16","172","1617","80","12","20","","","","","","","","","","","","","","","",
"BRIDGE CITY ISD","Spring 2016","7","190","1653","77","18","23","194","1656","78","9","22","194","3824","76","4","24","","","","","","","","","","",
"BRIDGE CITY ISD","Spring 2016","8","191","1701","93","18","7","187","1719","90","13","10","","","","","","189","4000","86","17","14","189","3842","79","15","21",
"BRIDGE CITY ISD","May 2016","5","25","1442","40","0","60","35","1488","49","0","51","","","","","","","","","","","","","","","",
